pnu	시군구	번지	단지명	전용면적	거래금액만원	층	계약연월	계약일	분입구분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.961	26736	7	201812	4	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.8863	26056	9	201812	6	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.8863	26056	11	201812	8	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.961	25836	6	201812	11	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.9955	26782	9	201812	14	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.9955	25236	7	201812	22	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.8863	26182	6	201812	27	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29251	8	201812	20	분
4215013100107780000	강원도 강릉시 유천동	778	엘에이치선수촌8단지	84.77	26924	6	201812	26	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23589	10	201812	6	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.986	18477	11	201812	18	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23530	15	201812	20	분
4215025021103290019	강원도 강릉시 주문진읍 주문리	329-19	강릉 주문진 풍림아이원 하버뷰	59.76	18930	12	201812	22	분
4215025021103290019	강원도 강릉시 주문진읍 주문리	329-19	강릉 주문진 풍림아이원 하버뷰	59.76	17130	14	201812	24	분
4215025021103290019	강원도 강릉시 주문진읍 주문리	329-19	강릉 주문진 풍림아이원 하버뷰	65.67	19070	13	201812	28	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.78	17632	13	201812	6	분
4215010100110440000	강원도 강릉시 홍제동	1044	엘에이치미디어촌6단지	59.78	18232	7	201812	20	분
