pnu	시군구	번지	단지명	전용면적	거래금액만원	층	계약연월	계약일	분입구분
4215011400110280000	강원도 강릉시 송정동	1028	강릉 송정동 신원 아침도시	84.9522	28799	14	201909	5	분
4215011400110280000	강원도 강릉시 송정동	1028	강릉 송정동 신원 아침도시	105.5545	38171	15	201909	24	분
4215011400110280000	강원도 강릉시 송정동	1028	강릉 송정동 신원 아침도시	75.9722	25144	15	201909	29	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30093	13	201909	1	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29710	13	201909	7	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30200	18	201909	11	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29726	10	201909	16	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29426	6	201909	17	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30050	9	201909	18	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30953	16	201909	23	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	75.98	27749	15	201909	23	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30600	17	201909	23	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29810	18	201909	23	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	75.98	25840	4	201909	23	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30517	12	201909	24	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	30517	12	201909	24	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	31259	16	201909	24	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29610	13	201909	25	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	31506	18	201909	28	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	25910	1	201909	28	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	32530	19	201909	30	분
4215011400100000000	강원도 강릉시 송정동	산103	강릉 아이파크	84.93	29950	7	201909	30	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	34225	7	201909	2	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	109.791	40527	26	201909	2	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	84.2785	31920	36	201909	2	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	36659	24	201909	3	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	84.2785	32474	34	201909	6	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	109.791	40605	21	201909	7	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	35649	20	201909	7	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	38203	31	201909	18	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	36877	31	201909	18	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	109.791	38955	18	201909	18	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	84.3187	31761	17	201909	19	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	84.2785	30799	8	201909	20	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	34940	6	201909	20	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	36292	33	201909	21	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	84.2785	31013	8	201909	21	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	109.791	37007	3	201909	21	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	36517	6	201909	24	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	84.2785	32095	23	201909	26	분
4215013100100000000	강원도 강릉시 유천동	BL-S-1	강릉유천 S-1 유승한내들 더퍼스트	96.3359	35456	11	201909	30	분
4215013100104180005	강원도 강릉시 유천동	418-5	강릉유천 더 테라스 아리스타	148.6728	59242	3	201909	24	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23100	11	201909	3	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23489	9	201909	11	분
4215012500107120000	강원도 강릉시 입암동	712	입암동 강변 코아루 오투리움 아파트	79.191	21689	6	201909	6	분
4215012500107120000	강원도 강릉시 입암동	712	입암동 강변 코아루 오투리움 아파트	79.191	23089	14	201909	11	분
