pnu	시군구	번지	단지명	전용면적	거래금액만원	층	계약연월	계약일	분입구분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	85	23740	17	201704	10	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	84.99	23820	7	201704	10	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	84.9964	23840	16	201704	11	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	84.9964	23210	11	201704	14	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	84.9964	23210	20	201704	14	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	66.0388	19280	8	201704	21	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	84.9964	23040	2	201704	25	분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	66.0388	19480	7	201704	26	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.9955	25406	14	201704	19	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.961	25186	13	201704	25	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	18527	14	201704	5	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	18377	12	201704	5	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.986	18527	6	201704	6	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	18477	9	201704	6	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	18477	10	201704	6	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	16910	2	201704	6	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	18527	11	201704	8	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.979	18477	8	201704	11	분
