pnu	시군구	번지	단지명	전용면적	거래금액만원	층	계약연월	계약일	분입구분
4215011000108500001	강원도 강릉시 교동	850-1	강릉교동　풍림아이원	84.9964	22650	9	201605	16	분
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	84.8956	18990	5	201605	3	분
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	84.8956	19189	17	201605	12	입
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	84.8956	22221	20	201605	13	분
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	84.89	18690	8	201605	16	입
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	84.89	18690	15	201605	24	입
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	84.8956	20808	4	201605	26	분
4215011700102030001	강원도 강릉시 회산동	203-1	강릉 서희스타힐스	59.928	15625	11	201605	27	분
4217010700101160002	강원도 동해시 동회동	116-2	동해 북삼 하우스디	84.9625	23810	25	201605	17	분
4217011100105010011	강원도 동해시 발한동	501-11	현대썬앤빌 동해파크힐	75.5994	18703	9	201605	31	분
4217010100111030000	강원도 동해시 천곡동	1103	동해 천곡 한양수자인	71.839	18300	14	201605	10	분
4217010100111030000	강원도 동해시 천곡동	1103	동해 천곡 한양수자인	70.435	18100	9	201605	17	분
4217010100111030000	강원도 동해시 천곡동	1103	동해 천곡 한양수자인	70.435	18000	17	201605	17	분
4217010100111030000	강원도 동해시 천곡동	1103	동해 천곡 한양수자인	71.757	18300	5	201605	24	분
4217010100111030000	강원도 동해시 천곡동	1103	동해 천곡 한양수자인	71.516	18100	12	201605	31	분
4223010600100000000	강원도 삼척시 교동	산145	삼척　교동　ｅ편한세상	74.5123	20430	19	201605	10	분
4223010600100000000	강원도 삼척시 교동	산145	삼척　교동　ｅ편한세상	59.8769	16720	16	201605	17	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	114.7859	37720	13	201605	1	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	84.9147	27420	26	201605	2	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	84.9439	25290	5	201605	7	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	74.6496	24120	11	201605	17	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	84.9439	26800	17	201605	20	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	84.9439	26850	17	201605	23	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	74.6496	24120	14	201605	23	분
4221010200105120012	강원도 속초시 동명동	512-12	ｅ편한세상　영랑호　	84.9147	26330	14	201605	28	분
4221010900104330003	강원도 속초시 청호동	433-3	속초 아이파크	75.97	26215	29	201605	2	분
4221010900104330003	강원도 속초시 청호동	433-3	속초 아이파크	84.94	26700	13	201605	9	분
4221010900104330003	강원도 속초시 청호동	433-3	속초 아이파크	105.78	40500	16	201605	10	분
4221010900104330003	강원도 속초시 청호동	433-3	속초 아이파크	84.82	27300	20	201605	12	분
