pnu	시군구	번지	단지명	전용면적	거래금액만원	층	계약연월	계약일	분입구분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.961	25136	11	201710	17	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.8863	25456	7	201710	25	분
4215011400101560004	강원도 강릉시 송정동	156-4	강릉 송정동 한신 더휴	84.8863	25336	5	201710	26	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23489	10	201710	10	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23489	12	201710	16	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23489	7	201710	17	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23489	11	201710	18	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.986	18477	10	201710	19	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	79.191	23489	9	201710	19	분
4215012500105450002	강원도 강릉시 입암동	545-2	입암동 강변 코아루 오투리움	59.986	18277	13	201710	19	분
4215025021103290019	강원도 강릉시 주문진읍 주문리	329-19	강릉 주문진 풍림아이원 하버뷰	59.76	17120	10	201710	21	분
4215025021103290019	강원도 강릉시 주문진읍 주문리	329-19	강릉 주문진 풍림아이원 하버뷰	59.76	17430	16	201710	31	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	16972	2	201710	11	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	16900	4	201710	12	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	18942	11	201710	13	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	17992	14	201710	14	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	18192	5	201710	14	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	19692	15	201710	18	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	17522	3	201710	24	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.78	18232	9	201710	26	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	17842	4	201710	27	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	17942	13	201710	27	분
4215010100110440000	강원도 강릉시 홍제동	1044	강릉유천 A-2블록 공공분양	59.98	18122	9	201710	27	분
4215011700104390008	강원도 강릉시 회산동	439-8	강릉 회산동 한신 더휴	84.9955	25481	17	201710	30	분
4215011700105340000	강원도 강릉시 회산동	534	회산동 힐스테이트	74.9974	19953	10	201710	10	분
4215011700105340000	강원도 강릉시 회산동	534	회산동 힐스테이트	74.9974	20599	10	201710	10	분
4215011700105340000	강원도 강릉시 회산동	534	회산동 힐스테이트	74.9974	20505	7	201710	17	분
4215011700105340000	강원도 강릉시 회산동	534	회산동 힐스테이트	59.9893	16618	16	201710	26	분
4217010700101160002	강원도 동해시 동회동	116-2	동해 북삼 하우스디	59.911	15860	6	201710	10	분
4217010700101160002	강원도 동해시 동회동	116-2	동해 북삼 하우스디	74.3567	20700	9	201710	19	분
4217010700101200000	강원도 동해시 동회동	120	동해 북삼2차 웰메이드타운	84.6872	25580	13	201710	12	분
4217010700101200000	강원도 동해시 동회동	120	동해 북삼2차 웰메이드타운	84.9607	25380	15	201710	16	분
4217010700101200000	강원도 동해시 동회동	120	동해 북삼2차 웰메이드타운	75.5869	22715	16	201710	16	분
4217010700101200000	강원도 동해시 동회동	120	동해 북삼2차 웰메이드타운	84.6872	25580	14	201710	19	분
4217011800101080000	강원도 동해시 이도동	108	동해 아이파크	59.95	18300	16	201710	12	분
4217011800101080000	강원도 동해시 이도동	108	동해 아이파크	75.96	22500	6	201710	17	분
4217011800100830001	강원도 동해시 이도동	83-1	동해 코아루 더 스카이	84.9464	25303	11	201710	30	분
4217010100105400004	강원도 동해시 천곡동	540-4	동해 천곡 금호어울림 라포레	84.9481	27170	21	201710	11	분
4217010100105400004	강원도 동해시 천곡동	540-4	동해 천곡 금호어울림 라포레	77.4598	24630	12	201710	15	분
4217010100105400004	강원도 동해시 천곡동	540-4	동해 천곡 금호어울림 라포레	77.8602	25230	17	201710	15	분
4217010100105400004	강원도 동해시 천곡동	540-4	동해 천곡 금호어울림 라포레	77.4598	24580	9	201710	15	분
4217010100105400004	강원도 동해시 천곡동	540-4	동해 천곡 금호어울림 라포레	84.9481	27020	18	201710	20	분
4223010600100000000	강원도 삼척시 교동	산145	삼척　교동　ｅ편한세상	59.8769	16985	19	201710	18	분
4223010600100000000	강원도 삼척시 교동	산145	삼척　교동　ｅ편한세상	74.5123	21130	23	201710	25	분
4223010600100000000	강원도 삼척시 교동	산145	삼척　교동　ｅ편한세상	84.6585	24094	24	201710	26	분
