pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034021	강원도 강릉시 강동면 상시동리	7**	단독	8m미만	49.88	605	201908	27	8229	1990	와천로
4215011000	강원도 강릉시 교동	1**	단독	12m미만	222.92	165	201908	27	24000	1975	율곡로2874번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	312.72	218.1	201908	22	83000	1990	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	328.39	226.7	201908	23	58000	2003	원대로179번길
4215033023	강원도 강릉시 구정면 구정리	4**	단독	8m미만	98.07	390	201908	27	24250	2017	삼정2길
4215012100	강원도 강릉시 노암동	7**	단독	8m미만	42.8	96	201908	28	2800	1977	단오장길22번길
4215012100	강원도 강릉시 노암동	2**	단독	8m미만	49.36	106	201908	23	8900	2010	칠성로711번길
4215012100	강원도 강릉시 노암동	3**	단독	12m미만	85.97	124	201908	9	10000	1982	노가니길
4215036022	강원도 강릉시 사천면 노동리	8**	단독	8m미만	179.98	660	201908	7	33000	2017	중앙서로
4215031023	강원도 강릉시 성산면 금산리	7**	단독	8m미만	179.46	430	201908	5	25000	2009	관음길
4215031024	강원도 강릉시 성산면 위촌리	2**	단독	8m미만	52.31	403	201908	26	7300	1950	망월안길
4215011400	강원도 강릉시 송정동	2**	다가구	-	659.88	419	201908	13	103076	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	-	659.88	428	201908	13	103646	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	-	659.88	443	201908	13	105327	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	-	659.88	468	201908	13	106178	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	8m미만	659.88	540	201908	13	110736	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	-	659.88	554	201908	13	111622	2019	null
4215011400	강원도 강릉시 송정동	2**	다가구	12m미만	659.88	558	201908	13	112433	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	12m미만	659.88	589	201908	13	113837	2019	송정길
4215011400	강원도 강릉시 송정동	2**	다가구	-	659.88	595	201908	13	114217	2019	송정길
4215037022	강원도 강릉시 연곡면 영진리	2**	단독	-	96.53	407	201908	15	7500	2001	홍질목길
4215035029	강원도 강릉시 옥계면 금진리	3**	단독	8m미만	76.41	149	201908	29	10000	2004	금진안길
4215010900	강원도 강릉시 옥천동	2**	단독	25m미만	81.18	193	201908	19	20500	1990	옥천로
4215032021	강원도 강릉시 왕산면 도마리	8*	단독	8m미만	98.4	637	201908	16	22100	2016	석우동길
4215010500	강원도 강릉시 임당동	9*	단독	8m미만	60.36	175	201908	15	19500	1968	토성로164번길
4215025022	강원도 강릉시 주문진읍 교항리	8**	단독	8m미만	75.15	383	201908	24	17000	1996	주문진진등길
4215025021	강원도 강릉시 주문진읍 주문리	2**	단독	8m미만	35.65	44	201908	19	1000	1990	옛등대길
4215025021	강원도 강릉시 주문진읍 주문리	1**	단독	-	81.58	132	201908	27	11300	2000	오리나루1길
4215025021	강원도 강릉시 주문진읍 주문리	7**	단독	8m미만	184.4	685	201908	26	21650	1990	소돌길
4215013200	강원도 강릉시 지변동	2**	다가구	12m미만	250.79	365	201908	13	44000	2007	죽헌길
4215011100	강원도 강릉시 포남동	1***	다가구	8m미만	420.21	241	201908	19	42000	2003	남강초교1길
4215011100	강원도 강릉시 포남동	1***	단독	12m미만	654.12	213	201908	29	35800	1990	성덕포남로153번길
4215010100	강원도 강릉시 홍제동	1**	단독	25m미만	167.68	158	201908	7	23000	1994	토성로
4215010100	강원도 강릉시 홍제동	1**	단독	8m미만	83.49	203	201908	9	12000	1980	발락고개길
4282025021	강원도 고성군 간성읍 하리	3*	단독	25m미만	219.84	140	201908	8	41000	1980	간성로
4282032023	강원도 고성군 죽왕면 가진리	3**	단독	8m미만	90.81	652	201908	1	10156	2004	짱고개길
4282032031	강원도 고성군 죽왕면 문암진리	1**	단독	8m미만	40	18	201908	30	2953	1976	괘진길
4282033030	강원도 고성군 토성면 신평리	1**	단독	-	204.32	703	201908	22	25530	2019	고성대로
4282033029	강원도 고성군 토성면 용암리	2**	단독	8m미만	108.75	334	201908	16	11000	2000	장새미1길
4282033021	강원도 고성군 토성면 천진리	1**	단독	8m미만	26.95	204	201908	13	11800	1968	천진주택길
4217011300	강원도 동해시 구미동	3**	단독	8m미만	47.7	400	201908	21	4600	1970	구미1길
4217012900	강원도 동해시 망상동	4**	단독	8m미만	117.98	661	201908	10	16800	2000	터일길
4217011100	강원도 동해시 발한동	2**	단독	8m미만	34.01	106	201908	17	5500	1970	관사3길
4217011100	강원도 동해시 발한동	7**	단독	12m미만	51.8	115	201908	12	7500	2003	느릅재길
4217011100	강원도 동해시 발한동	3**	단독	8m미만	44.6	195	201908	13	4500	1970	발한천길
4217010300	강원도 동해시 송정동	8**	다가구	8m미만	180.24	198	201908	6	13500	2001	동해항2길
4217010300	강원도 동해시 송정동	8**	단독	8m미만	158.8	152	201908	16	7000	1970	동해역길
4217010300	강원도 동해시 송정동	6**	단독	12m미만	83.5	477	201908	28	15000	1996	송정3길
4217010900	강원도 동해시 쇄운동	3**	단독	8m미만	58.05	208	201908	16	6300	1977	언당길
4217010100	강원도 동해시 천곡동	9**	다가구	12m미만	430.46	253.1	201908	17	59000	2012	감추1길
4223010700	강원도 삼척시 갈천동	3*	단독	8m미만	72.35	2410	201908	20	87000	1995	새천년도로
4223031030	강원도 삼척시 근덕면 궁촌리	9**	단독	8m미만	69.65	660	201908	12	5700	2000	궁촌6길
