pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034030	강원도 강릉시 강동면 산성우리	3*	단독	12m미만	59.13	106	201604	12	1600	1998	산성우리길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	359.71	230.2	201604	25	57200	2002	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	단독	8m미만	52.29	98.2	201604	12	4000	1975	명주로78번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	113.85	132.8	201604	11	14000	1978	명주로78번길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	77.55	133	201604	4	5500	1980	옛강일길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	100.52	163	201604	8	14700	1985	화부산로8번길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	51.07	198	201604	15	2500	1985	강릉대로171번길
4215011000	강원도 강릉시 교동	1***	단독	25m미만	448.8	250.7	201604	28	92700	2002	솔올로
4215011000	강원도 강릉시 교동	8**	단독	8m미만	180.56	377	201604	17	28400	1983	강릉대로171번길
4215011000	강원도 강릉시 교동	7**	단독	25m이상	201.28	1276	201604	29	73000	2010	화부산로111번길
4215033025	강원도 강릉시 구정면 어단리	3**	단독	8m미만	44	331	201604	1	6370	2005	금평로
4215010200	강원도 강릉시 남문동	9*	다가구	8m미만	393.19	258	201604	6	49000	1997	경강로2046번길
4215011600	강원도 강릉시 내곡동	5**	다가구	8m미만	611.09	296	201604	1	51000	1997	범일로555번길
4215011600	강원도 강릉시 내곡동	4**	다가구	25m미만	552.84	388	201604	27	42500	1995	범일로
4215011600	강원도 강릉시 내곡동	2**	단독	8m미만	93.4	397	201604	17	23200	2014	남부로18번길
4215011600	강원도 강릉시 내곡동	3**	단독	8m미만	657.09	512	201604	4	89000	2013	범일로
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	93.99	153	201604	11	9000	1988	남부로137번길
4215012100	강원도 강릉시 노암동	8**	단독	8m미만	168.25	168.4	201604	28	13300	1989	남부로215번길
4215010300	강원도 강릉시 명주동	*	단독	8m미만	187.26	109	201604	27	16500	1993	경강로
4215010300	강원도 강릉시 명주동	4*	단독	8m미만	85.79	223	201604	29	12900	1959	경강로
4215036021	강원도 강릉시 사천면 미노리	1**	단독	12m미만	367.52	750	201604	18	32050	2001	본동길
4215036025	강원도 강릉시 사천면 사천진리	6*	단독	8m미만	99.7	297	201604	18	16000	2009	목재길
4215036023	강원도 강릉시 사천면 석교리	1**	단독	8m미만	112.56	535	201604	23	25000	2012	석교음지길
4215036024	강원도 강릉시 사천면 판교리	5**	단독	8m미만	249.21	798	201604	25	15000	2000	조부동길
4215031022	강원도 강릉시 성산면 관음리	1**	단독	12m미만	70.64	305	201604	16	8000	1950	안곡길
4215031023	강원도 강릉시 성산면 금산리	2**	단독	8m미만	79.59	447	201604	7	7600	2006	솔밭길
4215031026	강원도 강릉시 성산면 보광리	4**	단독	8m미만	133.88	475	201604	10	14900	1980	보광본길
4215031026	강원도 강릉시 성산면 보광리	9**	단독	8m미만	80.19	596	201604	28	22000	null	보광본길
