pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034022	강원도 강릉시 강동면 모전리	3**	단독	12m미만	60.9	249	201703	5	9531	1978	단경로
4215034030	강원도 강릉시 강동면 산성우리	3*	단독	8m미만	66.27	223	201703	23	6900	1990	산성우리길
4215011300	강원도 강릉시 강문동	1**	단독	8m미만	58.11	212	201703	28	13000	1930	창해로362번길
4215011000	강원도 강릉시 교동	1**	단독	12m미만	124.03	102	201703	6	8500	1980	강릉대로203번안길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	45.22	106	201703	12	4800	1975	임영로198번길
4215011000	강원도 강릉시 교동	2**	단독	12m미만	53.58	131	201703	17	19757	1979	화부산로
4215011000	강원도 강릉시 교동	5*	단독	8m미만	31.33	144	201703	6	12500	1974	명륜로
4215011000	강원도 강릉시 교동	9**	단독	8m미만	99.56	177	201703	14	11000	1982	홍제로
4215011000	강원도 강릉시 교동	2**	단독	8m미만	145.77	182	201703	30	15100	1985	율곡로2930번길
4215011000	강원도 강릉시 교동	7**	단독	12m미만	72.79	208	201703	14	10000	1980	율곡로2968번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	329.06	210.3	201703	6	70800	2005	율곡초교길
4215011000	강원도 강릉시 교동	1***	단독	25m미만	364	213.2	201703	28	75000	2003	하슬라로206번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	182.8	215.8	201703	16	21000	1980	명주로
4215011000	강원도 강릉시 교동	1***	단독	12m미만	339.12	221.8	201703	22	77000	2011	하슬라로206번길
4215033021	강원도 강릉시 구정면 여찬리	2**	단독	12m미만	265.92	352	201703	8	20500	2001	구정중앙로
4215033027	강원도 강릉시 구정면 제비리	*	단독	12m미만	112.4	607	201703	13	29000	2006	정등로
4215033027	강원도 강릉시 구정면 제비리	7*	단독	8m미만	81.7	619	201703	3	22900	2013	제비골길
4215033022	강원도 강릉시 구정면 학산리	8**	단독	8m미만	65.06	86	201703	28	12000	2016	범일로
4215010200	강원도 강릉시 남문동	8*	단독	8m미만	34.98	56	201703	13	5050	1940	임영로99번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	68.72	99	201703	29	4800	1980	노암길4번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	49.85	132	201703	31	5750	1977	노암길7번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	147.42	142	201703	27	12300	1991	남부로137번길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	98.52	151	201703	23	9800	1984	노암길42번길
4215012100	강원도 강릉시 노암동	2**	단독	8m미만	98.28	268	201703	20	19300	2001	율곡로
4215012700	강원도 강릉시 두산동	2**	단독	8m미만	572.94	1208	201703	6	24460	2004	강변로648번길
4215010300	강원도 강릉시 명주동	5*	단독	8m미만	26.38	225	201703	15	13250	1959	경강로2021번길
4215036022	강원도 강릉시 사천면 노동리	1***	단독	8m미만	160.8	347.1	201703	14	33823	2017	샛돌3길
4215036022	강원도 강릉시 사천면 노동리	1***	단독	8m미만	171.56	670.1	201703	14	38282	2017	샛돌3길
4215036027	강원도 강릉시 사천면 방동리	1**	단독	8m미만	456.73	632	201703	31	185000	2016	해안로
4215036025	강원도 강릉시 사천면 사천진리	*	다가구	8m미만	239.7	152	201703	27	6000	1996	진리중앙길
4215036025	강원도 강릉시 사천면 사천진리	2**	단독	12m미만	308.07	1512	201703	31	126000	1997	해안로
4215031022	강원도 강릉시 성산면 관음리	5**	단독	8m미만	77.9	344	201703	17	9880	2014	관음길
4215031022	강원도 강릉시 성산면 관음리	9**	단독	8m미만	134.11	661	201703	3	22500	2001	관음길
4215031021	강원도 강릉시 성산면 구산리	2**	단독	8m미만	75	347	201703	29	14300	2002	구산안길
4215031026	강원도 강릉시 성산면 보광리	8**	단독	8m미만	89.19	400	201703	15	13100	2004	삼왕길
4215031026	강원도 강릉시 성산면 보광리	3**	단독	8m미만	153.65	433	201703	10	31000	2011	보현길
4215031027	강원도 강릉시 성산면 어흘리	5**	단독	8m미만	50.49	374	201703	24	3200	1978	부동길
4215031024	강원도 강릉시 성산면 위촌리	3**	단독	12m미만	141.75	660	201703	22	30000	2003	소목길
4215013800	강원도 강릉시 안현동	5*	단독	8m미만	218.67	277	201703	2	33000	2004	하남길
4215037023	강원도 강릉시 연곡면 동덕리	8**	단독	-	66.15	496	201703	9	11877	1998	동덕3길
4215037028	강원도 강릉시 연곡면 삼산리	6**	단독	8m미만	84	660	201703	21	16000	1995	진고개로
4215035026	강원도 강릉시 옥계면 남양리	8*	단독	8m미만	26.45	704	201703	15	1300	1955	올밑길
