pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034023	강원도 강릉시 강동면 안인리	3**	단독	8m미만	99.1	538	201805	31	17100	2012	원장봉길
4215034031	강원도 강릉시 강동면 언별리	1***	단독	8m미만	53	503	201805	18	5838	1990	송담서원길
4215034031	강원도 강릉시 강동면 언별리	1***	단독	8m미만	73.62	525	201805	11	5500	1994	송담서원길
4215034028	강원도 강릉시 강동면 정동진리	2**	단독	8m미만	350.77	234	201805	21	52000	1998	헌화로
4215034028	강원도 강릉시 강동면 정동진리	2**	단독	12m미만	308.05	317	201805	18	46500	2000	정동2길
4215034026	강원도 강릉시 강동면 하시동리	5**	단독	8m미만	62.19	476	201805	30	12600	1990	풍호안길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	525.44	253.1	201805	24	70000	2001	하슬라로232번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	73.41	111.8	201805	2	9000	1979	골말길
4215011000	강원도 강릉시 교동	1***	단독	8m미만	106.65	113	201805	18	11300	1984	화부산로63번길
4215011000	강원도 강릉시 교동	1**	단독	25m미만	147.78	119	201805	6	14800	1982	임영로
4215011000	강원도 강릉시 교동	1**	단독	8m미만	32.44	195	201805	15	8000	1983	강릉대로203번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	286.24	209.9	201805	30	62000	2012	율곡초교길11번길
4215011000	강원도 강릉시 교동	1***	단독	25m미만	160.41	238	201805	1	29600	1991	화부산로
4215013600	강원도 강릉시 난곡동	9*	단독	8m미만	431.38	1038	201805	21	57820	2004	운정길21번길
4215010200	강원도 강릉시 남문동	1**	단독	8m미만	104.86	337	201805	24	34000	1943	경강로2015번길
4215011600	강원도 강릉시 내곡동	4*	단독	25m미만	264.13	129	201805	10	30000	1997	강변로
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	92.23	155	201805	4	7650	1979	노암길25번길
4215010300	강원도 강릉시 명주동	2*	단독	8m미만	123.95	110	201805	3	11500	1999	경강로2024번길
4215036022	강원도 강릉시 사천면 노동리	5**	단독	8m미만	103.3	357	201805	2	7000	1938	중앙서로
4215036023	강원도 강릉시 사천면 석교리	3**	단독	8m미만	61.99	289	201805	3	7900	2000	구라미등길
4215036023	강원도 강릉시 사천면 석교리	6**	단독	8m미만	99.78	825	201805	23	20500	2012	돌다리길
4215036024	강원도 강릉시 사천면 판교리	2**	단독	8m미만	139	388	201805	21	25500	1985	null
4215036024	강원도 강릉시 사천면 판교리	5**	단독	8m미만	124.14	661	201805	26	28500	2015	너다리길
4215010800	강원도 강릉시 성남동	9*	단독	8m미만	41.78	64.5	201805	14	5800	1938	중앙시장2길
4215037024	강원도 강릉시 연곡면 송림리	3**	단독	8m미만	84.78	603	201805	5	25000	2015	진고개로
