pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034022	강원도 강릉시 강동면 모전리	3**	단독	8m미만	59.7	430	201907	26	12000	1990	버당길
4215034021	강원도 강릉시 강동면 상시동리	2**	단독	8m미만	112.24	673	201907	3	21000	2002	시동1길
4215034031	강원도 강릉시 강동면 언별리	1***	단독	8m미만	197.85	330	201907	15	24700	2002	송담서원길
4215034028	강원도 강릉시 강동면 정동진리	1**	단독	8m미만	45.26	413	201907	1	9615	1990	정동3길
4215011000	강원도 강릉시 교동	1**	단독	25m미만	63.87	99	201907	26	32500	1974	강릉대로303번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	82.48	169	201907	8	5000	1983	율곡로2888번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	68.91	182	201907	11	9000	1975	강릉대로203번길
4215011000	강원도 강릉시 교동	8**	단독	12m미만	271.5	204	201907	2	26250	1989	화부산로8번길
4215011000	강원도 강릉시 교동	1***	단독	8m미만	56.93	456	201907	20	13500	1952	경포로
4215033024	강원도 강릉시 구정면 금광리	9**	단독	8m미만	97.83	512	201907	5	16000	1997	금평로
4215033025	강원도 강릉시 구정면 어단리	8**	단독	8m미만	84.92	747	201907	29	25000	1992	어단3길
4215010200	강원도 강릉시 남문동	1**	단독	12m미만	58.41	106	201907	3	12000	1958	남문길
4215013000	강원도 강릉시 남항진동	*	단독	8m미만	176.13	463	201907	10	38200	1983	공항길129번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	145.02	132	201907	3	8700	1981	남부로137번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	80.46	148	201907	8	7200	1982	안땔길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	164.07	195	201907	31	9500	1980	노암길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	94.19	313	201907	5	11000	1983	노암길10번길
4215012900	강원도 강릉시 병산동	2**	단독	-	52.09	285	201907	24	21073	2019	두산길
4215036025	강원도 강릉시 사천면 사천진리	6*	단독	8m미만	99.7	297	201907	19	22333	2009	목재길
4215036025	강원도 강릉시 사천면 사천진리	8*	단독	8m미만	88.92	308	201907	1	59580	1997	진리항구2길
4215036025	강원도 강릉시 사천면 사천진리	2**	단독	8m미만	924.06	1707	201907	3	164000	2008	해안로
4215036023	강원도 강릉시 사천면 석교리	2**	단독	8m미만	99.44	582	201907	4	12000	1996	석교양지길
4215031027	강원도 강릉시 성산면 어흘리	3**	단독	8m미만	69.13	496	201907	3	16000	2015	진다리길
4215037022	강원도 강릉시 연곡면 영진리	2**	다가구	8m미만	258.89	803	201907	4	56700	2008	마산길
4215035029	강원도 강릉시 옥계면 금진리	3**	단독	8m미만	44.62	271	201907	19	6500	1990	금진안길
4215035029	강원도 강릉시 옥계면 금진리	2**	단독	8m미만	66.12	291	201907	31	5700	1990	금진뒷길
4215035029	강원도 강릉시 옥계면 금진리	2**	단독	12m미만	33.3	370	201907	12	33000	1990	헌화로
4215035026	강원도 강릉시 옥계면 남양리	2**	단독	8m미만	60.4	304	201907	16	1611	1990	남촌길
4215010900	강원도 강릉시 옥천동	2**	다가구	8m미만	521.88	223	201907	18	52000	1997	옥천로23번길
4215010900	강원도 강릉시 옥천동	2**	단독	12m미만	105.22	165.3	201907	4	20000	1975	동부시장길
4215032026	강원도 강릉시 왕산면 대기리	2***	단독	8m미만	99	721	201907	24	15000	1997	노추산로
4215032023	강원도 강릉시 왕산면 왕산리	4**	단독	8m미만	196.92	516	201907	31	20000	1995	왕산곰자리길
4215032023	강원도 강릉시 왕산면 왕산리	8**	단독	8m미만	197.93	617	201907	16	18000	2001	왕산로
4215010700	강원도 강릉시 용강동	6*	단독	12m미만	49.6	134	201907	31	6800	1947	명주로
