pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034022	강원도 강릉시 강동면 모전리	3**	단독	12m미만	84.26	220	201610	1	5930	1985	단경로
4215011300	강원도 강릉시 강문동	2**	단독	8m미만	32.46	175	201610	4	11180	1925	창해로362번길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	348.87	216.4	201610	22	57000	2002	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	494.41	382.2	201610	3	96000	2012	율곡초교길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	84.38	123.5	201610	21	9800	1982	원대로8번안길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	126.08	126.6	201610	4	8000	1979	명주로77번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	52.2	132	201610	28	7500	1977	강릉대로211번길
4215011000	강원도 강릉시 교동	9**	단독	12m미만	74.6	132.2	201610	27	8000	1978	원대로8번길
4215011000	강원도 강릉시 교동	1**	단독	12m미만	200.18	132.2	201610	5	25000	1975	옥천로71번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	56	137.5	201610	6	6800	1976	화부산로
4215011000	강원도 강릉시 교동	1***	단독	25m미만	99.2	151	201610	10	15000	1984	화부산로
4215011000	강원도 강릉시 교동	8**	단독	8m미만	137.19	153	201610	10	16500	1986	화부산로8번길
4215011000	강원도 강릉시 교동	8**	단독	25m이상	163.11	172	201610	24	20000	1980	화부산로
4215011000	강원도 강릉시 교동	1**	단독	8m미만	88.4	179	201610	21	9000	1971	임영로198번길
4215011000	강원도 강릉시 교동	9**	단독	12m미만	510.96	289.3	201610	26	86500	2016	원대로8번길
4215011000	강원도 강릉시 교동	5**	단독	8m미만	153.82	593	201610	10	22000	1982	성곡고양길5번안길
4215010200	강원도 강릉시 남문동	1**	단독	8m미만	22.96	66	201610	14	2100	1975	홍제로20번길
4215011600	강원도 강릉시 내곡동	6*	단독	12m미만	142.45	159	201610	25	17800	1984	강변로182번길
4215012100	강원도 강릉시 노암동	3**	단독	12m미만	63.61	92	201610	28	8300	1980	노가니길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	128.43	115	201610	6	11500	1978	노가니길
4215012100	강원도 강릉시 노암동	1**	단독	8m미만	51.44	116	201610	26	4500	1971	부흥길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	90.14	132	201610	13	5500	1979	노암길
4215012100	강원도 강릉시 노암동	8**	단독	8m미만	146.26	182.5	201610	18	12000	1988	남부로215번길
4215010300	강원도 강릉시 명주동	1*	단독	8m미만	200.96	185	201610	6	25500	1997	경강로2024번길
