pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034026	강원도 강릉시 강동면 하시동리	6**	단독	8m미만	74.2	255	201810	30	1916	1990	풍호길
4215034026	강원도 강릉시 강동면 하시동리	9**	단독	8m미만	75.42	291	201810	31	8250	1992	시동2길
4215034026	강원도 강릉시 강동면 하시동리	6**	단독	8m미만	70.76	583	201810	30	4519	1990	풍호길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	440.58	338.5	201810	1	80000	2005	원대로143번길
4215011000	강원도 강릉시 교동	8**	단독	12m미만	114.98	99.1	201810	18	13000	1986	강릉대로171번길
4215011000	강원도 강릉시 교동	9**	단독	12m미만	57.68	132.2	201810	15	9900	1974	원대로20번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	64.74	132.2	201810	15	13000	1976	명주로78번길
4215011000	강원도 강릉시 교동	1***	단독	8m미만	52.72	134.5	201810	2	4500	1975	명주로78번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	401.95	243.8	201810	13	74500	2005	율곡초교길39번길
4215011000	강원도 강릉시 교동	1***	단독	25m이상	402.84	683	201810	15	60000	1996	경포로
4215033023	강원도 강릉시 구정면 구정리	*	단독	8m미만	106.26	530	201810	22	22000	2017	청파로
4215011600	강원도 강릉시 내곡동	4**	단독	8m미만	79.29	136	201810	29	12950	2001	범일로
4215012100	강원도 강릉시 노암동	6**	단독	12m미만	76.1	143	201810	20	8800	1982	남산길
4215012100	강원도 강릉시 노암동	2**	단독	8m미만	66.96	145	201810	18	5300	1990	강변로288번길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	76.14	193	201810	4	11000	1988	노암길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	133.11	198	201810	11	15600	1979	노가니길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	44.42	367	201810	13	14000	1966	노암길10번길
4215012000	강원도 강릉시 담산동	1**	단독	12m미만	77.67	271	201810	29	13400	1990	모산로
