pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034028	강원도 강릉시 강동면 정동진리	4**	단독	12m미만	79.72	204	201607	10	9500	2003	분소골길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	328.32	222.4	201607	15	55000	2012	원대로179번길
4215011000	강원도 강릉시 교동	9**	다가구	8m미만	332.12	225	201607	25	53000	2013	원대로14번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	18.9	33	201607	25	1585	1980	강릉대로204번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	61.49	136.4	201607	13	9300	1978	강릉대로
4215011000	강원도 강릉시 교동	1***	단독	8m미만	137.3	139	201607	9	9600	1980	교동광장로
4215011000	강원도 강릉시 교동	7**	단독	12m미만	33.72	157	201607	11	8500	1995	화부산로131번길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	54.54	165	201607	7	8050	1972	화부산로8번안길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	167.58	165	201607	18	14500	1994	샘물터길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	73.06	169	201607	23	10500	1983	임영로198번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	236.02	210.8	201607	19	47500	2008	율곡초교길43번길
4215013600	강원도 강릉시 난곡동	1**	단독	8m미만	175.42	550	201607	11	30000	1999	운정길21번길
4215010200	강원도 강릉시 남문동	1**	단독	8m미만	84.46	96	201607	15	11700	1961	경강로2046번길
4215010200	강원도 강릉시 남문동	1**	단독	8m미만	100.19	261	201607	11	11000	1978	경강로2015번길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	100.28	124	201607	25	11770	1983	노암등길
4215012100	강원도 강릉시 노암동	7**	단독	8m미만	63.53	135	201607	6	7500	1960	단오장길6번길
4215012100	강원도 강릉시 노암동	8**	단독	8m미만	149.33	147.3	201607	27	14600	1985	남부로215번길
4215012100	강원도 강릉시 노암동	1**	단독	8m미만	150.47	169	201607	1	11500	1983	노가니길
4215012100	강원도 강릉시 노암동	7**	단독	8m미만	136.84	179	201607	19	7000	1978	단오장길22번길
