pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034028	강원도 강릉시 강동면 정동진리	2**	다가구	12m미만	230.04	292	202003	1	28500	2004	헌화로
4215011500	강원도 강릉시 견소동	2**	단독	12m미만	35.6	81	202003	20	28000	1971	창해로
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	353.61	213.4	202003	24	60000	2003	하슬라로232번길
4215011000	강원도 강릉시 교동	9**	다가구	8m미만	415.17	359.4	202003	16	83000	2012	강릉대로171번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	39.96	99	202003	16	3600	1974	샘물터길1번길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	77.32	119	202003	27	10800	1978	강릉대로171번길
4215011000	강원도 강릉시 교동	1***	단독	8m미만	157.55	640	202003	26	32477	2016	가작로113번길
4215011000	강원도 강릉시 교동	2**	단독	8m미만	159.71	678	202003	9	35000	1989	화부산로141번길
4215033023	강원도 강릉시 구정면 구정리	*	단독	8m미만	113.91	455	202003	23	19000	2017	청파로
4215033021	강원도 강릉시 구정면 여찬리	2**	단독	8m미만	226.91	734	202003	20	38000	1998	구정중앙로
4215011600	강원도 강릉시 내곡동	4**	다가구	8m미만	433.5	234	202003	27	78000	2016	강변로172번안길
4215012100	강원도 강릉시 노암동	2**	단독	25m이상	76.96	32	202003	25	10000	1982	율곡로
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	39.8	169	202003	23	9500	1971	강변로288번길
4215036022	강원도 강릉시 사천면 노동리	1***	단독	8m미만	94.75	331.1	202003	13	25771	2016	샛돌3길
4215036022	강원도 강릉시 사천면 노동리	1***	단독	8m미만	97.2	337.8	202003	7	28939	2016	샛돌3길
4215011400	강원도 강릉시 송정동	3*	다가구	8m미만	335.1	193	202003	2	74000	2018	팔송길35번길
4215037023	강원도 강릉시 연곡면 동덕리	8**	단독	8m미만	98.86	212	202003	5	7900	2002	동덕3길
4215037023	강원도 강릉시 연곡면 동덕리	7**	단독	8m미만	76.23	408	202003	16	22000	2015	동덕2길
4215037021	강원도 강릉시 연곡면 방내리	7*	단독	8m미만	116.42	595	202003	14	30000	1996	진고개로
4215037028	강원도 강릉시 연곡면 삼산리	7**	단독	12m미만	103.72	551	202003	17	27000	2017	진고개로
4215037022	강원도 강릉시 연곡면 영진리	1**	단독	8m미만	75.2	330	202003	2	14000	2015	홍질목길
4215037029	강원도 강릉시 연곡면 퇴곡리	4**	단독	8m미만	59.5	473	202003	13	9500	1907	null
4215035026	강원도 강릉시 옥계면 남양리	1***	단독	8m미만	79	412	202003	12	9300	1999	옥계로
4215035030	강원도 강릉시 옥계면 산계리	1***	단독	8m미만	92.25	332	202003	30	1000	1971	null
4215035021	강원도 강릉시 옥계면 현내리	5**	단독	12m미만	83.88	331	202003	9	13500	2003	현내시장길
4215032021	강원도 강릉시 왕산면 도마리	6**	단독	8m미만	69.33	274	202003	3	6000	1971	백두대간로
4215032023	강원도 강릉시 왕산면 왕산리	1**	단독	8m미만	117	660	202003	13	28600	2010	왕산로
4215012300	강원도 강릉시 월호평동	5**	단독	8m미만	81.75	555	202003	28	8800	1943	독송길
4215012500	강원도 강릉시 입암동	6**	단독	8m미만	29.42	119	202003	28	2300	1978	부기길16번길
4215025022	강원도 강릉시 주문진읍 교항리	1**	단독	8m미만	121.06	252	202003	8	22700	2014	오동나무길
4215025022	강원도 강릉시 주문진읍 교항리	5*	단독	8m미만	191.6	457	202003	5	30000	2004	매맥이윗길
4215025022	강원도 강릉시 주문진읍 교항리	6**	단독	8m미만	51.98	512	202003	30	14000	1970	금용길
4215025023	강원도 강릉시 주문진읍 장덕리	8**	단독	8m미만	112.2	708	202003	2	12000	2018	신리천로
4215025021	강원도 강릉시 주문진읍 주문리	5**	단독	8m미만	81	96	202003	27	4500	1907	고바위길
4215013200	강원도 강릉시 지변동	6**	다가구	8m미만	493.21	278	202003	21	90000	2012	경포로15번길
4215011100	강원도 강릉시 포남동	1***	다가구	8m미만	419.12	204	202003	30	26000	1993	성덕포남로146번길
4215011100	강원도 강릉시 포남동	1***	다가구	12m미만	536.88	336.5	202003	27	40500	1991	보래미하길29번길
4215011100	강원도 강릉시 포남동	1***	단독	8m미만	145.11	170.2	202003	3	20000	1986	경강로2291번길
4215011100	강원도 강릉시 포남동	1***	단독	12m미만	112.1	172.2	202003	27	24500	2005	보래미하길29번길
4215011100	강원도 강릉시 포남동	1***	단독	12m미만	1268.23	378.3	202003	12	79041	1988	용지각길
4215010100	강원도 강릉시 홍제동	1**	단독	8m미만	26.61	104	202003	27	3900	1954	새냉이길26번길
4282025025	강원도 고성군 간성읍 상리	4**	단독	12m미만	66.12	177	202003	17	7000	1980	수성로
4282025028	강원도 고성군 간성읍 해상리	4**	단독	8m미만	82.99	674	202003	6	7000	2003	해상길
4282025321	강원도 고성군 거진읍 거진리	1**	단독	8m미만	41.86	54	202003	9	4200	2002	거진길
4282025321	강원도 고성군 거진읍 거진리	1**	단독	12m미만	93.73	78	202003	20	7000	1955	거진길
4282025321	강원도 고성군 거진읍 거진리	1**	단독	12m미만	45.4	102	202003	11	6280	1957	거진길
4282025333	강원도 고성군 거진읍 송포리	1**	단독	8m미만	83.62	255	202003	21	12000	1978	자산천로
4282032024	강원도 고성군 죽왕면 공현진리	1**	단독	8m미만	43.2	89	202003	17	5000	1995	공현진길
4282032031	강원도 고성군 죽왕면 문암진리	2*	단독	12m미만	47.1	208	202003	26	12000	1966	문암항길
4282033025	강원도 고성군 토성면 백촌리	1**	단독	8m미만	42.12	334	202003	4	9800	2008	백촌길
4282033035	강원도 고성군 토성면 봉포리	2**	단독	8m미만	84.93	450	202003	6	80000	2016	학사촌길
4282033036	강원도 고성군 토성면 성대리	3**	단독	-	145.56	579	202003	18	31300	2019	null
4282033023	강원도 고성군 토성면 아야진리	6*	단독	8m미만	26.95	79	202003	21	6800	1968	아야진남길
4282033023	강원도 고성군 토성면 아야진리	1**	단독	12m미만	75.26	190	202003	10	38968	2015	아야진해변길
4282033021	강원도 고성군 토성면 천진리	*	다가구	25m미만	425.02	284	202003	18	120000	2008	토성로
4282031021	강원도 고성군 현내면 대진리	1**	단독	8m미만	83.21	678	202003	3	24000	1994	대진5길
4282031029	강원도 고성군 현내면 명파리	2**	단독	8m미만	54.45	570	202003	12	3100	1998	명파3길
4217011300	강원도 동해시 구미동	4**	다가구	12m미만	448.16	182	202003	16	57500	2013	구미3길
4217011300	강원도 동해시 구미동	4**	단독	8m미만	79.2	237	202003	26	4940	1981	구미1길
4217011300	강원도 동해시 구미동	6**	단독	8m미만	119.13	251.1	202003	24	20000	1970	구미택지5길
4217012900	강원도 동해시 망상동	산1**	단독	8m미만	69.1	219	202003	9	8520	1979	터일길
4217012300	강원도 동해시 묵호진동	*	단독	8m미만	47.28	77	202003	28	3200	1970	논골길
4217011100	강원도 동해시 발한동	1**	단독	25m미만	51.3	87	202003	4	4000	1999	향로3길
4217011100	강원도 동해시 발한동	5**	단독	8m미만	42.84	91	202003	30	4000	1970	동호로
4217011100	강원도 동해시 발한동	2**	단독	8m미만	44.52	117	202003	23	1300	1970	발한로
4217011100	강원도 동해시 발한동	1**	단독	8m미만	23.8	189	202003	6	2300	1970	향로복개로
4217011100	강원도 동해시 발한동	2**	단독	8m미만	84.69	252	202003	28	15300	2003	지리1길
4217011000	강원도 동해시 부곡동	1**	단독	8m미만	25.2	59	202003	3	1400	1983	전망대길
4217011000	강원도 동해시 부곡동	*	단독	8m미만	104.85	175	202003	19	3500	1988	해안로
4217011000	강원도 동해시 부곡동	6*	단독	8m미만	93.6	249.1	202003	27	13800	2013	수원지1길
4217011200	강원도 동해시 북평동	2**	단독	25m미만	155.16	345	202003	10	13200	1993	전천로
4217010300	강원도 동해시 송정동	8**	단독	12m미만	65.8	56	202003	12	2300	1987	송정중앙로
4217010300	강원도 동해시 송정동	8**	단독	25m이상	144.49	83	202003	19	16000	2002	송정중앙로
4217012600	강원도 동해시 이로동	5**	단독	25m미만	76.5	128	202003	10	6900	2002	효자로
4217010100	강원도 동해시 천곡동	9**	다가구	12m미만	467.72	265.1	202003	3	64500	2017	감추3길
4217010100	강원도 동해시 천곡동	1***	단독	12m미만	96.95	247.5	202003	27	14000	1983	샘실1길
4217010600	강원도 동해시 효가동	1**	단독	8m미만	119.88	166	202003	17	12800	1982	효가2길
4217010600	강원도 동해시 효가동	1**	단독	25m이상	234.8	334	202003	13	31000	1980	동해대로
4223010600	강원도 삼척시 교동	2**	단독	8m미만	58.66	248	202003	14	9500	1994	하실1길
4223031024	강원도 삼척시 근덕면 교가리	1***	다가구	8m미만	346.62	390.6	202003	4	48500	2013	교가2길
4223031031	강원도 삼척시 근덕면 매원리	8*	단독	8m미만	67.44	354	202003	18	27000	1996	원평길
4223033033	강원도 삼척시 노곡면 주지리	1**	단독	8m미만	95.65	531	202003	2	10000	2012	주지로
4223025033	강원도 삼척시 도계읍 전두리	9*	단독	8m미만	28.5	95.86	202003	19	1000	1961	전두강변길
4223034023	강원도 삼척시 미로면 하거노리	1**	단독	8m미만	81	327	202003	20	12000	2003	미로강변로
4223012100	강원도 삼척시 사직동	3**	단독	8m미만	77.11	6.96	202003	24	3000	1981	사직로5길
4223012100	강원도 삼척시 사직동	2**	단독	12m미만	58.24	128	202003	11	7700	1979	사직로
4223011600	강원도 삼척시 오사동	3*	단독	8m미만	78.3	386	202003	10	9000	2010	회강3길
4223025325	강원도 삼척시 원덕읍 옥원리	3*	다가구	8m미만	288.22	294	202003	25	52000	2014	삼척로
4223010800	강원도 삼척시 증산동	3*	단독	8m미만	41.98	231	202003	6	12000	1959	수로부인길
4223032021	강원도 삼척시 하장면 중봉리	2**	단독	12m미만	122.17	859	202003	26	10000	2010	중봉당골길
4221010600	강원도 속초시 교동	9**	다가구	25m미만	321.49	195.3	202003	17	70000	2019	밤골3길
4221010600	강원도 속초시 교동	6**	단독	8m미만	74.37	76	202003	31	12478	1958	중앙로54번길
4221010600	강원도 속초시 교동	6**	단독	8m미만	26.18	96	202003	11	7000	1982	중앙로46번길
4221010600	강원도 속초시 교동	6**	단독	8m미만	65.9	132	202003	11	10000	1990	중앙로
4221010600	강원도 속초시 교동	4**	단독	8m미만	76.02	132	202003	31	16922	1981	중앙로60번길
4221010600	강원도 속초시 교동	6**	단독	8m미만	91.53	133	202003	27	14500	1992	교동로5길
4221010600	강원도 속초시 교동	9**	단독	12m미만	162.54	190.4	202003	24	20000	2004	만천1길
4221010600	강원도 속초시 교동	7**	단독	8m미만	163.12	270	202003	13	30000	2001	만리공원길
4221011100	강원도 속초시 도문동	4**	단독	-	98.37	458	202003	10	23500	2019	설악산로352번길
4221010200	강원도 속초시 동명동	4**	단독	25m미만	110.14	39	202003	12	43200	1957	중앙로
4221010200	강원도 속초시 동명동	4**	단독	8m미만	30.6	84.76	202003	11	27040	1977	중앙로199번길
4221010200	강원도 속초시 동명동	4**	단독	8m미만	49.86	167	202003	10	25000	1975	중앙로
4221010200	강원도 속초시 동명동	4**	단독	8m미만	45.42	214	202003	11	85000	1960	중앙로199번길
4221010200	강원도 속초시 동명동	4**	단독	8m미만	61.99	231	202003	11	34700	1956	중앙로
4221010200	강원도 속초시 동명동	4**	단독	8m미만	88.22	254	202003	11	57700	1974	중앙로199번길
4221010100	강원도 속초시 영랑동	1**	단독	8m미만	71.09	67.2	202003	5	16100	1991	영랑해안4길
4221010100	강원도 속초시 영랑동	2**	단독	8m미만	194.39	339	202003	25	37000	1980	영랑로1길
4221010800	강원도 속초시 조양동	7**	다가구	8m미만	396.42	243	202003	27	78000	2018	논산길
4221010800	강원도 속초시 조양동	1***	단독	12m미만	26.44	86	202003	10	11800	1990	새마을2길
4221010500	강원도 속초시 청학동	4**	다가구	8m미만	465.39	246	202003	26	116000	2019	수복로143번길
4280032026	강원도 양구군 동면 팔랑리	1***	단독	12m미만	118.84	181.5	202003	27	7500	1998	펀치볼로
4280025027	강원도 양구군 양구읍 석현리	9*	단독	8m미만	99.15	294	202003	11	3750	1979	소양석현길
4280025025	강원도 양구군 양구읍 수인리	2**	단독	8m미만	59.7	259	202003	25	2200	2000	소양호로
4283031033	강원도 양양군 서면 오색리	3**	단독	12m미만	129.56	217	202003	19	14500	1985	설악로
4283025029	강원도 양양군 양양읍 조산리	4**	단독	8m미만	24.75	64	202003	13	4500	1993	동해대로
4283034038	강원도 양양군 현남면 남애리	5**	단독	8m미만	93.52	92	202003	15	24000	2000	매바위길
4283034038	강원도 양양군 현남면 남애리	2**	단독	8m미만	97.56	551	202003	17	19500	2018	갓바위1길
4283034022	강원도 양양군 현남면 북분리	3**	단독	8m미만	52.31	432	202003	6	15000	1979	북분안길
4283034034	강원도 양양군 현남면 원포리	1**	단독	8m미만	92.18	180	202003	15	14700	2015	원포1길
4283034021	강원도 양양군 현남면 인구리	*	단독	8m미만	62.11	86	202003	1	20700	1984	인구항길
4283033022	강원도 양양군 현북면 기사문리	8*	단독	8m미만	73.72	149	202003	3	10500	1978	기사문길
4283033025	강원도 양양군 현북면 도리	4**	단독	8m미만	156.7	496	202003	2	25230	2010	버들골길
4275032525	강원도 영월군 김삿갓면 예밀리	8**	단독	8m미만	96.76	257	202003	3	10000	2007	포도마을길
4275034026	강원도 영월군 남면 북쌍리	3*	단독	8m미만	81.62	440	202003	27	20528	2018	남애길
4275034021	강원도 영월군 남면 연당리	9**	단독	8m미만	112.5	389.2	202003	6	15000	2008	조양마을길
4275038024	강원도 영월군 무릉도원면 운학리	1***	단독	8m미만	77.78	650	202003	13	13000	2019	도안지길
4275033025	강원도 영월군 북면 덕상리	5**	단독	-	95.5	429	202003	11	14800	2019	null
4275033025	강원도 영월군 북면 덕상리	5**	단독	-	95.5	438	202003	11	14800	2019	null
4275033025	강원도 영월군 북면 덕상리	5**	단독	-	95.5	440	202003	11	14800	2019	null
4275033025	강원도 영월군 북면 덕상리	5**	단독	-	95.5	441	202003	11	15000	2019	덕전길
4275033025	강원도 영월군 북면 덕상리	5**	단독	-	95.5	462	202003	11	14800	2019	덕전길
4275033025	강원도 영월군 북면 덕상리	5**	단독	-	95.64	465	202003	27	12000	2019	덕전길
4275025021	강원도 영월군 영월읍 영흥리	1***	단독	8m미만	75.92	262	202003	19	9600	1983	단종로34번길
4275025021	강원도 영월군 영월읍 영흥리	5**	단독	12m미만	66.12	407	202003	13	2000	1985	봉래산로
4275025030	강원도 영월군 영월읍 팔괴리	1**	단독	8m미만	133.74	565	202003	27	10000	2019	태화산로
4275036026	강원도 영월군 주천면 용석리	1***	단독	8m미만	85	364	202003	26	2200	1993	석교길
4213011600	강원도 원주시 관설동	1***	다가구	12m미만	414.26	210.7	202003	4	40000	2007	치악고교길
4213011600	강원도 원주시 관설동	1***	다가구	12m미만	494.75	263.9	202003	12	74800	2013	치악고교길
4213036022	강원도 원주시 귀래면 귀래리	1***	단독	8m미만	76.05	308	202003	23	5800	1988	귀문로
4213036021	강원도 원주시 귀래면 운남리	7**	단독	8m미만	64.78	466	202003	3	7500	2005	법동길
4213011000	강원도 원주시 단계동	1**	단독	8m미만	36.72	106	202003	18	8000	1974	원문로125번길
4213011000	강원도 원주시 단계동	7**	단독	12m미만	89.64	187.6	202003	7	20520	1985	샘둔지길
4213010700	강원도 원주시 단구동	1***	다가구	12m미만	347.64	197.6	202003	2	36750	2003	오성마을길
