pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034023	강원도 강릉시 강동면 안인리	5**	단독	8m미만	110.5	764	201603	29	5710	1997	해돋이마을길
4215011300	강원도 강릉시 강문동	1**	단독	8m미만	43.04	172	201603	18	14000	1909	창해로362번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	79.4	112	201603	3	13300	1995	강릉대로303번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	74.29	130	201603	31	9600	1984	화부산로63번길
4215011000	강원도 강릉시 교동	1**	단독	12m미만	200.18	132.2	201603	30	14200	1975	옥천로71번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	116.93	158	201603	21	9600	1982	원대로20번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	91.59	161	201603	12	13500	1984	명주로73번길
4215011000	강원도 강릉시 교동	2**	단독	12m미만	134.91	165	201603	21	20000	1980	화부산로141번안길
4215011000	강원도 강릉시 교동	9**	단독	12m미만	133.64	170	201603	24	19000	1983	원대로8번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	284.19	213.6	201603	3	67500	2011	하슬라로206번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	188.06	248.8	201603	4	23800	1987	원대로14번길
4215033021	강원도 강릉시 구정면 여찬리	5**	단독	8m미만	144.91	441	201603	9	25500	2015	말미길
4215033022	강원도 강릉시 구정면 학산리	5*	단독	8m미만	90.09	762	201603	25	14100	1995	광명길
4215011600	강원도 강릉시 내곡동	1**	단독	12m미만	56.84	105	201603	18	7000	1978	남산초교길11번길
4215011600	강원도 강릉시 내곡동	5*	단독	8m미만	101.25	145	201603	29	6000	1987	강변로182번길
4215011600	강원도 강릉시 내곡동	1**	단독	12m미만	450.77	148	201603	23	28500	1995	남산초교길
4215011600	강원도 강릉시 내곡동	5*	단독	8m미만	62.25	149	201603	23	7500	1971	강변로172번길
4215011600	강원도 강릉시 내곡동	6**	단독	8m미만	263.55	227.6	201603	21	35000	1987	관대길29번길
4215011600	강원도 강릉시 내곡동	4**	단독	25m미만	96.93	512	201603	2	23250	1980	범일로
4215012100	강원도 강릉시 노암동	6**	단독	-	32.03	83	201603	15	2100	1967	임영로25번길
4215010300	강원도 강릉시 명주동	6*	단독	8m미만	49.59	264	201603	15	16000	1957	경강로2024번길
4215036022	강원도 강릉시 사천면 노동리	8**	단독	8m미만	107.42	330	201603	16	15000	2015	중앙서로
4215036022	강원도 강릉시 사천면 노동리	2**	단독	8m미만	37.27	545	201603	28	7700	1980	한과마을길
4215036025	강원도 강릉시 사천면 사천진리	2**	단독	25m미만	76.2	202	201603	29	12000	2015	해안로
4215036025	강원도 강릉시 사천면 사천진리	*	단독	8m미만	53.7	314	201603	28	3500	1980	진리중앙길
4215010800	강원도 강릉시 성남동	5*	다가구	12m미만	485.51	260.5	201603	4	48000	1991	금성로13번길
4215010800	강원도 강릉시 성남동	1**	단독	8m미만	133.71	116.2	201603	14	13000	1983	중앙시장3길
4215031029	강원도 강릉시 성산면 산북리	8**	단독	8m미만	121.7	465	201603	3	18500	2001	칠봉로
4215031027	강원도 강릉시 성산면 어흘리	5**	단독	8m미만	104.83	331	201603	14	17300	2010	부동길
4215011400	강원도 강릉시 송정동	1**	단독	8m미만	144.95	668	201603	19	39000	1997	팔송길
4215037023	강원도 강릉시 연곡면 동덕리	4**	단독	8m미만	41.7	331	201603	29	11500	2009	백일길
4215037023	강원도 강릉시 연곡면 동덕리	4**	단독	8m미만	179.28	555	201603	29	23000	2004	백일길
4215037022	강원도 강릉시 연곡면 영진리	1**	단독	8m미만	39.43	149	201603	18	4700	1980	영진4길
4215037029	강원도 강릉시 연곡면 퇴곡리	3*	단독	8m미만	68.12	588	201603	3	15000	2003	황어대길
4215035029	강원도 강릉시 옥계면 금진리	4**	단독	8m미만	83.11	186	201603	11	8000	1980	금진뒷길
4215035029	강원도 강릉시 옥계면 금진리	1**	단독	8m미만	167.78	370	201603	31	17200	2003	금진뒷길
