pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034022	강원도 강릉시 강동면 모전리	3**	단독	8m미만	112.68	431	201708	30	8900	2002	강동초교길
4215034022	강원도 강릉시 강동면 모전리	7**	단독	8m미만	118.44	680	201708	27	26200	2000	돌평길
4215034023	강원도 강릉시 강동면 안인리	5**	단독	8m미만	94.34	635	201708	3	54070	1984	대동제방길
4215011000	강원도 강릉시 교동	1**	다가구	8m미만	403.35	145	201708	8	35000	1992	율곡로2868번길
4215011000	강원도 강릉시 교동	2**	단독	8m미만	81.25	151	201708	24	11000	1979	율곡로2874번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	96.52	158	201708	26	13500	1978	강릉대로203번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	57.75	159	201708	10	7300	1976	임영로207번길
4215011000	강원도 강릉시 교동	1***	단독	8m미만	176.45	168.5	201708	16	12000	1981	강릉대로
4215011000	강원도 강릉시 교동	1***	단독	8m미만	26.77	192	201708	31	6570	1950	화부산로111번길
4215011000	강원도 강릉시 교동	1***	단독	12m미만	369.17	220.5	201708	21	75000	2004	경포로
4215033021	강원도 강릉시 구정면 여찬리	8**	단독	25m미만	64.39	402.5	201708	29	25300	2000	문화마을2길
4215010200	강원도 강릉시 남문동	1**	단독	8m미만	99.8	248	201708	15	17000	1990	임영로99번길
4215011600	강원도 강릉시 내곡동	3*	단독	8m미만	175.97	171	201708	2	12000	2003	남산초교길5번길
4215011600	강원도 강릉시 내곡동	6**	단독	8m미만	239.97	186.1	201708	12	34200	1988	관대길29번길
4215012100	강원도 강릉시 노암동	3**	단독	12m미만	60.98	102	201708	27	5000	1998	노암길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	63	109	201708	23	5300	1978	노암길25번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	82.36	122	201708	12	6000	1980	노암길7번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	70.6	140	201708	1	7000	1981	임영로25번길
4215012100	강원도 강릉시 노암동	2**	단독	8m미만	114.96	158	201708	11	9000	1982	연화봉길33번길
4215012100	강원도 강릉시 노암동	8**	단독	8m미만	159.94	182	201708	11	15500	1989	노가니남길15번길
4215012100	강원도 강릉시 노암동	1**	단독	8m미만	142.19	992	201708	28	17500	1990	율곡로2631번길
4215036022	강원도 강릉시 사천면 노동리	1***	단독	8m미만	99.35	338.4	201708	3	21206	2017	샛돌3길
4215036027	강원도 강릉시 사천면 방동리	*	단독	8m미만	270.55	635	201708	23	57084	2009	가둔지길
4215036025	강원도 강릉시 사천면 사천진리	7*	단독	8m미만	116.42	277	201708	25	18000	2010	진리해변길
4215036023	강원도 강릉시 사천면 석교리	4**	단독	8m미만	84.18	485	201708	14	15000	2000	석교골말길
4215031023	강원도 강릉시 성산면 금산리	1**	단독	8m미만	66.56	197	201708	23	14750	1984	장안길
4215031025	강원도 강릉시 성산면 송암리	6**	단독	8m미만	99.96	594	201708	7	21500	2014	대송길
4215011400	강원도 강릉시 송정동	1**	단독	8m미만	89.18	170	201708	14	10000	1906	경강로2533번길
4215011400	강원도 강릉시 송정동	1**	단독	8m미만	67.74	529	201708	31	40000	1928	팔송길18번길
4215037023	강원도 강릉시 연곡면 동덕리	7**	단독	8m미만	19	189	201708	24	2500	1990	동덕3길
4215035026	강원도 강릉시 옥계면 남양리	4**	단독	8m미만	83.97	727	201708	13	8000	2003	흙수골길
4215010900	강원도 강릉시 옥천동	8*	단독	8m미만	58.05	192	201708	9	12800	1958	옥천로19번길
4215032026	강원도 강릉시 왕산면 대기리	2***	단독	8m미만	121.83	480	201708	29	11000	2003	노추산로
4215032022	강원도 강릉시 왕산면 목계리	3**	단독	12m미만	135.7	402	201708	23	3200	1990	백두대간로
4215032022	강원도 강릉시 왕산면 목계리	4**	단독	8m미만	176.09	659	201708	3	27969	2011	들꽃마을길
