pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034031	강원도 강릉시 강동면 언별리	1***	단독	12m미만	83.6	506	201501	5	4700	2003	단경로
4215011300	강원도 강릉시 강문동	1**	단독	8m미만	26.44	64	201501	9	11000	1968	창해로
4215011300	강원도 강릉시 강문동	1**	단독	12m미만	26.44	88	201501	9	17000	1968	창해로
4215011000	강원도 강릉시 교동	7**	다가구	12m미만	206.09	191	201501	10	15700	1994	화부산로119번길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	431.34	274.7	201501	22	75000	2003	율곡초교길11번길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	644.43	414.2	201501	29	124000	2013	하슬라로232번길
4215011000	강원도 강릉시 교동	1**	단독	8m미만	137.87	164.1	201501	12	11450	1979	옥천로71번길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	56.79	185	201501	7	7000	1975	화부산로40번길
4215011000	강원도 강릉시 교동	1***	단독	25m미만	286.47	258.4	201501	7	44000	2001	하슬라로206번길
4215011000	강원도 강릉시 교동	9**	단독	25m이상	105.31	689.6	201501	20	53378	1980	강릉대로
4215033021	강원도 강릉시 구정면 여찬리	8**	단독	12m미만	99.9	356.7	201501	2	14700	2000	문화마을1길
4215033022	강원도 강릉시 구정면 학산리	8**	단독	8m미만	67.16	367	201501	11	7500	1993	범일로
4215012100	강원도 강릉시 노암동	8**	단독	12m미만	173.88	172	201501	16	11500	1986	노가니남길
4215012100	강원도 강릉시 노암동	8**	단독	12m미만	191.92	181.4	201501	6	15500	1989	노가니남길
4215012100	강원도 강릉시 노암동	1*	단독	-	71.07	251	201501	28	3200	1960	유산로25번길
4215036022	강원도 강릉시 사천면 노동리	5**	단독	12m미만	192.22	1130	201501	30	18500	1994	중앙서로
4215036021	강원도 강릉시 사천면 미노리	1**	단독	8m미만	63	162	201501	6	3400	1995	삼가봉길
4215036025	강원도 강릉시 사천면 사천진리	*	단독	8m미만	239.7	152	201501	14	6000	1996	진리중앙길
4215031026	강원도 강릉시 성산면 보광리	4**	단독	8m미만	84.66	810	201501	6	3200	null	보광본길
4215031028	강원도 강릉시 성산면 오봉리	2**	단독	8m미만	75.08	281	201501	26	5162	2001	백두대간로
4215031024	강원도 강릉시 성산면 위촌리	4*	단독	8m미만	145.2	466	201501	12	30720	1992	사임당로107번길
4215011400	강원도 강릉시 송정동	2*	단독	12m미만	47.37	463	201501	20	35000	1940	팔송길
4215011400	강원도 강릉시 송정동	1**	단독	8m미만	105.8	489	201501	21	16500	1960	null
4215037022	강원도 강릉시 연곡면 영진리	7*	단독	12m미만	188.64	173	201501	21	33000	1990	해안로
4215037022	강원도 강릉시 연곡면 영진리	1**	단독	8m미만	66.17	324	201501	25	15000	1999	홍질목길
4215035030	강원도 강릉시 옥계면 산계리	3**	단독	-	83.64	264	201501	2	3800	1960	산계금단길
4215010900	강원도 강릉시 옥천동	3**	단독	12m미만	319.51	138.8	201501	5	24500	1993	옥가로58번길
4215010900	강원도 강릉시 옥천동	1*	단독	8m미만	75.44	165	201501	28	8800	1974	옥천로10번길
4215010900	강원도 강릉시 옥천동	3**	단독	25m미만	302.23	189.2	201501	26	30000	1991	중기3길
4215010900	강원도 강릉시 옥천동	9*	단독	8m미만	60.45	201	201501	23	9000	1937	옥천로23번안길
4215025022	강원도 강릉시 주문진읍 교항리	8*	다가구	12m미만	877.77	423	201501	12	90700	2003	해안로
4215025022	강원도 강릉시 주문진읍 교항리	8*	단독	8m미만	26.25	86	201501	8	2500	1960	학교1길
4215025022	강원도 강릉시 주문진읍 교항리	3**	단독	-	52.2	238	201501	5	3700	1974	신리천로
4215025021	강원도 강릉시 주문진읍 주문리	1***	단독	8m미만	71.44	152	201501	31	6500	null	용소원길
4215025021	강원도 강릉시 주문진읍 주문리	3**	단독	25m미만	457.34	187	201501	27	55000	1996	항구로
4215011100	강원도 강릉시 포남동	1***	다가구	12m미만	352.11	197.5	201501	2	29500	1996	하평5길
4215011100	강원도 강릉시 포남동	1***	다가구	25m이상	494.4	244.2	201501	12	46500	1992	강릉대로
4215011100	강원도 강릉시 포남동	1***	다가구	12m미만	586.37	325.6	201501	29	48000	2004	강릉대로359번길
4215011100	강원도 강릉시 포남동	1***	단독	8m미만	136.1	106.4	201501	16	9500	1989	남구길
4215011100	강원도 강릉시 포남동	1***	단독	25m미만	250.35	248.6	201501	2	17000	1989	연당길
4215011100	강원도 강릉시 포남동	3**	단독	8m미만	104.31	307	201501	5	13096	2003	난설헌로78번안길
4215010100	강원도 강릉시 홍제동	8*	다가구	8m미만	562.83	265	201501	12	37000	1993	홍제로19번길
4215011700	강원도 강릉시 회산동	2**	다가구	8m미만	311	835	201501	30	67452	2013	관솔길
4282025024	강원도 고성군 간성읍 봉호리	2**	단독	8m미만	170.04	740	201501	9	5700	2013	봉호1길
4282025321	강원도 고성군 거진읍 거진리	2*	단독	8m미만	72.81	64	201501	13	5000	1998	등대길
4282025321	강원도 고성군 거진읍 거진리	5**	단독	8m미만	26.94	72	201501	13	1650	1968	푸른고개길
4282032031	강원도 고성군 죽왕면 문암진리	4**	다가구	8m미만	258.96	177	201501	20	32000	2004	자작도선사길
4282033030	강원도 고성군 토성면 신평리	1**	단독	8m미만	59	555	201501	30	5000	1925	신평길
4282033034	강원도 고성군 토성면 용촌리	5*	단독	8m미만	162.63	231	201501	12	14900	2002	버리깨길
4282033021	강원도 고성군 토성면 천진리	1**	단독	8m미만	1219.82	1025	201501	23	42700	1981	천진7길
4282031021	강원도 고성군 현내면 대진리	1**	단독	8m미만	26.95	159	201501	1	600	1968	한나루로1길
4217011600	강원도 동해시 단봉동	2**	단독	8m미만	79.26	179	201501	12	4370	1950	연당뒷길
4217012900	강원도 동해시 망상동	4**	단독	8m미만	99.51	1034	201501	28	20000	1996	석두골길
4217012300	강원도 동해시 묵호진동	*	단독	8m미만	41.21	116	201501	27	3000	1985	녹등길
4217012300	강원도 동해시 묵호진동	8*	단독	8m미만	45.82	217	201501	12	1800	1970	해맞이길
4217011100	강원도 동해시 발한동	1*	단독	25m미만	62.69	33	201501	27	4650	1950	발한로
4217011100	강원도 동해시 발한동	1**	단독	8m미만	23.8	189	201501	21	2300	1950	향로복개로
4217011100	강원도 동해시 발한동	6**	단독	8m미만	64.61	414	201501	21	9000	1983	느릅재길
4217011000	강원도 동해시 부곡동	*	단독	25m이상	39	82	201501	6	2400	1950	해안로
4217011000	강원도 동해시 부곡동	3**	단독	8m미만	188.24	1250	201501	8	9000	2002	승지로
4217010300	강원도 동해시 송정동	8**	단독	12m미만	85.88	42.96	201501	19	2000	1985	송정중앙로
4217010100	강원도 동해시 천곡동	1***	다가구	12m미만	579.99	229.4	201501	3	71000	2013	동굴4길
4217010100	강원도 동해시 천곡동	1***	단독	12m미만	77.04	258.8	201501	22	13400	1982	샘실3길
4217010200	강원도 동해시 평릉동	4**	다가구	12m미만	310.08	209	201501	15	45000	2014	평원5길
4217010200	강원도 동해시 평릉동	4**	단독	12m미만	98.79	323	201501	7	27000	2012	평원3길
4217010200	강원도 동해시 평릉동	2**	단독	8m미만	228.6	474	201501	30	14800	1996	평릉길
4217010600	강원도 동해시 효가동	4**	단독	8m미만	42.98	322	201501	7	7000	1950	효가리본길
4223035025	강원도 삼척시 가곡면 동활리	1**	단독	8m미만	84.66	387	201501	14	970	1938	가곡천로
4223010600	강원도 삼척시 교동	7**	단독	12m미만	91.02	215.3	201501	28	15500	2004	청석로
4223031031	강원도 삼척시 근덕면 매원리	7*	다가구	8m미만	400.45	172	201501	6	33000	2013	원평길
4223031031	강원도 삼척시 근덕면 매원리	7*	다가구	8m미만	229.77	297	201501	6	30000	2013	원평길
4223031031	강원도 삼척시 근덕면 매원리	7*	다가구	8m미만	407.17	917	201501	6	42000	2013	원평길
4223031022	강원도 삼척시 근덕면 하맹방리	8**	다가구	8m미만	259.52	1169	201501	8	32720	2012	초당길
4223031022	강원도 삼척시 근덕면 하맹방리	8**	다가구	8m미만	288.45	2788	201501	8	41500	2007	초당길
4223010500	강원도 삼척시 당저동	*	단독	25m이상	89.05	163.3	201501	15	8000	1960	교동로
4223025030	강원도 삼척시 도계읍 도계리	3**	단독	8m미만	152.11	382	201501	22	6000	1949	도계우회로1길
4223011000	강원도 삼척시 마달동	8*	다가구	8m미만	519.16	379	201501	23	60000	2014	마달길
4223025321	강원도 삼척시 원덕읍 갈남리	5*	단독	8m미만	51.54	89	201501	5	2000	1972	갈남길
4223025331	강원도 삼척시 원덕읍 기곡리	9**	단독	8m미만	97.42	522	201501	23	5800	2002	기곡4길
4223025322	강원도 삼척시 원덕읍 임원리	4**	단독	8m미만	79.2	280	201501	8	12000	1996	임원새길
4223025326	강원도 삼척시 원덕읍 호산리	2**	다가구	8m미만	600.74	382	201501	27	108000	2014	삼척로
4223012600	강원도 삼척시 정하동	1**	단독	8m미만	31.2	135.51	201501	23	820	1970	나리골3길
4221010600	강원도 속초시 교동	9**	다가구	8m미만	412.11	200.6	201501	19	22000	1993	만천7길
4221010600	강원도 속초시 교동	6**	단독	8m미만	39.93	99	201501	28	2800	1983	중앙로55번길
4221010600	강원도 속초시 교동	6**	단독	8m미만	47.53	153	201501	16	2500	1983	번영로23번길
4221010600	강원도 속초시 교동	9**	단독	12m미만	228.11	236.1	201501	31	17000	1993	만천7길
