pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215011000109940064	강원도 강릉시 교동	994-64	0994	0064	교동대호	84.96	117.86	201710	18	11000	2	2001	강릉대로121번길 38
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	49.57	93.19	201710	10	7500	4	1997	범일로 528
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	49.57	93.19	201710	25	7600	1	1997	범일로 528
4215012100103090004	강원도 강릉시 노암동	309-4	0309	0004	백마	69.41	45	201710	31	5700	1	1981	노가니길 21-18
4215035021104290001	강원도 강릉시 옥계면 현내리	429-1	0429	0001	동화	47.79	80.33	201710	13	3700	2	1985	옥계로 1050
4215025021111570098	강원도 강릉시 주문진읍 주문리	1157-98	1157	0098	소돌	48.09	57	201710	10	2500	2	1983	신영길 21
4215011100110050165	강원도 강릉시 포남동	1005-165	1005	0165	무궁화국민주택	56.79	59.75	201710	25	8300	2	1984	용지각길8번길 28
4282025037100220003	강원도 고성군 간성읍 흘리	22-3	0022	0003	알프스글로빌	22.028	91.09	201710	18	3500	2	2004	흘리길 153
4217011300104290000	강원도 동해시 구미동	429	0429	0000	북평주공1차	46.79	93.21	201710	16	5300	1	1986	구미3길 46
4217011100100270003	강원도 동해시 발한동	27-3	0027	0003	발한상가	51.03	38.02	201710	18	4700	3	1984	일출로 10-1
4217011200104290000	강원도 동해시 북평동	429	0429	0000	북평주공1차	46.79	93.21	201710	10	5150	3	1986	구미3길 46
4217010100109730006	강원도 동해시 천곡동	973-6	0973	0006	남선빌라3차	28.49	14.95	201710	17	2350	1	1993	감추2길 32-1
4217010100110370008	강원도 동해시 천곡동	1037-8	1037	0008	동명빌라	57.01	29.23	201710	17	6700	1	1993	동굴3길 17
4217010100110370007	강원도 동해시 천곡동	1037-7	1037	0007	영동주택F	54.6	30	201710	12	6600	3	1992	동굴3길 17-1
4217010100109990014	강원도 동해시 천곡동	999-14	0999	0014	천곡힐탑빌라A	52.81	29.86	201710	16	5000	3	1993	충혼길 19-6
4217010100109990015	강원도 동해시 천곡동	999-15	0999	0015	천곡힐탑빌라B	59.93	34.11	201710	24	5550	1	1993	충혼길 19-7
4223012000103450002	강원도 삼척시 남양동	345-2	0345	0002	백조(1~3동)	52.65	43.63	201710	18	5800	3	1986	남양길 63-17
4223025325100310008	강원도 삼척시 원덕읍 옥원리	31-8	0031	0008	(31-8) 1동, 2동	79.92	93.73	201710	1	6500	1	2012	삼척로 636-27
4223025326102130042	강원도 삼척시 원덕읍 호산리	213-42	0213	0042	진영빌라	59.51	44.98	201710	18	5900	4	1994	호산2길 104-5
4223012500103940004	강원도 삼척시 정상동	394-4	0394	0004	선경빌라4차	84.78	53.53	201710	19	12000	3	1993	봉황마을1길 37
4221010600107690032	강원도 속초시 교동	769-32	0769	0032	남성국민주택	55.07	60.27	201710	30	5200	2	1984	만천1길 69
4221010400106250042	강원도 속초시 금호동	625-42	0625	0042	금호	52	90.52	201710	10	4800	1	1982	번영로67번길 19
4221010400106250200	강원도 속초시 금호동	625-200	0625	0200	성진	56.28	67.08	201710	30	6000	3	1985	번영로67번길 24-11
4221010200105120053	강원도 속초시 동명동	512-53	0512	0053	중앙	56.85	86.79	201710	18	5650	1	1985	번영로129번길 29-21
4221010800114630014	강원도 속초시 조양동	1463-14	1463	0014	부화	43.05	39.31	201710	25	6900	1	1990	동해대로3950번길 26
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	84.99	103.13	201710	21	16800	3	1990	청대마을길 5
4280025021101040003	강원도 양구군 양구읍 상리	104-3	0104	0003	교보	39.92	63.43	201710	10	4200	4	1997	중심로 126-9
4280025021104410008	강원도 양구군 양구읍 상리	441-8	0441	0008	리버파크빌	68.81	59.25	201710	16	12000	4	2014	박수근로365번길 20-13
4283025022102030002	강원도 양양군 양양읍 구교리	203-2	0203	0002	태산	58.08	45.6	201710	11	4100	2	1995	관아길 13-63
4275025024106330007	강원도 영월군 영월읍 덕포리	633-7	0633	0007	늘푸른빌라(A동)	75.56	84.13	201710	16	9000	4	2006	덕포하리1길 36-2
4275025021110330101	강원도 영월군 영월읍 영흥리	1033-101	1033	0101	다우빌라(A동)	76.68	67.31	201710	5	5700	4	1992	영모전길83번길 33-10
4275025022103770001	강원도 영월군 영월읍 하송리	377-1	0377	0001	대성주택	41.82	40.95	201710	16	6000	3	1995	절무리골길 9
4275025022100350001	강원도 영월군 영월읍 하송리	35-1	0035	0001	희망주택	46.08	60.53	201710	30	6600	1	1989	은행나무2길 10
4275036021112510001	강원도 영월군 주천면 주천리	1251-1	1251	0001	삼보	75.48	91.95	201710	25	4200	2	1985	주천로58번길 53-3
4213010500105470000	강원도 원주시 개운동	547	0547	0000	예가하이빌	59.24	31.92	201710	18	12200	2	2015	개운4길 74
4213031023112930000	강원도 원주시 소초면 장양리	1293	1293	0000	우창	48.22	63.22	201710	30	3000	3	1993	장막1길 64
4213031023107110004	강원도 원주시 소초면 장양리	711-4	0711	0004	한성빌라1,2동	70.585	76.96	201710	24	7900	3	1997	장막1길 1
4213031023107110001	강원도 원주시 소초면 장양리	711-1	0711	0001	한성빌라A,B동	70.585	77.78	201710	13	8000	3	1997	장막1길 1-6
4213010800101870046	강원도 원주시 일산동	187-46	0187	0046	대림에버빌2차	79.35	48.17	201710	25	9000	1	2005	동진골3길 35
4213010900109840002	강원도 원주시 학성동	984-2	0984	0002	보성	59.94	69.6	201710	9	6000	2	1980	송계2길 22
4281033021104580007	강원도 인제군 기린면 현리	458-7	0458	0007	내린천빌리지C동	77.95	75.25	201710	10	12300	4	2012	내린천로 4108
4281032021106600013	강원도 인제군 북면 원통리	660-13	0660	0013	원통빌라(660-13)가,나동	39.84	31.4	201710	23	1700	-1	1993	금강로 65-1
4281025021100360000	강원도 인제군 인제읍 상동리	36	0036	0000	인제빌라가,나동	76.64	67.44	201710	11	9000	4	1997	인제로240번길 4-1
4277025321100360051	강원도 정선군 고한읍 고한리	36-51	0036	0051	중앙파크빌(F동)	76.6	60	201710	10	10900	1	2011	고한7길 5-20
4278025624103380014	강원도 철원군 갈말읍 군탄리	338-14	0338	0014	성우빌라	81.54	61.19	201710	31	4236	1	1991	명성로 202-14
4278025624103380014	강원도 철원군 갈말읍 군탄리	338-14	0338	0014	성우빌라	91.98	67.63	201710	31	2873	1	1991	명성로 202-14
4278025624103380014	강원도 철원군 갈말읍 군탄리	338-14	0338	0014	성우빌라	84.96	63.19	201710	31	4297	1	1991	명성로 202-14
4278025624103380004	강원도 철원군 갈말읍 군탄리	338-4	0338	0004	재흥빌라	27	20.32	201710	31	1642	4	1995	명성로 202-21
4278025624103380004	강원도 철원군 갈말읍 군탄리	338-4	0338	0004	재흥빌라	27	20.32	201710	31	1508	2	1995	명성로 202-21
4278025624103380004	강원도 철원군 갈말읍 군탄리	338-4	0338	0004	재흥빌라	27	20.32	201710	31	1508	3	1995	명성로 202-21
4278025624103380004	강원도 철원군 갈말읍 군탄리	338-4	0338	0004	재흥빌라	27	20.32	201710	31	1560	3	1995	명성로 202-21
4278025621106080003	강원도 철원군 갈말읍 신철원리	608-3	0608	0003	동주하이츠빌라	71.49	37.98	201710	31	6700	3	2006	명성로174번길 60
4278025621105480000	강원도 철원군 갈말읍 신철원리	548	0548	0000	성우아트빌라	58.94	56	201710	31	4018	2	1993	군탄로 64
4278025621106090024	강원도 철원군 갈말읍 신철원리	609-24	0609	0024	성유빌라(609-24)	53.3	40	201710	23	3000	2	1991	삼부연로61번안길 5
4278025621106040053	강원도 철원군 갈말읍 신철원리	604-53	0604	0053	태봉빌라(604-53)	46.42	27.34	201710	31	1404	1	1994	명성로174번길 56
4278025921108310050	강원도 철원군 동송읍 이평리	831-50	0831	0050	현대리치빌2차	59.21	57.75	201710	28	8950	5	2008	이평1로45번길 25-3
4278031022112160010	강원도 철원군 서면 와수리	1216-10	1216	0010	두루빌	63.14	34.25	201710	11	9000	3	2012	아리랑로 10
4278025021100350003	강원도 철원군 철원읍 화지리	35-3	0035	0003	화인빌라	57.9	65.89	201710	10	2800	1	1989	금학로 300
4211011700107430020	강원도 춘천시 근화동	743-20	0743	0020	가득빌라20	39.43	25.72	201710	25	7800	3	1992	중앙로194번길 58
4211011700107430024	강원도 춘천시 근화동	743-24	0743	0024	가득빌라24	39.43	25.75	201710	23	8100	2	1992	중앙로194번길 58
4211040030101790001	강원도 춘천시 남산면 방하리	179-1	0179	0001	에스엠루빌A동	50.241	54.99	201710	17	17227	1	2010	방하로 769
4211040030101790001	강원도 춘천시 남산면 방하리	179-1	0179	0001	에스엠루빌A동	50.241	54.99	201710	17	17227	1	2010	방하로 769
4211040030101790001	강원도 춘천시 남산면 방하리	179-1	0179	0001	에스엠루빌A동	50.241	54.99	201710	17	17630	2	2010	방하로 769
4211040030101790001	강원도 춘천시 남산면 방하리	179-1	0179	0001	에스엠루빌A동	50.241	54.99	201710	17	18031	3	2010	방하로 769
4211040030101790001	강원도 춘천시 남산면 방하리	179-1	0179	0001	에스엠루빌A동	50.241	54.99	201710	17	17630	2	2010	방하로 769
4211040030101790001	강원도 춘천시 남산면 방하리	179-1	0179	0001	에스엠루빌A동	50.241	54.99	201710	17	18031	3	2010	방하로 769
4211039025100340002	강원도 춘천시 동내면 학곡리	34-2	0034	0002	가득아트빌라	68.243	51.12	201710	26	8000	3	1993	원창고개길 273
4211010700100150001	강원도 춘천시 옥천동	15-1	0015	0001	동보빌라	133.475	129.41	201710	10	12000	2	1985	옥천길40번길 19
4211011200106900005	강원도 춘천시 효자동	690-5	0690	0005	미도	96.9975	69.74	201710	17	8200	2	1982	닥나무길9번길 21-3
4211011200101490001	강원도 춘천시 효자동	149-1	0149	0001	소양	60.88	56.5	201710	11	4000	3	1981	도화길6번길 39
4211011200101490001	강원도 춘천시 효자동	149-1	0149	0001	소양	60.88	56.5	201710	16	3000	2	1981	도화길6번길 39
4211011200101490001	강원도 춘천시 효자동	149-1	0149	0001	소양	60.88	56.5	201710	18	2000	3	1981	도화길6번길 39
4211011200101490001	강원도 춘천시 효자동	149-1	0149	0001	소양	60.88	56.5	201710	25	4300	1	1981	도화길6번길 39
