pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215034030102190003	강원도 강릉시 강동면 산성우리	219-3	0219	0003	정동진우리하우스텔2	27.35	39.53	202002	5	5000	4	2012	오이양지길 32-7
4215034030102190003	강원도 강릉시 강동면 산성우리	219-3	0219	0003	정동진우리하우스텔2	27.35	39.53	202002	5	5000	3	2012	오이양지길 32-7
4215011000108340001	강원도 강릉시 교동	834-1	0834	0001	대동	53.23	73.8	202002	16	4800	2	1983	옛강일길 30
4215011000108340001	강원도 강릉시 교동	834-1	0834	0001	대동	53.23	73.8	202002	20	3700	3	1983	옛강일길 30
4215011000102160017	강원도 강릉시 교동	216-17	0216	0017	세종	66.91	49.9	202002	3	7150	3	1982	율곡로2874번길 27-3
4215035021103510001	강원도 강릉시 옥계면 현내리	351-1	0351	0001	은하수	57.78	86.88	202002	7	4000	3	1984	현내시장길 52
4215035021103510001	강원도 강릉시 옥계면 현내리	351-1	0351	0001	은하수	57.78	86.88	202002	21	4000	2	1984	현내시장길 52
4215010900102230000	강원도 강릉시 옥천동	223	0223	0000	동부시장주택	72.59	23.2	202002	3	6500	3	1977	옥천로 48
4215011100111900000	강원도 강릉시 포남동	1190	1190	0000	동해주택	50.1	66.52	202002	3	5800	2	1981	경강로2323번길 3
4215011100105150000	강원도 강릉시 포남동	515	0515	0000	삼화임대	48.6	97.95	202002	12	5500	3	1988	강릉대로419번길 54
4215011100110050028	강원도 강릉시 포남동	1005-28	1005	0028	소라주택	59.4	59.52	202002	1	6800	2	1984	용지각길38번길 18
4215011100111910001	강원도 강릉시 포남동	1191-1	1191	0001	혜성국민주택	55.56	53.3	202002	6	6450	3	1984	경강로2323번길 4
4217011300104290000	강원도 동해시 구미동	429	0429	0000	북평주공1차	46.86	93.34	202002	5	5200	3	1986	구미3길 46
4217010700100490002	강원도 동해시 동회동	49-2	0049	0002	대아주택1차	53.73	67.08	202002	3	4600	3	1990	효자남길 52-6
