pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	56.79	79.16	202001	9	7800	3	1984	율곡로2968번안길 2
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	56.79	79.16	202001	14	7800	2	1984	율곡로2968번안길 2
4215033022106560112	강원도 강릉시 구정면 학산리	656-112	0656	0112	하솔리치타운	125.97	166.33	202001	3	17800	1	2006	구정옥봉길 150-1
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	30.59	57.51	202001	17	4100	3	1997	범일로 528
4215013400105650003	강원도 강릉시 대전동	565-3	0565	0003	다올캐슬타운	93.52	149.53	202001	10	28000	4	2019	과학단지로21번길 5-30
4215013400105650003	강원도 강릉시 대전동	565-3	0565	0003	다올캐슬타운	93.52	252.23	202001	14	27000	1	2019	과학단지로21번길 5-30
4215011400102160003	강원도 강릉시 송정동	216-3	0216	0003	소라임대주택C단지	56.34	77.24	202001	20	7700	3	1985	송정길 20
4215025022100430000	강원도 강릉시 주문진읍 교항리	43	0043	0000	마이티빌리지	80.4	66.97	202001	23	18900	2	2019	매맥이윗길 13-1
4215011100110820003	강원도 강릉시 포남동	1082-3	1082	0003	베스트빌	88.01	48.29	202001	4	11700	3	2005	강릉대로419번길 7
4215011100105150000	강원도 강릉시 포남동	515	0515	0000	삼화임대	48.6	97.95	202001	16	8900	3	1988	강릉대로419번길 54
4215011100111770001	강원도 강릉시 포남동	1177-1	1177	0001	신일	58.2	63	202001	17	6800	1	1985	성덕포남로182번길 26
4215011100103140001	강원도 강릉시 포남동	314-1	0314	0001	파인빌리지	22.52	48.93	202001	3	8000	4	2018	난설헌로78번길 29-9
4215011100103140001	강원도 강릉시 포남동	314-1	0314	0001	파인빌리지	22.52	48.93	202001	20	7800	2	2018	난설헌로78번길 29-9
4215011100111780001	강원도 강릉시 포남동	1178-1	1178	0001	현대	58.14	72.83	202001	16	5800	2	1984	성덕포남로174번길 20
4217011100105990021	강원도 동해시 발한동	599-21	0599	0021	한일A	56.25	74.25	202001	14	2000	1	1984	수원지2길 9
4217011200104290000	강원도 동해시 북평동	429	0429	0000	북평주공1차	46.79	93.21	202001	2	5300	1	1986	구미3길 46
4217010400105230014	강원도 동해시 용정동	523-14	0523	0014	리치빌1차	75.31	60.02	202001	17	14000	3	2018	봉오동길 28-11
4217011800100020003	강원도 동해시 이도동	2-3	0002	0003	성협그린타운	84.75	56.9	202001	29	6500	2	1994	전천로 202
4217010100110350012	강원도 동해시 천곡동	1035-12	1035	0012	범주성지빌라(가)	59.43	32.21	202001	6	3800	4	1993	동굴3길 7
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	96.06	15.21	202001	14	6300	5	2002	동굴로 147
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	48.81	7.73	202001	27	4100	3	2002	동굴로 147
4223010700100650008	강원도 삼척시 갈천동	65-8	0065	0008	사랑의집(106동)	52.8	84.25	202001	29	3500	2	2006	새천년도로 601-91
4223012000103450002	강원도 삼척시 남양동	345-2	0345	0002	백조(1~3동)	55.14	45.48	202001	29	4900	1	1986	남양길 63-17
4221010600107690032	강원도 속초시 교동	769-32	0769	0032	남성국민주택	55.07	60.27	202001	10	4450	3	1984	만천1길 69
4221010600107790026	강원도 속초시 교동	779-26	0779	0026	아트빌라	83.97	58.52	202001	3	8500	3	1990	만천1길 73-10
4221010600106190001	강원도 속초시 교동	619-1	0619	0001	장미아트빌(619-1)	74.875	74.42	202001	22	8950	1	2004	미시령로3359번길 35
4221010600107690049	강원도 속초시 교동	769-49	0769	0049	한양명가	74.64	65.25	202001	10	12600	2	2012	만천1길 64
4221010700110730129	강원도 속초시 노학동	1073-129	1073	0129	하이디 울산바위(하늘동)	38.893	76.69	202001	6	13600	4	2017	울산바위길 9-11
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	72.78	89.24	202001	16	10500	2	1990	청대마을길 5
4280025021103810010	강원도 양구군 양구읍 상리	381-10	0381	0010	성광나동	52.17	56.19	202001	13	5000	2	1989	비봉로 37
4283025035100460015	강원도 양양군 양양읍 서문리	46-15	0046	0015	서문로얄빌라1차	57.855	32.23	202001	31	4950	4	1995	서문1길 28-7
4283025025103170004	강원도 양양군 양양읍 연창리	317-4	0317	0004	동북3차	49.69	32.56	202001	23	3000	1	1995	관아길 18-16
4213011000101200002	강원도 원주시 단계동	120-2	0120	0002	삼광빌라	66	127.8	202001	2	7400	2	1986	원문로137번길 29
4213011000101840001	강원도 원주시 단계동	184-1	0184	0001	선호	71.9	117.4	202001	14	8000	1	1986	원문로137번길 33
4213010700106860000	강원도 원주시 단구동	686	0686	0000	보라매	72.24	72.22	202001	13	7000	3	1984	단구로 304
4213025022112770001	강원도 원주시 문막읍 동화리	1277-1	1277	0001	스마일빌라 가동	34.55	41.61	202001	5	3761	2	2016	세오름길 8-17
4213011300110550007	강원도 원주시 봉산동	1055-7	1055	0007	제일	54.27	72.96	202001	24	4000	1	1985	봉산1길 18
