pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215011000103020000	강원도 강릉시 교동	302	0302	0000	까르빌	67.9961	50.95	201812	24	18600	4	2018	화부산로141번안길 3
4215011000103020000	강원도 강릉시 교동	302	0302	0000	까르빌	73.2114	54.86	201812	26	18800	3	2018	화부산로141번안길 3
4215011000103020000	강원도 강릉시 교동	302	0302	0000	까르빌	65.1875	48.84	201812	31	17300	3	2018	화부산로141번안길 3
4215011000102680007	강원도 강릉시 교동	268-7	0268	0007	이화	63.8	48.6	201812	3	6500	2	1981	율곡로2968번길 24
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	56.79	79.16	201812	18	6900	1	1984	율곡로2968번안길 2
4215012100103090004	강원도 강릉시 노암동	309-4	0309	0004	백마	69.41	45	201812	31	5600	3	1981	노가니길 21-18
4215010900102230000	강원도 강릉시 옥천동	223	0223	0000	동부시장주택	55.8	13.2	201812	20	3500	3	1977	옥천로 48
4215025021111570098	강원도 강릉시 주문진읍 주문리	1157-98	1157	0098	소돌	48.09	57	201812	20	2000	2	1983	신영길 21
4215011100105150000	강원도 강릉시 포남동	515	0515	0000	삼화임대	48.6	97.95	201812	18	5950	2	1988	강릉대로419번길 54
4215011100110050134	강원도 강릉시 포남동	1005-134	1005	0134	옥포	52.74	53.75	201812	17	4600	1	1983	용지각길8번길 29
4215011100110050134	강원도 강릉시 포남동	1005-134	1005	0134	옥포	52.74	53.75	201812	24	3400	2	1983	용지각길8번길 29
4215011100103140001	강원도 강릉시 포남동	314-1	0314	0001	파인빌리지	22.52	48.93	201812	15	7450	4	2018	난설헌로78번길 29-9
4217011300104290000	강원도 동해시 구미동	429	0429	0000	북평주공1차	46.86	93.34	201812	5	4001	3	1986	구미3길 46
4217011600100930001	강원도 동해시 단봉동	93-1	0093	0001	엘리시움102동	67.47	58.28	201812	13	17500	3	2017	구미택지1길 49
4217011100102280002	강원도 동해시 발한동	228-2	0228	0002	동림맨션	84.94	58.58	201812	28	8200	3	1994	지리골길 10
4217011100103560001	강원도 동해시 발한동	356-1	0356	0001	사문	54.925	58.5	201812	26	2500	1	1983	해안로 635-15
4217011100102400075	강원도 동해시 발한동	240-75	0240	0075	한일	66.14	96.57	201812	13	3500	2	1980	발한로 169-18
4217011000100660016	강원도 동해시 부곡동	66-16	0066	0016	부곡B	53.28	63.63	201812	3	2500	2	1984	수원지1길 12-2
4217011000100740007	강원도 동해시 부곡동	74-7	0074	0007	영동5차주택	31.275	22.61	201812	4	2700	1	1994	가마골길 26-12
4217010400105210017	강원도 동해시 용정동	521-17	0521	0017	퀸즈빌1차	84.31	71.53	201812	6	15000	3	2017	봉오동길 32-10
4217010100110330008	강원도 동해시 천곡동	1033-8	1033	0008	광명빌라D	46.17	29.86	201812	13	4500	3	1995	동굴1길 10-3
4217010100110350005	강원도 동해시 천곡동	1035-5	1035	0005	뉴코아맨션EF	24.21	15.22	201812	11	1200	-1	1991	동굴3길 7-9
4217010100110590004	강원도 동해시 천곡동	1059-4	1059	0004	씨티빌	135.175	38.5	201812	1	13500	3	2017	샘실3길 85
4217010100110080004	강원도 동해시 천곡동	1008-4	1008	0004	우신주택	75.63	52.1	201812	28	5800	1	1991	동굴1길 51
