pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215011000108340003	강원도 강릉시 교동	834-3	0834	0003	대동	58.5	74	201604	28	5700	2	1983	옛강일길 30
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	4	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	2	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	1	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	2	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	149.34	204.56	201604	22	26000	3	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	3	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	1	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	4	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	4	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	3	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	2	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	2	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	4	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	3	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	3	2015	구정옥봉길 150-9
4215033022106410106	강원도 강릉시 구정면 학산리	641-106	0641	0106	학산로얄빌라	84.75	116.08	201604	22	16500	2	2015	구정옥봉길 150-9
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	49.57	93.19	201604	1	6000	4	1997	범일로 528
4215012100103150000	강원도 강릉시 노암동	315	0315	0000	노암	47.11	48	201604	21	2850	1	1981	노암길 40
4215036025100240005	강원도 강릉시 사천면 사천진리	24-5	0024	0005	선경	56.58	73.15	201604	20	5000	2	1995	진리해변길 36
4215037022103530071	강원도 강릉시 연곡면 영진리	353-71	0353	0071	동방 이스트빌(109~111동)	71.12	46.92	201604	27	14400	4	2015	연주로 162
4215012500106500001	강원도 강릉시 입암동	650-1	0650	0001	강변	60.69	59.9	201604	6	5200	3	1982	강중길 11-3
4215012500104980006	강원도 강릉시 입암동	498-6	0498	0006	대목임대	31.15	44.3	201604	11	2200	1	1987	용지로 43
4215025021103250001	강원도 강릉시 주문진읍 주문리	325-1	0325	0001	골든팰리스1	72.15	51	201604	14	16500	2	2015	구소방서길 7
4215025021103250001	강원도 강릉시 주문진읍 주문리	325-1	0325	0001	골든팰리스1	72.15	51	201604	29	16500	3	2015	구소방서길 7
4215025021103250016	강원도 강릉시 주문진읍 주문리	325-16	0325	0016	골든팰리스2	72.15	59.75	201604	14	15500	3	2015	구소방서길 9
4215025021103250016	강원도 강릉시 주문진읍 주문리	325-16	0325	0016	골든팰리스2	72.15	59.75	201604	19	15500	5	2015	구소방서길 9
4215025021106920001	강원도 강릉시 주문진읍 주문리	692-1	0692	0001	보성	46.8	43.64	201604	11	3900	2	1988	주문북로 95
4215011100110050134	강원도 강릉시 포남동	1005-134	1005	0134	옥포	52.74	53.75	201604	8	3700	1	1983	용지각길8번길 29
4215011100110890003	강원도 강릉시 포남동	1089-3	1089	0003	은하수국민주택	57.84	71.63	201604	2	6000	2	1985	가작로 293
4215011100110050011	강원도 강릉시 포남동	1005-11	1005	0011	초원	56.76	53.74	201604	28	6000	3	1984	경강로2234번길 14
4215011100111910001	강원도 강릉시 포남동	1191-1	1191	0001	혜성국민주택	55.65	108	201604	13	7400	3	1984	경강로2323번길 4
4215010100101390006	강원도 강릉시 홍제동	139-6	0139	0006	삼진	50.48	33.88	201604	25	4470	3	1980	홍제로 34
4215010100101390006	강원도 강릉시 홍제동	139-6	0139	0006	삼진	50.78	35.55	201604	26	3800	1	1980	홍제로 34
4217010700100470001	강원도 동해시 동회동	47-1	0047	0001	이레타운	48.13	43.28	201604	25	8800	4	2015	효자남1길 20
4217011100105970011	강원도 동해시 발한동	597-11	0597	0011	동호타워	84.74	41.6	201604	9	6700	4	1995	발한로 89
4217011100101380007	강원도 동해시 발한동	138-7	0138	0007	승우5차	51.84	18.99	201604	5	2000	5	1997	붉은언덕길 13
4217011000100660016	강원도 동해시 부곡동	66-16	0066	0016	부곡B	53.28	63.62	201604	6	2350	2	1984	수원지1길 12-2
4217011000100740007	강원도 동해시 부곡동	74-7	0074	0007	영동5차주택	31.275	22.62	201604	1	2300	4	1994	가마골길 26-12
4217010100109980001	강원도 동해시 천곡동	998-1	0998	0001	범진빌라1차	68.6	34.3	201604	5	7200	2	1992	충혼길 17
4217010100110410012	강원도 동해시 천곡동	1041-12	1041	0012	삼양빌라B	55.81	29.21	201604	17	4350	4	1993	동굴1길 46-5
4217010100110570007	강원도 동해시 천곡동	1057-7	1057	0007	성협빌라	63.35	32.79	201604	22	5300	1	1993	샘실2길 60
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	98.69	15.63	201604	27	7000	5	2002	동굴로 147
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	48.81	7.73	201604	29	3600	3	2002	동굴로 147
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	50.12	7.94	201604	29	3600	3	2002	동굴로 147
4217010100109860011	강원도 동해시 천곡동	986-11	0986	0011	척척빌라	59.76	33.96	201604	12	4750	3	1993	감추5길 7
4223010500100340001	강원도 삼척시 당저동	34-1	0034	0001	두산(A,B동)	75.21	85.8	201604	5	5000	3	1984	중앙로 269
4223025030103440015	강원도 삼척시 도계읍 도계리	344-15	0344	0015	현대	59.15	78.7	201604	7	2500	3	1984	도계우회로 132
4223025029101550000	강원도 삼척시 도계읍 마교리	155	0155	0000	삼마	41.01	89.54	201604	22	1000	2	1986	강원남부로 1736
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	20.26	16.65	201604	4	4200	4	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	4	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	4	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	18.71	15.38	201604	4	4200	5	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	19.8	16.31	201604	4	4200	5	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	20.26	16.65	201604	4	4200	3	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	19.8	16.31	201604	4	4200	4	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	20.26	16.65	201604	4	4200	5	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	5	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	5	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	20.26	16.65	201604	4	4200	2	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	2	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	2	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	3	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	18.71	15.38	201604	4	4200	2	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	19.8	16.31	201604	4	4200	2	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	19.8	16.31	201604	4	4200	3	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	18.71	15.38	201604	4	4200	3	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	21.98	18.08	201604	4	4200	3	2013	호산2길 114-7
4223025326102140002	강원도 삼척시 원덕읍 호산리	214-2	0214	0002	(214-2)	18.71	15.38	201604	4	4200	4	2013	호산2길 114-7
4221010600107770024	강원도 속초시 교동	777-24	0777	0024	동설악빌라4동	55.05	46.66	201604	8	3800	1	1991	교동로6길 47
