pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	30.59	57.51	201706	12	4600	1	1997	범일로 528
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	30.59	57.51	201706	14	4500	3	1997	범일로 528
4215012100103150000	강원도 강릉시 노암동	315	0315	0000	노암	65.88	65	201706	20	4000	1	1981	노암길 40
4215037022103530069	강원도 강릉시 연곡면 영진리	353-69	0353	0069	동방이스트빌(104~105동)	71.12	61.75	201706	8	13200	5	2016	연주로 162
4215010900100470015	강원도 강릉시 옥천동	47-15	0047	0015	옥천	68.62	62.58	201706	18	7200	3	1983	수문길13번길 8
4215012500100970013	강원도 강릉시 입암동	97-13	0097	0013	그린내빌	73.65	73.88	201706	20	17000	4	2017	월대산로 85-11
4215012500104980006	강원도 강릉시 입암동	498-6	0498	0006	대목임대	31.15	44.3	201706	8	5000	1	1987	용지로 43
4215011100105150000	강원도 강릉시 포남동	515	0515	0000	삼화임대	48.6	97.95	201706	7	6500	2	1988	강릉대로419번길 54
4215011100110880006	강원도 강릉시 포남동	1088-6	1088	0006	해당화국민주택	58.32	63.91	201706	19	5300	1	1985	보래미하길 3
4215010100100280014	강원도 강릉시 홍제동	28-14	0028	0014	대호A동	78.36	51.34	201706	16	6500	4	1999	골말길 34
4215011700101950010	강원도 강릉시 회산동	195-10	0195	0010	파인힐1차	37.25	55.89	201706	2	10700	2	2017	관솔길12번길 14-7
4217012300100020002	강원도 동해시 묵호진동	2-2	0002	0002	삼양비취타워	100.12	87.98	201706	27	8800	7	1998	일출로 151
4217011100103020001	강원도 동해시 발한동	302-1	0302	0001	(302-1)	108.49	46.19	201706	2	6300	2	1990	중앙시장길 18
4217011100105870009	강원도 동해시 발한동	587-9	0587	0009	삼양빌라C	63.39	45.29	201706	29	5300	3	1993	송이고개길 8
4217011000100050152	강원도 동해시 부곡동	5-152	0005	0152	일정타워빌라	59.7	68.57	201706	28	5200	1	1992	전망대길 26-2
4217011200104290000	강원도 동해시 북평동	429	0429	0000	북평주공1차	46.86	93.34	201706	26	6300	2	1986	구미3길 46
4217010900101730002	강원도 동해시 쇄운동	173-2	0173	0002	용산빌라	65.67	130.9	201706	23	3700	1	1985	효자로 572
4217010400105210017	강원도 동해시 용정동	521-17	0521	0017	퀸즈빌1차	83.86	71.16	201706	25	16500	5	2017	봉오동길 32-10
4217010100110350001	강원도 동해시 천곡동	1035-1	1035	0001	신영골드빌라	68.01	32.87	201706	7	7000	4	1995	동굴2길 8
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	27.37	18.21	201706	9	3134	2	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	22.5	14.97	201706	9	2599	2	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	19.8	13.18	201706	9	2293	2	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	19.8	13.18	201706	9	2293	2	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	24.09	16.03	201706	9	2752	2	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	27.37	18.21	201706	9	3134	3	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	24.09	16.03	201706	9	2752	3	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	19.8	13.18	201706	9	2293	3	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	19.8	13.18	201706	9	2293	3	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	27.37	18.21	201706	9	3134	4	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	22.5	14.97	201706	9	2599	4	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	19.8	13.18	201706	9	2293	4	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	19.8	13.18	201706	9	2293	4	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	24.09	16.03	201706	9	2752	4	2003	감추1길 38-1
4217010100109700008	강원도 동해시 천곡동	970-8	0970	0008	씨사이드하우스	22.5	14.97	201706	9	2599	3	2003	감추1길 38-1
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	49.33	7.81	201706	16	5000	3	2002	동굴로 147
4217010100109660001	강원도 동해시 천곡동	966-1	0966	0001	효성타운1차	70.16	33.6	201706	20	5000	5	1993	감추1길 10
4217010600103620108	강원도 동해시 효가동	362-108	0362	0108	월문빌라	45.08	26.77	201706	26	2700	3	1994	양지1길 12
4223010700100650000	강원도 삼척시 갈천동	65	0065	0000	사랑의집(101동~105동)	52.26	58.4	201706	10	5300	2	2004	새천년도로 601-91
4223012000103450002	강원도 삼척시 남양동	345-2	0345	0002	백조(1~3동)	38.52	33.19	201706	1	2800	1	1986	남양길 63-17
4223011000100270004	강원도 삼척시 마달동	27-4	0027	0004	학사원룸	31.27	17.32	201706	26	2300	2	2002	마달길 103-16
4223012500102940003	강원도 삼척시 정상동	294-3	0294	0003	유진빌라B	62.73	52.63	201706	27	5300	2	1993	영진서길 71-9
4221010600107770023	강원도 속초시 교동	777-23	0777	0023	동설악빌라3동	49.16	36.25	201706	19	5300	1	1991	교동로6길 47
4221011000104860001	강원도 속초시 대포동	486-1	0486	0001	비치힐즈	48.69	60.45	201706	21	11000	3	2015	해오름로 21
4221010200105130110	강원도 속초시 동명동	513-110	0513	0110	성우주택	61.044	71.2	201706	5	5500	2	1983	번영로105번길 16
4221011200103480002	강원도 속초시 설악동	348-2	0348	0002	현대설악빌리지	77.34	107.16	201706	19	9000	2	1988	청봉로1길 21
4221010100102290031	강원도 속초시 영랑동	229-31	0229	0031	영랑빌라	71.31	53.4	201706	8	8300	3	1995	영랑로2길 13
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	72.78	89.24	201706	8	11500	1	1990	청대마을길 5
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	72.78	89.24	201706	27	12650	3	1990	청대마을길 5
4280025021101040003	강원도 양구군 양구읍 상리	104-3	0104	0003	교보	39.92	63.43	201706	5	4200	3	1997	중심로 126-9
4280025021101110038	강원도 양구군 양구읍 상리	111-38	0111	0038	우성1동	74.19	50.25	201706	21	5700	4	1993	중심로 77-6
4280025021101110004	강원도 양구군 양구읍 상리	111-4	0111	0004	우성3동	52.92	56	201706	8	5700	2	1993	중심로 77-14
4280025021101110037	강원도 양구군 양구읍 상리	111-37	0111	0037	우성5동	59.97	53.04	201706	30	5450	3	1993	중심로 77-93
4280025032102320017	강원도 양구군 양구읍 정림리	232-17	0232	0017	정림하이츠빌1동	73.6	123.5	201706	12	10630	4	2009	박수근로313번길 31-6
4283025022100970002	강원도 양양군 양양읍 구교리	97-2	0097	0002	공작빌라C	47.02	59.3	201706	12	3900	3	1988	관아길 25-14
4283025021100650003	강원도 양양군 양양읍 남문리	65-3	0065	0003	현산	54.81	78.84	201706	27	8000	1	1986	남문5길 15-10
4275025322101030187	강원도 영월군 상동읍 구래리	103-187	0103	0187	병원연립	35.59	60.11	201706	20	1800	1	1978	상동시장길 35-6
4275025322101030187	강원도 영월군 상동읍 구래리	103-187	0103	0187	병원연립	35.59	60.11	201706	22	1000	2	1978	상동시장길 35-6
4275025021107610001	강원도 영월군 영월읍 영흥리	761-1	0761	0001	별마로타운(104동)	95.44	119	201706	20	13800	2	2005	내성길31번길 18
4275025030109140002	강원도 영월군 영월읍 팔괴리	914-2	0914	0002	아름드리 주택	73.28	102	201706	28	12000	1	2014	팔괴로 133
4275025030109140002	강원도 영월군 영월읍 팔괴리	914-2	0914	0002	아름드리 주택	73.28	102	201706	28	12000	4	2014	팔괴로 133
4275025022103770004	강원도 영월군 영월읍 하송리	377-4	0377	0004	금성주택	33.33	20.55	201706	22	3350	2	1996	절무리골길 3-8
4213010700106860000	강원도 원주시 단구동	686	0686	0000	보라매	66	72.22	201706	30	7900	3	1984	단구로 304
4213025026102140010	강원도 원주시 문막읍 건등리	214-10	0214	0010	청담빌라A동	69.02	54.75	201706	30	12000	4	2016	원문로 1627-16
4213031023112930000	강원도 원주시 소초면 장양리	1293	1293	0000	우창	48.22	63.22	201706	1	3000	1	1993	장막1길 64
4213031023112930000	강원도 원주시 소초면 장양리	1293	1293	0000	우창	48.22	63.22	201706	8	3200	1	1993	장막1길 64
4213010800102470137	강원도 원주시 일산동	247-137	0247	0137	일산연립	72.3	63.63	201706	22	6400	3	1985	남산로149번길 18
4213010800101540045	강원도 원주시 일산동	154-45	0154	0045	초원의집	84.79	48.4	201706	5	12000	4	2007	일산로36번길 36
4213010900109020000	강원도 원주시 학성동	902	0902	0000	중앙연립	56.578	58.26	201706	26	5500	1	1978	송계2길 25
4281033021104580012	강원도 인제군 기린면 현리	458-12	0458	0012	내린천빌리지D동	64.25	65.38	201706	9	10500	2	2012	내린천로 4108
4281033021107090000	강원도 인제군 기린면 현리	709	0709	0000	성신빌라(709)A동	41.82	45.56	201706	15	3200	3	1994	내린천로 3977
4281032021106600013	강원도 인제군 북면 원통리	660-13	0660	0013	원통빌라(660-13)가,나동	79.68	62.8	201706	16	5700	4	1993	금강로 65-1
4281035022101010000	강원도 인제군 상남면 하남리	101	0101	0000	독립문	47.9038	118.16	201706	21	5500	4	2011	내린천로 3311
4281025022102180009	강원도 인제군 인제읍 남북리	218-9	0218	0009	골든빌라나동	36.75	25.42	201706	16	4500	3	1990	비봉로30번길 48
4281025024107990032	강원도 인제군 인제읍 덕산리	799-32	0799	0032	라온하이파크	73.28	85.5	201706	30	12500	1	2012	덕산로 80-1
4281025024107990032	강원도 인제군 인제읍 덕산리	799-32	0799	0032	라온하이파크	59.31	69.75	201706	30	11500	2	2012	덕산로 80-1
4281025024107990032	강원도 인제군 인제읍 덕산리	799-32	0799	0032	라온하이파크	73.28	85.5	201706	30	12500	3	2012	덕산로 80-1
4281025021103160001	강원도 인제군 인제읍 상동리	316-1	0316	0001	극동연립D동	54.06	87.25	201706	14	4700	2	1985	인제로155번길 12
4277025024104320003	강원도 정선군 정선읍 애산리	432-3	0432	0003	이강아리채	73.12	62.48	201706	1	15800	6	2017	녹송3길 56
4278025625109110001	강원도 철원군 갈말읍 문혜리	911-1	0911	0001	선린빌라	39.42	25.88	201706	14	1750	2	1990	두루미로 145-5
4278025625109110001	강원도 철원군 갈말읍 문혜리	911-1	0911	0001	선린빌라	39.42	25.88	201706	21	1500	3	1990	두루미로 145-5
4278025622100500005	강원도 철원군 갈말읍 지포리	50-5	0050	0005	서강빌라 	88.46	67.36	201706	8	5000	2	1996	명성로157번길 13
4278025921108430144	강원도 철원군 동송읍 이평리	843-144	0843	0144	블루시티102동103동	67.88	36.44	201706	20	14480	4	2016	이평로123번길 29
4278025921108520015	강원도 철원군 동송읍 이평리	852-15	0852	0015	시장연립	42.65	30.43	201706	19	1400	3	1990	금학로229번길 15
