pnu	시군구	번지	본번	부번	건물명	전월세구분	전용면적	계약연월	계약일	보증금만원	월세만원	층	건축년도	도로명
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	월세	56.79	201812	20	500	30	1	1984	율곡로2968번안길 2
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	전세	56.79	201812	22	2500	0	1	1984	율곡로2968번안길 2
4215011600101090001	강원도 강릉시 내곡동	109-1	0109	0001	무지개	월세	57.33	201812	27	300	30	3	1984	강변로194번길 15
4215010800101090002	강원도 강릉시 성남동	109-2	0109	0002	(109-2)	전세	22.61	201812	5	6500	0	3	2012	중앙시장3길 15-6
4215011200101270008	강원도 강릉시 초당동	127-8	0127	0008	한솔빌라2차	전세	98.04	201812	24	9000	0	4	1992	강릉대로587번길 9-6
4215011100110050020	강원도 강릉시 포남동	1005-20	1005	0020	개미주택	전세	56.76	201812	12	6000	0	1	1984	경강로2234번길 18
4215011100103140001	강원도 강릉시 포남동	314-1	0314	0001	파인빌리지	월세	22.52	201812	31	3000	25	4	2018	난설헌로78번길 29-9
4215011700101960014	강원도 강릉시 회산동	196-14	0196	0014	관동타운 201동	전세	41.02	201812	1	6000	0	2	2013	관솔길12번길 14
4215011700101950020	강원도 강릉시 회산동	195-20	0195	0020	관동타운 301동	전세	19.77	201812	19	5000	0	3	2015	관솔길12번길 14-5
4215011700101950002	강원도 강릉시 회산동	195-2	0195	0002	관동타운101동	월세	19.09	201812	12	5500	5	3	2012	관솔길12번길 14-11
4215011700101950002	강원도 강릉시 회산동	195-2	0195	0002	관동타운101동	전세	20.35	201812	13	5000	0	2	2012	관솔길12번길 14-11
4215011700101950009	강원도 강릉시 회산동	195-9	0195	0009	관동타운102동	전세	24.95	201812	27	6000	0	3	2012	관솔길12번길 14-9
4217011300104290000	강원도 동해시 구미동	429	0429	0000	북평주공1차	전세	46.86	201812	6	4500	0	2	1986	구미3길 46
4217010700100470001	강원도 동해시 동회동	47-1	0047	0001	이레타운	월세	46.24	201812	6	1520	30	3	2015	효자남1길 20
4217010100109730002	강원도 동해시 천곡동	973-2	0973	0002	범진빌라2차(B)	월세	65.16	201812	22	500	32	1	1993	감추2길 28
4223012500102480001	강원도 삼척시 정상동	248-1	0248	0001	정상주택	전세	57.665	201812	2	3500	0	3	1979	오십천로 569-23
4221010600107770025	강원도 속초시 교동	777-25	0777	0025	동설악빌라5동	월세	47.76	201812	1	300	30	2	1991	교동로6길 47
4221010200105130004	강원도 속초시 동명동	513-4	0513	0004	설악맨션	전세	42.623	201812	24	4500	0	3	2012	번영로129번길 7-3
4221011200103480002	강원도 속초시 설악동	348-2	0348	0002	현대설악빌리지	전세	77.34	201812	24	3000	0	1	1988	청봉로1길 21
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	전세	84.99	201812	10	10000	0	1	1990	청대마을길 5
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	전세	72.78	201812	10	6615	0	1	1990	청대마을길 5
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	월세	64.13	201812	20	500	40	3	1990	청대마을길 5
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	전세	72.78	201812	22	6500	0	1	1990	청대마을길 5
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	전세	46.68	201812	26	7500	0	5	2017	박수근로365번길 20-9
4275025022100270001	강원도 영월군 영월읍 하송리	27-1	0027	0001	대한아트빌	전세	84.36	201812	24	8000	0	4	2006	은행나무1길 68
4213011000107770004	강원도 원주시 단계동	777-4	0777	0004	단계하나VIVACHE	전세	52.2	201812	21	10000	0	8	2017	천사로 106
4213010700106860000	강원도 원주시 단구동	686	0686	0000	보라매	전세	66	201812	1	2000	0	2	1984	단구로 304
4213011200109690017	강원도 원주시 태장동	969-17	0969	0017	리안펠리스	전세	57.55	201812	9	5500	0	4	2013	포란재로 26-2
4213037022112350003	강원도 원주시 흥업면 매지리	1235-3	1235	0003	연세빌	전세	18.285	201812	31	4500	0	3	2013	매남동길 6-2
4213037021108990001	강원도 원주시 흥업면 흥업리	899-1	0899	0001	한라드림빌(가동)	전세	16.45	201812	29	4500	0	4	2015	자감길 5-4
4213037021108990009	강원도 원주시 흥업면 흥업리	899-9	0899	0009	한라드림빌(나동)	전세	12.37	201812	22	4500	0	5	2017	자감길 5-2
4281034021106650033	강원도 인제군 서화면 천도리	665-33	0665	0033	설악빌라가,나동(설악그린빌라)	전세	52.02	201812	28	3500	0	1	1995	천도로98번길 25-13
4281025023103680000	강원도 인제군 인제읍 합강리	368	0368	0000	합강리 하이빌	전세	59.975	201812	20	12000	0	1	2018	인제로 250-7
4277025022107590000	강원도 정선군 정선읍 북실리	759	0759	0000	태남빌라	월세	78.38	201812	15	800	40	3	1994	정선로 1220
4278025621106040013	강원도 철원군 갈말읍 신철원리	604-13	0604	0013	청광빌라	전세	48.94	201812	8	3000	0	1	1994	명성로174번길 42-2
4278025921108470039	강원도 철원군 동송읍 이평리	847-39	0847	0039	동송팰리스	전세	64.55	201812	10	13000	0	2	2018	이평로85번길 28-2
