pnu	시군구	번지	본번	부번	건물명	전월세구분	전용면적	계약연월	계약일	보증금만원	월세만원	층	건축년도	도로명
4215011000107580003	강원도 강릉시 교동	758-3	0758	0003	금강	월세	85.22	201902	7	700	35	3	1981	율곡로2953번길 18
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	전세	30.59	201902	12	5200	0	3	1997	범일로 528
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	월세	30.59	201902	20	300	25	3	1997	범일로 528
4215012100105930011	강원도 강릉시 노암동	593-11	0593	0011	(593-11)	전세	72.21	201902	18	6000	0	1	2018	남부로136번길 7
4215011400102160003	강원도 강릉시 송정동	216-3	0216	0003	소라임대주택C단지	월세	56.34	201902	24	1000	30	1	1985	송정길 20
4215037022103530070	강원도 강릉시 연곡면 영진리	353-70	0353	0070	동방이스트빌(106~108동)	월세	70.415	201902	25	1000	50	3	2015	연주로 162
4215010900100470015	강원도 강릉시 옥천동	47-15	0047	0015	옥천	전세	56.48	201902	9	7000	0	3	1983	수문길13번길 8
4215025022102460001	강원도 강릉시 주문진읍 교항리	246-1	0246	0001	금성아트	월세	82.34	201902	28	1000	45	2	2003	민등산길 27
4215025022110890001	강원도 강릉시 주문진읍 교항리	1089-1	1089	0001	해안연립(18동~21동)	전세	44.46	201902	28	4000	0	2	1982	해안3길 25
4215011200102220004	강원도 강릉시 초당동	222-4	0222	0004	정아	월세	54.9	201902	22	1000	35	2	1990	초당원길 99
4215011100110050134	강원도 강릉시 포남동	1005-134	1005	0134	옥포	전세	52.74	201902	19	5000	0	2	1983	용지각길8번길 29
4215011100111910001	강원도 강릉시 포남동	1191-1	1191	0001	혜성국민주택	전세	55.56	201902	7	6000	0	2	1984	경강로2323번길 4
4215011700101960013	강원도 강릉시 회산동	196-13	0196	0013	관동타운 202동	전세	27.7	201902	12	6000	0	4	2013	관솔길12번길 16
4215011700101950002	강원도 강릉시 회산동	195-2	0195	0002	관동타운101동	전세	20.35	201902	28	5500	0	3	2012	관솔길12번길 14-11
4215011700101950009	강원도 강릉시 회산동	195-9	0195	0009	관동타운102동	전세	18.9	201902	7	5000	0	2	2012	관솔길12번길 14-9
4215011700101950009	강원도 강릉시 회산동	195-9	0195	0009	관동타운102동	전세	24.42	201902	16	6000	0	4	2012	관솔길12번길 14-9
4217010100110340005	강원도 동해시 천곡동	1034-5	1034	0005	광명원룸빌라	전세	55.125	201902	25	4000	0	3	1999	동굴1길 12-2
4217010100110350003	강원도 동해시 천곡동	1035-3	1035	0003	뉴코아맨션AB	전세	24.21	201902	11	2000	0	1	1991	동굴3길 7-9
4217010100109980002	강원도 동해시 천곡동	998-2	0998	0002	동산빌라2차	전세	64.35	201902	11	6500	0	2	1995	충혼길 15
4223012000100080002	강원도 삼척시 남양동	8-2	0008	0002	협신빌라	월세	75.51	201902	11	1000	20	4	1994	사대길 52-33
4223010500101250003	강원도 삼척시 당저동	125-3	0125	0003	(125-3)	전세	20.4	201902	2	4500	0	3	2015	당저길 29
4223010500101250004	강원도 삼척시 당저동	125-4	0125	0004	JG오피스텔	전세	24.09	201902	8	4500	0	5	2013	당저길 35-5
4223010500100100001	강원도 삼척시 당저동	10-1	0010	0001	두원밸리	월세	48.93	201902	23	1200	30	3	2013	사대1길 35-30
4223010500100100001	강원도 삼척시 당저동	10-1	0010	0001	두원밸리	월세	48.93	201902	28	1000	38	4	2013	사대1길 35-30
4221010400105120026	강원도 속초시 금호동	512-26	0512	0026	속초효성빌라	월세	205.65	201902	25	9000	10	1	1996	영랑호반길 115-1
4221010200105130004	강원도 속초시 동명동	513-4	0513	0004	설악맨션	전세	42.623	201902	1	4500	0	2	2012	번영로129번길 7-3
4221010200105130004	강원도 속초시 동명동	513-4	0513	0004	설악맨션	전세	76.19	201902	8	8500	0	3	2012	번영로129번길 7-3
4221010200105130004	강원도 속초시 동명동	513-4	0513	0004	설악맨션	전세	76.19	201902	16	8000	0	3	2012	번영로129번길 7-3
4221011200102450010	강원도 속초시 설악동	245-10	0245	0010	성수하우징	전세	81.48	201902	26	9000	0	2	1978	청봉로 227
4221011300105180007	강원도 속초시 장사동	518-7	0518	0007	우림주택	전세	62.64	201902	19	7000	0	3	1986	중앙로 437-6
4221010800114630014	강원도 속초시 조양동	1463-14	1463	0014	부화	전세	51.24	201902	11	4000	0	3	1990	동해대로3950번길 26
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	월세	72.78	201902	20	1500	30	1	1990	청대마을길 5
4221010300106230002	강원도 속초시 중앙동	623-2	0623	0002	청솔그랑빌	전세	37.43	201902	14	7000	0	2	2018	번영로97번길 23-1
4221010300106230002	강원도 속초시 중앙동	623-2	0623	0002	청솔그랑빌	전세	37.43	201902	18	8000	0	5	2018	번영로97번길 23-1
4280025021101040003	강원도 양구군 양구읍 상리	104-3	0104	0003	교보	월세	39.92	201902	19	300	30	2	1997	중심로 126-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	전세	46.68	201902	9	6500	0	2	2017	박수근로365번길 20-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	전세	46.68	201902	16	7500	0	4	2017	박수근로365번길 20-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	전세	45.75	201902	16	7000	0	4	2017	박수근로365번길 20-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	월세	45.75	201902	19	800	43	3	2017	박수근로365번길 20-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	월세	45.75	201902	28	800	43	2	2017	박수근로365번길 20-9
4283025035102680002	강원도 양양군 양양읍 서문리	268-2	0268	0002	태한그린맨션	월세	52.8	201902	16	500	35	3	1997	고치물길 22
4213011000107780030	강원도 원주시 단계동	778-30	0778	0030	아이손 원주단계 103동 (단계동 778-30)	전세	73.51	201902	8	7000	0	6	2018	천사로 90-1
4213010700106860000	강원도 원주시 단구동	686	0686	0000	보라매	월세	66	201902	11	0	15	2	1984	단구로 304
4213011500117220007	강원도 원주시 무실동	1722-7	1722	0007	(1722-7)	전세	23.075	201902	1	6000	0	4	2013	만대로 5-2
4213011500117220007	강원도 원주시 무실동	1722-7	1722	0007	(1722-7)	전세	24.14	201902	1	6000	0	5	2013	만대로 5-2
4213011500117210006	강원도 원주시 무실동	1721-6	1721	0006	채움플러스무실1차	월세	27.36	201902	20	5000	20	3	2019	시청로 11
4213011500117210006	강원도 원주시 무실동	1721-6	1721	0006	채움플러스무실1차	전세	27.36	201902	20	9500	0	3	2019	시청로 11
4213011500117210006	강원도 원주시 무실동	1721-6	1721	0006	채움플러스무실1차	월세	27.36	201902	23	1000	37	3	2019	시청로 11
4213011500117210006	강원도 원주시 무실동	1721-6	1721	0006	채움플러스무실1차	전세	45.6	201902	23	12000	0	3	2019	시청로 11
4213011500117210006	강원도 원주시 무실동	1721-6	1721	0006	채움플러스무실1차	전세	27.36	201902	25	8000	0	3	2019	시청로 11
4213038022101310000	강원도 원주시 판부면 서곡리	131	0131	0000	(131-0)	전세	61	201902	28	3000	0	3	2014	내남송길 134
4281032021107720001	강원도 인제군 북면 원통리	772-1	0772	0001	우진빌라(772-1)가동	전세	42.03	201902	25	2000	0	4	1995	원통로 116
4281025024107990032	강원도 인제군 인제읍 덕산리	799-32	0799	0032	라온하이파크	전세	73.28	201902	9	11000	0	2	2012	덕산로 80-1
4281025023103680000	강원도 인제군 인제읍 합강리	368	0368	0000	합강리 하이빌	전세	59.0811	201902	1	14000	0	3	2018	인제로 250-7
4277025321102610034	강원도 정선군 고한읍 고한리	산261-34	0261	0034	고한빌라	월세	59.86	201902	15	1000	30	1	1999	고한9길 145
4278025621106040029	강원도 철원군 갈말읍 신철원리	604-29	0604	0029	대봉하이츠빌라	전세	69.2	201902	9	4000	0	1	2002	명성로174번길 50
4278025921108380064	강원도 철원군 동송읍 이평리	838-64	0838	0064	미소가	전세	15.96	201902	9	2500	0	5	2014	금학로187번안길 15-5
4278025921108610160	강원도 철원군 동송읍 이평리	861-160	0861	0160	학산빌라씨동	월세	32.72	201902	17	200	30	2	1999	이평로111번길 28
4211012200101130268	강원도 춘천시 교동	113-268	0113	0268	신한주택 장미동	전세	42.3	201902	21	5000	0	2	2001	전원안길33번길 9-1
4211010800100690006	강원도 춘천시 조양동	69-6	0069	0006	장운-B동	전세	18.876	201902	2	5000	0	2	2015	시청길 16-2
4211010800100690006	강원도 춘천시 조양동	69-6	0069	0006	장운-B동	전세	18.856	201902	8	5000	0	4	2015	시청길 16-2
4211010800100690006	강원도 춘천시 조양동	69-6	0069	0006	장운-B동	전세	18.391	201902	12	4500	0	2	2015	시청길 16-2
4211010800100690006	강원도 춘천시 조양동	69-6	0069	0006	장운-B동	월세	18.391	201902	16	500	35	4	2015	시청길 16-2
