pnu	시군구	번지	본번	부번	건물명	전월세구분	전용면적	계약연월	계약일	보증금만원	월세만원	층	건축년도	도로명
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	월세	56.79	201604	11	1000	30	3	1984	율곡로2968번안길 2
4215011000102540012	강원도 강릉시 교동	254-12	0254	0012	한진	전세	79.075	201604	19	6500	0	2	1982	명륜로 69
4215036025100240005	강원도 강릉시 사천면 사천진리	24-5	0024	0005	선경	전세	49.65	201604	8	4000	0	2	1995	진리해변길 36
4215010900102120001	강원도 강릉시 옥천동	212-1	0212	0001	로얄	전세	70.925	201604	25	4500	0	2	1983	옥천로62번길 3
4215025021108650001	강원도 강릉시 주문진읍 주문리	865-1	0865	0001	0865-0001	전세	72.43	201604	1	9000	0	3	2014	주문북로 116-5
4215025021108650001	강원도 강릉시 주문진읍 주문리	865-1	0865	0001	0865-0001	월세	74.13	201604	28	1500	45	3	2014	주문북로 116-5
4215011100111940009	강원도 강릉시 포남동	1194-9	1194	0009	강릉지청관사	전세	84.465	201604	6	8000	0	2	1989	경강로2333번길 10
4215011100111980001	강원도 강릉시 포남동	1198-1	1198	0001	대주빌라	전세	98.3	201604	9	10000	0	1	1990	연당길 20
4215011100105150000	강원도 강릉시 포남동	515	0515	0000	삼화임대	전세	48.6	201604	28	4000	0	1	1988	강릉대로419번길 54
4215011100110050134	강원도 강릉시 포남동	1005-134	1005	0134	옥포	월세	52.74	201604	27	500	30	1	1983	용지각길8번길 29
4217011300104290000	강원도 동해시 구미동	429	0429	0000	북평주공1차	전세	46.79	201604	27	2500	0	2	1986	구미3길 46
4217010100110350006	강원도 동해시 천곡동	1035-6	1035	0006	영동주택BC	전세	59.275	201604	28	4000	0	4	1991	동굴3길 7-6
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	월세	96.06	201604	2	500	35	5	2002	동굴로 147
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	월세	96.06	201604	17	800	33	5	2002	동굴로 147
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	월세	97.11	201604	17	500	35	5	2002	동굴로 147
4221010600107770023	강원도 속초시 교동	777-23	0777	0023	동설악빌라3동	월세	49.16	201604	23	1000	20	1	1991	교동로6길 47
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	전세	72.78	201604	1	6000	0	1	1990	청대마을길 5
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	월세	84.99	201604	14	5000	20	1	1990	청대마을길 5
4280025021101040003	강원도 양구군 양구읍 상리	104-3	0104	0003	교보	월세	39.92	201604	16	2000	15	4	1997	중심로 126-9
