pnu	시군구	번지	본번	부번	건물명	전월세구분	전용면적	계약연월	계약일	보증금만원	월세만원	층	건축년도	도로명
4215011000103150027	강원도 강릉시 교동	315-27	0315	0027	교동	월세	53.5	201612	22	500	30	3	1983	율곡로2988번길 8-2
4215011000102680007	강원도 강릉시 교동	268-7	0268	0007	이화	월세	63.8	201612	5	500	35	2	1981	율곡로2968번길 24
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	전세	30.59	201612	23	3000	0	4	1997	범일로 528
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	월세	49.57	201612	23	2000	20	4	1997	범일로 528
4215011600101350002	강원도 강릉시 내곡동	135-2	0135	0002	해림	전세	37.68	201612	28	3500	0	3	1987	남산초교길 57
4215012100102670008	강원도 강릉시 노암동	267-8	0267	0008	성덕주택(금모래)	전세	51.65	201612	1	4500	0	2	1983	강변로312번길 3
4215037022103530029	강원도 강릉시 연곡면 영진리	353-29	0353	0029	동방이스트빌(101~103동)	월세	71.12	201612	10	2000	40	3	2016	연주로 162
4215037022103530029	강원도 강릉시 연곡면 영진리	353-29	0353	0029	동방이스트빌(101~103동)	월세	71.12	201612	26	3000	30	5	2016	연주로 162
4215013200102850002	강원도 강릉시 지변동	285-2	0285	0002	(285-2)	전세	21.815	201612	30	4000	0	2	2014	지변길 34
4215011100105150000	강원도 강릉시 포남동	515	0515	0000	삼화임대	월세	48.6	201612	6	500	30	2	1988	강릉대로419번길 54
4215011700101960008	강원도 강릉시 회산동	196-8	0196	0008	관동타운 203동	전세	18.4	201612	10	4500	0	2	2013	관솔길12번길 18
4215011700101950009	강원도 강릉시 회산동	195-9	0195	0009	관동타운102동	전세	20.35	201612	28	5000	0	3	2012	관솔길12번길 14-9
4215011700101950012	강원도 강릉시 회산동	195-12	0195	0012	은혜빌	전세	19.82	201612	22	5000	0	2	2015	관솔길12번길 10-3
4217010700100470001	강원도 동해시 동회동	47-1	0047	0001	이레타운	월세	46.24	201612	16	2000	30	3	2015	효자남1길 20
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	전세	98.69	201612	5	6000	0	5	2002	동굴로 147
4223012000103450002	강원도 삼척시 남양동	345-2	0345	0002	백조(1~3동)	월세	49.8	201612	21	500	28	3	1986	남양길 63-17
4223010500100100001	강원도 삼척시 당저동	10-1	0010	0001	두원밸리	월세	48.93	201612	5	2000	30	4	2013	사대1길 35-30
4221010400106250042	강원도 속초시 금호동	625-42	0625	0042	금호	전세	52	201612	8	5000	0	2	1982	번영로67번길 19
4221010400106250042	강원도 속초시 금호동	625-42	0625	0042	금호	전세	52	201612	15	4000	0	1	1982	번영로67번길 19
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	월세	64.13	201612	1	500	40	3	1990	청대마을길 5
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	전세	72.78	201612	2	7000	0	2	1990	청대마을길 5
4280025021101040003	강원도 양구군 양구읍 상리	104-3	0104	0003	교보	월세	39.92	201612	27	500	30	2	1997	중심로 126-9
4275025022101840005	강원도 영월군 영월읍 하송리	184-5	0184	0005	장미9차	전세	71.58	201612	22	9000	0	2	1992	하송안길 19-6
4213011200113940004	강원도 원주시 태장동	1394-4	1394	0004	동우하이츠빌라	월세	78.63	201612	15	500	35	4	1993	흥양로18번길 19-8
4213011200106920003	강원도 원주시 태장동	692-3	0692	0003	태일주택	전세	58.44	201612	7	3000	0	1	1984	보수골길 4
