pnu	시군구	번지	본번	부번	건물명	전월세구분	전용면적	계약연월	계약일	보증금만원	월세만원	층	건축년도	도로명
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	월세	30.59	201603	20	500	23	3	1997	범일로 528
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	월세	49.57	201603	21	500	35	2	1997	범일로 528
4215012100106390022	강원도 강릉시 노암동	639-22	0639	0022	남산	전세	53.46	201603	23	6000	0	2	1986	임영로25번길 20-10
4215011400102160003	강원도 강릉시 송정동	216-3	0216	0003	소라임대주택C단지	전세	56.34	201603	28	6000	0	3	1985	송정길 20
4215011400101100042	강원도 강릉시 송정동	110-42	0110	0042	송정	전세	68.39	201603	31	6000	0	2	1980	팔송길18번길 7
4215037022100760002	강원도 강릉시 연곡면 영진리	76-2	0076	0002	강맥	월세	55.5	201603	2	300	30	2	1992	영진4길 7
4215010900102230000	강원도 강릉시 옥천동	223	0223	0000	동부시장주택	월세	78.54	201603	4	500	30	4	1977	옥천로 48
4215013200102850002	강원도 강릉시 지변동	285-2	0285	0002	(285-2)	전세	21.815	201603	1	4500	0	3	2014	지변길 34
4215011100112780000	강원도 강릉시 포남동	1278	1278	0000	민락	월세	57.42	201603	25	1000	45	1	1984	경강로2356번길 13
4215011100110840001	강원도 강릉시 포남동	1084-1	1084	0001	비둘기주택	전세	58.77	201603	22	5500	0	2	1984	가작로303번길 22
4215011100110050134	강원도 강릉시 포남동	1005-134	1005	0134	옥포	전세	52.74	201603	4	4500	0	3	1983	용지각길8번길 29
4215011100110050063	강원도 강릉시 포남동	1005-63	1005	0063	조성맨션(1005-63)	월세	83.075	201603	31	1000	40	0	1984	 
4217011100102330080	강원도 동해시 발한동	233-80	0233	0080	강경빌라트4	전세	57.96	201603	16	3500	0	4	1993	지리골길 22
4217010900104490000	강원도 동해시 쇄운동	449	0449	0000	강원	월세	60.21	201603	3	200	25	1	1982	언당길 18
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	전세	98.16	201603	24	5000	0	5	2002	동굴로 147
4223012000100330024	강원도 삼척시 남양동	33-24	0033	0024	삼화(다동)	월세	53.5	201603	15	500	30	1	1982	진주로 30-37
4223010500101480005	강원도 삼척시 당저동	148-5	0148	0005	우산그린빌라	월세	93.18	201603	31	2000	40	3	1996	성당길 72-10
4223012500102940000	강원도 삼척시 정상동	294	0294	0000	유진빌라A	월세	75.66	201603	23	200	35	4	1993	영진서길 71-9
4221010600107770015	강원도 속초시 교동	777-15	0777	0015	금도주택다동	전세	51.33	201603	18	2200	0	1	1983	미시령로 3366
4221010600107690032	강원도 속초시 교동	769-32	0769	0032	남성국민주택	월세	61.51	201603	2	500	30	2	1984	만천1길 69
4221010600107690032	강원도 속초시 교동	769-32	0769	0032	남성국민주택	월세	55.07	201603	9	300	30	1	1984	만천1길 69
4221010600107770025	강원도 속초시 교동	777-25	0777	0025	동설악빌라5동	전세	47.76	201603	8	2500	0	-1	1991	교동로6길 47
4221010600107730001	강원도 속초시 교동	773-1	0773	0001	코스모스(대양)	월세	70.2	201603	14	1000	32	3	1985	만천7길 47
4221010400106250042	강원도 속초시 금호동	625-42	0625	0042	금호	전세	52	201603	4	2000	0	1	1982	번영로67번길 19
4221010400106250088	강원도 속초시 금호동	625-88	0625	0088	성진주택	전세	53.98	201603	19	4500	0	3	1983	번영로67번길 17
