pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215011000	강원도 강릉시 교동	9**	12m미만	29	월세	201706	27	6000	20	2015	화부산로8번길
4215011000	강원도 강릉시 교동	1***	12m미만	30	전세	201706	26	1000	0	2003	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	12m미만	30.14	전세	201706	10	6000	0	2004	하슬라로232번길
4215011000	강원도 강릉시 교동	1**	12m미만	33	전세	201706	7	2000	0	1997	강릉대로194번길
4215011000	강원도 강릉시 교동	9**	12m미만	33.8	월세	201706	6	300	36	2013	화부산로8번길
4215011000	강원도 강릉시 교동	1***	-	51.09	전세	201706	9	6000	0	2005	null
4215011000	강원도 강릉시 교동	7**	12m미만	60	전세	201706	12	7000	0	2015	화부산로111번길
4215011000	강원도 강릉시 교동	7**	12m미만	60	전세	201706	12	7000	0	2015	화부산로111번길
4215011000	강원도 강릉시 교동	1***	12m미만	63.05	월세	201706	1	2000	50	2004	정원로
4215011000	강원도 강릉시 교동	1**	12m미만	73.95	월세	201706	17	500	40	1981	강릉대로203번안길
4215011000	강원도 강릉시 교동	1**	-	74.04	전세	201706	5	5000	0	1975	null
4215011000	강원도 강릉시 교동	9**	12m미만	74.49	월세	201706	6	2000	40	1991	원대로20번길
4215011000	강원도 강릉시 교동	2*	8m미만	82	전세	201706	3	5500	0	1986	가작로217번길
4215011000	강원도 강릉시 교동	1***	12m미만	102.54	전세	201706	28	14000	0	2003	하슬라로206번길
4215011000	강원도 강릉시 교동	8**	25m미만	123.1	전세	201706	28	11000	0	1991	화부산로
4215011000	강원도 강릉시 교동	1***	12m미만	144.99	전세	201706	5	17000	0	2007	하슬라로
4215013600	강원도 강릉시 난곡동	1**	8m미만	29	전세	201706	30	6000	0	2016	운정길11번길
4215010200	강원도 강릉시 남문동	1**	8m미만	66.11	월세	201706	23	500	37	1990	경강로2018번길
4215011600	강원도 강릉시 내곡동	6*	12m미만	58.93	전세	201706	20	4000	0	1978	남산초교길
4215011600	강원도 강릉시 내곡동	4*	25m미만	76.44	전세	201706	10	8000	0	1997	강변로
4215012100	강원도 강릉시 노암동	3**	12m미만	40.1	전세	201706	29	4500	0	1979	노가니길
4215012100	강원도 강릉시 노암동	6**	8m미만	48.36	전세	201706	22	5000	0	1989	노암길7번길
4215012100	강원도 강릉시 노암동	6**	8m미만	48.36	전세	201706	22	5000	0	1989	노암길7번길
4215012100	강원도 강릉시 노암동	1**	8m미만	59.67	월세	201706	30	500	20	1989	노가니길
4215012700	강원도 강릉시 두산동	1**	8m미만	35.1	전세	201706	26	1500	0	1996	월대산로149번길
4215010800	강원도 강릉시 성남동	1**	12m미만	79.33	월세	201706	20	4000	15	1981	금성로31번길
4215010800	강원도 강릉시 성남동	5*	-	88.8	전세	201706	5	5500	0	1988	null
4215011400	강원도 강릉시 송정동	1**	8m미만	29	전세	201706	15	6000	0	2015	경강로2533번길
4215035021	강원도 강릉시 옥계면 현내리	3**	25m미만	36	월세	201706	26	1000	30	2015	현내시장길
4215010900	강원도 강릉시 옥천동	3**	25m이상	36.18	월세	201706	23	100	35	1979	옥가로
4215010900	강원도 강릉시 옥천동	2**	8m미만	43.34	전세	201706	5	15000	0	1976	옥천로20번길
4215010900	강원도 강릉시 옥천동	3**	12m미만	48	월세	201706	28	500	30	1987	중기2길
4215010900	강원도 강릉시 옥천동	3**	25m미만	59.5	월세	201706	6	3000	15	1997	중기2길
4215010900	강원도 강릉시 옥천동	3**	12m미만	66.11	월세	201706	8	1000	35	1989	중기길
4215010900	강원도 강릉시 옥천동	1**	8m미만	96.6	월세	201706	14	500	35	2006	옥가로7번길
4215010900	강원도 강릉시 옥천동	3**	8m미만	106	전세	201706	27	2500	0	1979	중기5길
4215010900	강원도 강릉시 옥천동	2**	12m미만	112.87	월세	201706	12	400	35	1997	옥가로58번길
