pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215034030	강원도 강릉시 강동면 산성우리	3*	25m미만	140	월세	201808	15	500	45	1997	율곡로
4215011300	강원도 강릉시 강문동	1**	8m미만	26.44	월세	201808	25	500	40	1968	창해로
4215011000	강원도 강릉시 교동	1***	8m미만	30	월세	201808	29	300	43	2014	원대로17번길
4215011000	강원도 강릉시 교동	7**	-	37	전세	201808	11	5000	0	2014	null
4215011000	강원도 강릉시 교동	9**	12m미만	38.15	전세	201808	27	3500	0	1979	화부산로8번길
4215011000	강원도 강릉시 교동	8**	8m미만	50	월세	201808	6	1000	60	2013	옛강일길38번길
4215011000	강원도 강릉시 교동	1***	12m미만	50	월세	201808	11	4000	10	2014	하슬라로206번길
4215011000	강원도 강릉시 교동	2**	-	56.52	전세	201808	29	6000	0	1990	null
4215011000	강원도 강릉시 교동	1***	12m미만	60.16	전세	201808	24	7000	0	2009	하슬라로232번길
4215011000	강원도 강릉시 교동	9**	8m미만	87.12	월세	201808	24	1000	50	1989	명주로77번길
4215011000	강원도 강릉시 교동	1***	12m미만	105.9	전세	201808	3	17000	0	2012	율곡초교길
4215011000	강원도 강릉시 교동	1**	12m미만	136.53	월세	201808	28	1000	40	1972	샘물터길
4215011000	강원도 강릉시 교동	7**	12m미만	194.43	전세	201808	18	5500	0	2017	화부산로131번길
4215011000	강원도 강릉시 교동	7**	12m미만	194.43	전세	201808	18	6000	0	2017	화부산로131번길
4215033027	강원도 강릉시 구정면 제비리	6*	8m미만	60	월세	201808	10	300	25	2004	궁골길
4215010600	강원도 강릉시 금학동	*	8m미만	39.67	월세	201808	22	1000	40	2017	금성로14번길
4215010200	강원도 강릉시 남문동	1**	12m미만	26.44	월세	201808	4	400	35	2013	남문길
4215012100	강원도 강릉시 노암동	6**	12m미만	49.29	전세	201808	25	5500	0	1980	노암길
4215012100	강원도 강릉시 노암동	8**	8m미만	74.73	전세	201808	21	10000	0	1989	노암길42번길
4215012100	강원도 강릉시 노암동	8**	8m미만	99.42	월세	201808	26	200	20	1985	노가니남길19번길
4215010800	강원도 강릉시 성남동	1**	12m미만	69.42	전세	201808	28	3900	0	1973	중앙시장2길
4215010800	강원도 강릉시 성남동	5*	12m미만	74.34	월세	201808	26	500	45	1991	중앙시장2길
4215011400	강원도 강릉시 송정동	3*	8m미만	34.92	전세	201808	25	6000	0	2018	팔송길35번길
4215035022	강원도 강릉시 옥계면 천남리	3**	8m미만	72.06	전세	201808	17	5500	0	1999	천남길
4215010900	강원도 강릉시 옥천동	3*	25m미만	23.14	월세	201808	10	100	15	1947	수문길
4215010900	강원도 강릉시 옥천동	3**	12m미만	39.66	전세	201808	2	2300	0	1997	중기2길
4215010900	강원도 강릉시 옥천동	1**	12m미만	49.58	월세	201808	5	300	45	2014	옥천로19번길
4215010900	강원도 강릉시 옥천동	1*	8m미만	54	월세	201808	6	1000	50	2016	옥천로20번길
4215010700	강원도 강릉시 용강동	4*	8m미만	39.87	전세	201808	20	2500	0	1981	토성로124번길
4215010500	강원도 강릉시 임당동	1**	8m미만	23	월세	201808	10	300	42	2016	토성로
4215010500	강원도 강릉시 임당동	4*	8m미만	30	월세	201808	29	300	52	2017	임영로164번길
4215010500	강원도 강릉시 임당동	*	8m미만	51.87	월세	201808	20	1000	37	1986	강릉대로224번안길
4215012500	강원도 강릉시 입암동	4**	25m이상	48.18	전세	201808	20	4000	0	1988	용지로
4215013700	강원도 강릉시 저동	4**	8m미만	141.6	전세	201808	11	20000	0	2007	저동골길
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	23.22	월세	201808	30	2000	20	2016	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	23.85	월세	201808	26	500	40	2016	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	4*	25m미만	26	월세	201808	20	500	13	2000	연주로
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	33	전세	201808	23	5500	0	2018	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	36	월세	201808	27	5000	10	2018	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	1**	25m미만	51.6	전세	201808	17	4000	0	null	주문로
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	60	전세	201808	23	7500	0	2018	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	1**	25m미만	64.24	전세	201808	17	4000	0	null	주문로
4215025021	강원도 강릉시 주문진읍 주문리	5**	8m미만	20.8	월세	201808	4	1000	25	null	주문북로
4215025021	강원도 강릉시 주문진읍 주문리	3**	8m미만	33	전세	201808	29	2800	0	1960	시장4길
4215025021	강원도 강릉시 주문진읍 주문리	2**	25m미만	39.47	월세	201808	11	300	40	2012	해안로
4215025021	강원도 강릉시 주문진읍 주문리	7**	8m미만	56.29	전세	201808	17	5000	0	1998	소돌길
4215025021	강원도 강릉시 주문진읍 주문리	3**	12m미만	59	월세	201808	27	2500	20	2018	시장길
4215013300	강원도 강릉시 죽헌동	4**	8m미만	23	전세	201808	23	3500	0	1995	유죽길533번길
4215013200	강원도 강릉시 지변동	2**	8m미만	21.2	전세	201808	20	4000	0	2007	지변길
4215013200	강원도 강릉시 지변동	2**	8m미만	23.14	전세	201808	11	4000	0	2007	지변길
4215013200	강원도 강릉시 지변동	1*	8m미만	23.14	전세	201808	30	2000	0	1997	경포로15번길
4215013200	강원도 강릉시 지변동	2**	8m미만	25.35	전세	201808	8	3000	0	2009	지변길
4215013200	강원도 강릉시 지변동	2**	8m미만	26	전세	201808	20	3500	0	2007	지변길
4215013200	강원도 강릉시 지변동	2**	8m미만	108.15	전세	201808	3	10000	0	1991	지변길18번길
4215013200	강원도 강릉시 지변동	2**	8m미만	108.15	전세	201808	3	10000	0	1991	지변길18번길
4215013200	강원도 강릉시 지변동	6**	8m미만	120	전세	201808	21	15000	0	2012	경포로15번길
4215011200	강원도 강릉시 초당동	1**	12m미만	59.5	월세	201808	18	1000	45	1997	초당원길
4215011200	강원도 강릉시 초당동	1**	12m미만	82	전세	201808	13	8000	0	1997	초당원길
4215011100	강원도 강릉시 포남동	1***	12m미만	24	월세	201808	3	2000	15	2017	남구길30번길
4215011100	강원도 강릉시 포남동	1***	12m미만	26	전세	201808	11	1300	0	1991	경강로2291번길
4215011100	강원도 강릉시 포남동	1***	8m미만	27.4	전세	201808	9	1000	0	1994	강변북길
4215011100	강원도 강릉시 포남동	1***	12m미만	30	월세	201808	4	1400	20	1987	강릉대로359번길
4215011100	강원도 강릉시 포남동	1***	12m미만	40	월세	201808	20	1000	30	1992	경강로2213번길
4215011100	강원도 강릉시 포남동	1***	12m미만	40	전세	201808	9	1800	0	1991	보래미하길29번길
4215011100	강원도 강릉시 포남동	1***	8m미만	43.09	전세	201808	21	3000	0	null	경강로2245번안길
4215011100	강원도 강릉시 포남동	1***	12m미만	49	월세	201808	18	300	65	2015	강릉대로359번길
4215011100	강원도 강릉시 포남동	1***	8m미만	56.5	전세	201808	10	5000	0	null	남강초교1길
4215011100	강원도 강릉시 포남동	1***	12m미만	57.12	전세	201808	14	5000	0	null	하평6길
4215011100	강원도 강릉시 포남동	1***	-	57.74	월세	201808	13	4000	10	1990	null
4215011100	강원도 강릉시 포남동	1***	8m미만	62.12	월세	201808	15	1500	40	1991	산양길28번길
4215011100	강원도 강릉시 포남동	1***	12m미만	66	전세	201808	1	5000	0	1990	경강로2267번길
4215011100	강원도 강릉시 포남동	1***	8m미만	68.4	월세	201808	31	0	23	1983	보래미하길55번길
4215011100	강원도 강릉시 포남동	1***	8m미만	77.43	전세	201808	21	12000	0	1986	남구길11번길
4215011100	강원도 강릉시 포남동	1***	8m미만	82.64	월세	201808	11	500	40	1990	산양길36번길
4215011100	강원도 강릉시 포남동	1***	8m미만	97.25	전세	201808	7	7000	0	1991	가작로
4215010100	강원도 강릉시 홍제동	1***	12m미만	39	월세	201808	17	500	50	2016	선수촌로63번길
4215010100	강원도 강릉시 홍제동	9**	12m미만	123.06	전세	201808	18	4500	0	2008	강릉대로82번길
4215011700	강원도 강릉시 회산동	1**	8m미만	21.7	전세	201808	11	5000	0	null	관솔길12번길
4282025321	강원도 고성군 거진읍 거진리	4**	8m미만	94.34	전세	201808	15	3700	0	1987	거탄진로29번길
4282032029	강원도 고성군 죽왕면 삼포리	6**	8m미만	198.81	전세	201808	14	3000	0	2003	삼포1길
4282033035	강원도 고성군 토성면 봉포리	1**	8m미만	73	전세	201808	27	1000	0	2002	봉포2길
4217011000	강원도 동해시 부곡동	7*	-	45	월세	201808	14	300	25	1989	null
4217011000	강원도 동해시 부곡동	8*	8m미만	85.95	월세	201808	13	300	30	1986	부곡1길
4217011200	강원도 동해시 북평동	2**	8m미만	74	전세	201808	17	5000	0	1985	전천로
4217010100	강원도 동해시 천곡동	9**	12m미만	30	월세	201808	17	300	32	2012	감추2길
4217010100	강원도 동해시 천곡동	1***	25m이상	30	월세	201808	25	500	28	2014	중앙로
4217010100	강원도 동해시 천곡동	9**	12m미만	38	전세	201808	25	4000	0	2013	감추2길
4217010100	강원도 동해시 천곡동	9**	12m미만	39	전세	201808	23	3500	0	2004	감추1길
4217010100	강원도 동해시 천곡동	9**	12m미만	39.6	전세	201808	20	3500	0	2013	감추5길
4217010100	강원도 동해시 천곡동	9**	25m이상	40	월세	201808	2	3000	30	2018	감추6길
4217010100	강원도 동해시 천곡동	1***	12m미만	40	월세	201808	28	4000	20	2018	동굴1길
4217010100	강원도 동해시 천곡동	9**	12m미만	50	월세	201808	17	2000	40	2016	감추4길
4217010100	강원도 동해시 천곡동	1***	25m이상	99	전세	201808	26	6000	0	2013	중앙로
4217010200	강원도 동해시 평릉동	4**	12m미만	42.5	전세	201808	30	5000	0	2018	평원6길
4223035022	강원도 삼척시 가곡면 탕곡리	2**	8m미만	77.1	월세	201808	30	0	240	1999	가곡천로
4223010600	강원도 삼척시 교동	6*	-	33.06	월세	201808	6	100	25	null	null
4223012000	강원도 삼척시 남양동	1**	8m미만	30	월세	201808	6	500	42	2016	중앙로4길
4223012000	강원도 삼척시 남양동	1**	8m미만	30	전세	201808	3	3800	0	2016	중앙로4길
4223012000	강원도 삼척시 남양동	1**	8m미만	81	전세	201808	5	9500	0	2016	중앙로4길
4223025326	강원도 삼척시 원덕읍 호산리	2**	8m미만	26	월세	201808	27	50	25	2014	삼척로
4221010600	강원도 속초시 교동	*	-	30	월세	201808	4	1000	40	null	null
4221010600	강원도 속초시 교동	7**	8m미만	40	월세	201808	14	500	30	2007	만천1길
4221010600	강원도 속초시 교동	9**	12m미만	44.64	월세	201808	23	500	30	1993	만천1길
4221010600	강원도 속초시 교동	6**	8m미만	81.12	월세	201808	31	1000	70	1977	교동로
