pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215011000	강원도 강릉시 교동	1***	12m미만	13.22	월세	201904	20	100	31	2004	하슬라로232번길
4215011000	강원도 강릉시 교동	9**	12m미만	21	전세	201904	4	5000	0	2016	원대로14번길
4215011000	강원도 강릉시 교동	9**	8m미만	30	월세	201904	3	500	45	2015	명주로78번길
4215011000	강원도 강릉시 교동	1***	12m미만	30	월세	201904	6	200	40	2013	율곡초교길39번길
4215011000	강원도 강릉시 교동	8**	8m미만	31.21	월세	201904	11	1000	30	1972	강릉대로171번길
4215011000	강원도 강릉시 교동	8**	12m미만	33.06	월세	201904	25	200	40	2019	화부산로8번길
4215011000	강원도 강릉시 교동	1***	12m미만	39.6	전세	201904	13	3000	0	2006	화부산로63번길
4215011000	강원도 강릉시 교동	7**	12m미만	40	월세	201904	16	300	40	2017	화부산로131번길
4215011000	강원도 강릉시 교동	2**	8m미만	46	월세	201904	6	2000	25	null	명륜로
4215011000	강원도 강릉시 교동	1**	8m미만	57	월세	201904	24	0	30	null	강릉대로203번길
4215011000	강원도 강릉시 교동	1***	12m미만	57	전세	201904	5	6000	0	2005	율곡초교길
4215011000	강원도 강릉시 교동	1***	12m미만	57.08	전세	201904	5	6000	0	null	율곡초교길
4215011000	강원도 강릉시 교동	9**	8m미만	61.22	전세	201904	24	10000	0	1975	명주로77번길
4215011000	강원도 강릉시 교동	1***	12m미만	73.16	전세	201904	27	8000	0	2003	정원로
4215011000	강원도 강릉시 교동	9**	12m미만	82	월세	201904	7	300	36	2015	원대로8번길
4215011000	강원도 강릉시 교동	8**	8m미만	82.49	월세	201904	8	1000	40	1992	화부산로8번길
4215011000	강원도 강릉시 교동	1***	12m미만	90.3	월세	201904	17	4000	50	2002	정원로
4215011000	강원도 강릉시 교동	9**	12m미만	107.67	월세	201904	12	3000	60	2016	원대로8번길
4215011000	강원도 강릉시 교동	1***	12m미만	133.2	전세	201904	10	12000	0	2001	하슬라로232번길
4215011000	강원도 강릉시 교동	2**	12m미만	188.9	전세	201904	9	9000	0	1996	화부산로141번길
4215033025	강원도 강릉시 구정면 어단리	7**	8m미만	49.5	전세	201904	25	2000	0	1993	보램길
4215033021	강원도 강릉시 구정면 여찬리	5**	8m미만	85	전세	201904	3	12000	0	2010	범일로417번길
4215013600	강원도 강릉시 난곡동	1**	12m미만	35	전세	201904	15	4000	0	2016	운정길
4215013600	강원도 강릉시 난곡동	3**	8m미만	81.48	전세	201904	8	8000	0	2013	난곡행정길
4215011600	강원도 강릉시 내곡동	5**	12m미만	33	월세	201904	12	300	35	1998	정등로
4215011600	강원도 강릉시 내곡동	4**	8m미만	33.3	전세	201904	20	4000	0	2010	강변로114번길
4215011600	강원도 강릉시 내곡동	3**	8m미만	85.8	전세	201904	2	4500	0	1996	관솔길
4215011600	강원도 강릉시 내곡동	3**	12m미만	100	월세	201904	22	700	40	1980	관대길15번길
4215012100	강원도 강릉시 노암동	3**	12m미만	40.1	전세	201904	26	4500	0	1979	노가니길
4215012100	강원도 강릉시 노암동	1**	8m미만	42	월세	201904	23	300	23	1981	노가니남길5번길
4215012100	강원도 강릉시 노암동	3**	8m미만	48.84	전세	201904	29	3000	0	1983	노가니길
4215012100	강원도 강릉시 노암동	1**	8m미만	49.59	월세	201904	17	500	25	1980	노가니길
4215012100	강원도 강릉시 노암동	8**	8m미만	59.76	월세	201904	12	1000	30	1988	노가니남길32번길
4215012100	강원도 강릉시 노암동	2**	-	60.89	월세	201904	20	500	25	1935	부흥길
4215012100	강원도 강릉시 노암동	2**	8m미만	65.26	전세	201904	30	6000	0	null	강변로
4215012100	강원도 강릉시 노암동	6**	8m미만	71.1	전세	201904	11	5000	0	1992	남부로137번안길
4215012100	강원도 강릉시 노암동	6**	8m미만	71.1	전세	201904	11	5000	0	1992	남부로137번안길
4215036023	강원도 강릉시 사천면 석교리	2**	8m미만	84.8	전세	201904	14	5000	0	1994	돌다리길
4215036024	강원도 강릉시 사천면 판교리	*	8m미만	82.63	월세	201904	1	2000	40	2000	이설당2길
4215010800	강원도 강릉시 성남동	9*	12m미만	82.64	월세	201904	30	1000	25	1993	중앙시장2길
4215031026	강원도 강릉시 성산면 보광리	8**	8m미만	33	전세	201904	29	1300	0	2018	삼왕길
4215011400	강원도 강릉시 송정동	1**	8m미만	58.8	월세	201904	26	200	30	null	팔송길18번길
4215010900	강원도 강릉시 옥천동	1**	8m미만	38.67	전세	201904	27	3500	0	2004	수문길19번옆길
4215013100	강원도 강릉시 유천동	7**	12m미만	95.85	전세	201904	4	23000	0	2018	선수촌로
4215013100	강원도 강릉시 유천동	7**	12m미만	114	전세	201904	1	25000	0	2018	선수촌로
4215010500	강원도 강릉시 임당동	9*	8m미만	18.59	전세	201904	15	1100	0	1959	문화의길8번길
4215010500	강원도 강릉시 임당동	1*	12m미만	24	전세	201904	30	5000	0	2013	강릉대로224번안길
4215010500	강원도 강릉시 임당동	9*	8m미만	26.44	전세	201904	27	1200	0	1959	문화의길8번길
4215010500	강원도 강릉시 임당동	1**	8m미만	40	월세	201904	29	300	40	2013	강릉대로202번길
