pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215011000	강원도 강릉시 교동	1**	25m이상	30	월세	201602	8	1500	15	1973	율곡로
4215011000	강원도 강릉시 교동	1***	12m미만	30	월세	201602	26	30	33	2002	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	12m미만	30.68	월세	201602	18	200	32	2003	경포로
4215011000	강원도 강릉시 교동	1***	25m미만	32.03	월세	201602	22	200	42	2002	솔올로
4215011000	강원도 강릉시 교동	9**	12m미만	33	월세	201602	22	300	42	2013	원대로8번길
4215011000	강원도 강릉시 교동	8**	12m미만	36.36	월세	201602	15	300	37	2013	옛강일길
4215011000	강원도 강릉시 교동	1***	12m미만	40	전세	201602	22	6000	0	2011	율곡초교길43번길
4215011000	강원도 강릉시 교동	1**	25m이상	58.28	전세	201602	19	3000	0	1975	율곡로
4215011000	강원도 강릉시 교동	1***	12m미만	62.51	월세	201602	22	200	34	2011	하슬라로206번길
4215011000	강원도 강릉시 교동	9**	25m이상	65.28	월세	201602	13	1000	30	1991	강릉대로
4215011000	강원도 강릉시 교동	8*	8m미만	68.06	전세	201602	29	5000	0	1992	명륜로83번길
4215011000	강원도 강릉시 교동	7**	12m미만	80	월세	201602	18	3000	40	2015	화부산로111번길
4215011000	강원도 강릉시 교동	1***	12m미만	81.02	월세	201602	23	300	38	2012	원대로179번길
4215011000	강원도 강릉시 교동	1***	12m미만	83.46	월세	201602	16	300	35	2001	율곡초교길
4215011000	강원도 강릉시 교동	1**	8m미만	86.45	전세	201602	16	10000	0	2014	강릉대로203번길
4215011000	강원도 강릉시 교동	7**	12m미만	88.54	월세	201602	19	200	35	2014	율곡로2953번길
4215011000	강원도 강릉시 교동	7**	12m미만	88.54	월세	201602	23	200	35	2014	율곡로2953번길
4215011000	강원도 강릉시 교동	1***	12m미만	97.63	전세	201602	29	13000	0	2012	율곡초교길43번길
4215011000	강원도 강릉시 교동	1***	12m미만	103.13	월세	201602	15	7000	35	2011	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	12m미만	107.91	월세	201602	11	1000	50	2004	율곡초교길11번길
4215011000	강원도 강릉시 교동	1***	12m미만	114.51	월세	201602	22	500	55	2002	율곡초교길43번길
4215011000	강원도 강릉시 교동	1***	12m미만	116	전세	201602	20	5000	0	2003	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	12m미만	120.03	전세	201602	20	6000	0	2004	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	12m미만	125.6	전세	201602	22	6000	0	2002	정원로
4215011000	강원도 강릉시 교동	1***	12m미만	128.68	전세	201602	25	8000	0	2005	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	12m미만	128.78	월세	201602	11	2000	40	2016	하슬라로
4215011000	강원도 강릉시 교동	1***	12m미만	136.23	월세	201602	25	300	30	2003	하슬라로
4215011000	강원도 강릉시 교동	1***	12m미만	145.21	월세	201602	5	300	40	2010	율곡초교길11번길
4215011000	강원도 강릉시 교동	9**	12m미만	172.15	월세	201602	3	1500	50	2016	null
4215011000	강원도 강릉시 교동	9**	12m미만	172.84	전세	201602	23	8500	0	2016	null
4215013600	강원도 강릉시 난곡동	1**	12m미만	30	전세	201602	29	5000	0	2016	null
4215013600	강원도 강릉시 난곡동	1**	12m미만	30	전세	201602	29	5000	0	2016	null
4215013600	강원도 강릉시 난곡동	1**	12m미만	33	전세	201602	26	5500	0	2016	null
4215013600	강원도 강릉시 난곡동	1**	12m미만	33	전세	201602	26	5500	0	2016	null
4215013600	강원도 강릉시 난곡동	1**	12m미만	50	전세	201602	26	7000	0	2016	null
4215011600	강원도 강릉시 내곡동	3**	25m미만	13.2	전세	201602	20	3000	0	1997	관솔길
4215011600	강원도 강릉시 내곡동	4**	12m미만	19.8	전세	201602	15	3000	0	2007	관대길
4215011600	강원도 강릉시 내곡동	3**	25m미만	23.1	전세	201602	15	3000	0	1997	관솔길
4215011600	강원도 강릉시 내곡동	2**	8m미만	26.4	전세	201602	28	4000	0	2008	범일로555번길
4215011600	강원도 강릉시 내곡동	3**	8m미만	29	전세	201602	22	5500	0	2013	범일로
4215011600	강원도 강릉시 내곡동	6*	8m미만	33	월세	201602	2	200	35	2012	강변로172번안길
4215011600	강원도 강릉시 내곡동	5*	8m미만	33	월세	201602	22	50	38	2016	null
4215011600	강원도 강릉시 내곡동	2**	8m미만	36.3	전세	201602	27	4000	0	2008	범일로555번길
4215011600	강원도 강릉시 내곡동	2**	8m미만	40	전세	201602	5	4800	0	2008	범일로555번길
4215011600	강원도 강릉시 내곡동	3**	8m미만	42.9	전세	201602	20	5000	0	2013	범일로
4215011600	강원도 강릉시 내곡동	5**	12m미만	49.5	전세	201602	26	3000	0	1998	범일로555번길
4215011600	강원도 강릉시 내곡동	6**	12m미만	134.75	전세	201602	23	7000	0	1989	관대길36번길
