pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215011000	강원도 강릉시 교동	1***	12m미만	33.05	월세	201809	28	200	40	2012	하슬라로206번길
4215011000	강원도 강릉시 교동	1**	8m미만	38.32	전세	201809	18	4000	0	1978	강릉대로211번길
4215011000	강원도 강릉시 교동	9**	8m미만	43.08	전세	201809	17	5500	0	1988	원대로26번길
4215011000	강원도 강릉시 교동	2**	8m미만	48.32	월세	201809	3	500	40	1982	화부산로141번길
4215011000	강원도 강릉시 교동	1***	12m미만	67.17	전세	201809	13	8000	0	2007	하슬라로232번길
4215011000	강원도 강릉시 교동	9**	8m미만	77.58	전세	201809	14	7000	0	1977	강릉대로
4215011000	강원도 강릉시 교동	1***	12m미만	91.26	전세	201809	15	10000	0	2001	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	12m미만	93.24	월세	201809	11	3500	45	2004	율곡초교길
4215011000	강원도 강릉시 교동	2*	8m미만	95.31	월세	201809	30	4000	20	1991	가작로217번길
4215011000	강원도 강릉시 교동	1***	25m이상	98.36	월세	201809	7	2000	41	1995	원대로
4215011000	강원도 강릉시 교동	1***	12m미만	106.53	전세	201809	29	15000	0	2007	하슬라로232번길
4215011000	강원도 강릉시 교동	8**	8m미만	121.67	월세	201809	18	3000	55	2018	옛강일길38번길
4215011000	강원도 강릉시 교동	1**	12m미만	164.88	전세	201809	10	3000	0	1997	강릉대로194번길
4215033022	강원도 강릉시 구정면 학산리	1*	8m미만	97.74	월세	201809	10	2000	30	1995	광명길
4215013600	강원도 강릉시 난곡동	1**	8m미만	37	전세	201809	18	5500	0	2016	운정길11번길
4215011600	강원도 강릉시 내곡동	5**	-	29	전세	201809	8	5500	0	2018	관솔길
4215012100	강원도 강릉시 노암동	1**	8m미만	42.97	전세	201809	7	2000	0	null	노가니남길19번길
4215012100	강원도 강릉시 노암동	6**	12m미만	43	전세	201809	28	3000	0	2004	임영로26번길
4215012100	강원도 강릉시 노암동	2**	8m미만	50.13	전세	201809	6	4000	0	1982	시영길
4215012100	강원도 강릉시 노암동	6**	8m미만	123.88	전세	201809	22	13000	0	2014	노암길7번길
4215010800	강원도 강릉시 성남동	1**	8m미만	33	전세	201809	10	2500	0	2002	중앙시장3길
4215010800	강원도 강릉시 성남동	5*	8m미만	95.86	월세	201809	9	1000	35	1991	중앙시장3길
4215010900	강원도 강릉시 옥천동	1**	8m미만	49.58	월세	201809	1	1500	15	1976	옥가로7번길
4215010900	강원도 강릉시 옥천동	2**	25m이상	124.02	월세	201809	14	1000	45	1988	강릉대로
4215010500	강원도 강릉시 임당동	9*	8m미만	19.83	전세	201809	11	700	0	1959	문화의길8번길
4215010500	강원도 강릉시 임당동	1*	12m미만	34	전세	201809	6	5000	0	2013	강릉대로224번안길
4215010500	강원도 강릉시 임당동	1**	8m미만	42.97	월세	201809	4	1000	25	1980	임영로
4215012500	강원도 강릉시 입암동	4**	8m미만	49	월세	201809	7	1000	40	null	입암로
4215012500	강원도 강릉시 입암동	6**	-	55.31	전세	201809	18	4000	0	1969	null
4215012500	강원도 강릉시 입암동	6**	8m미만	66	전세	201809	6	1000	0	null	강중길20번길
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	33	전세	201809	1	7500	0	2018	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	6*	12m미만	57.15	월세	201809	18	500	35	null	신리4길
4215025022	강원도 강릉시 주문진읍 교항리	4**	-	132.24	전세	201809	18	15000	0	2018	매맥이윗길
4215025023	강원도 강릉시 주문진읍 장덕리	2**	-	84	전세	201809	11	7000	0	1994	신리천로
4215025023	강원도 강릉시 주문진읍 장덕리	2**	-	120	전세	201809	11	7000	0	1994	신리천로
4215025021	강원도 강릉시 주문진읍 주문리	1***	8m미만	25	전세	201809	14	2500	0	1986	용소원길
4215025021	강원도 강릉시 주문진읍 주문리	4**	8m미만	60.64	월세	201809	28	250	25	1950	연주로
4215013200	강원도 강릉시 지변동	2**	8m미만	23.14	월세	201809	15	1500	10	1998	지변길
4215013200	강원도 강릉시 지변동	2**	8m미만	26.45	전세	201809	10	3500	0	2009	지변길
4215011200	강원도 강릉시 초당동	2**	8m미만	30	월세	201809	22	300	45	2018	초당원길
4215011100	강원도 강릉시 포남동	1***	12m미만	26.44	월세	201809	30	200	30	2003	강릉대로469번길
4215011100	강원도 강릉시 포남동	1***	12m미만	27	전세	201809	20	3000	0	2007	남구길11번길
4215011100	강원도 강릉시 포남동	1***	12m미만	33.06	전세	201809	11	1500	0	1990	산양큰길24번안길
4215011100	강원도 강릉시 포남동	1***	12m미만	46.28	월세	201809	20	500	20	1990	보래미하길65번길
4215011100	강원도 강릉시 포남동	1***	25m미만	57.78	전세	201809	17	7000	0	1996	남구길17번길
4215011100	강원도 강릉시 포남동	1***	12m미만	62.54	월세	201809	10	500	35	1995	남구길24번길
4215011100	강원도 강릉시 포남동	1***	25m미만	66	전세	201809	6	9000	0	2012	강릉대로547번길
4215011100	강원도 강릉시 포남동	1***	12m미만	80.24	전세	201809	3	7000	0	1989	산양큰길
4215011100	강원도 강릉시 포남동	1***	12m미만	80.59	월세	201809	14	500	40	1986	성덕포남로213번길
4215011100	강원도 강릉시 포남동	1***	12m미만	94.68	월세	201809	15	1000	50	1990	산양큰길
4215011100	강원도 강릉시 포남동	1***	12m미만	100	전세	201809	20	15000	0	2017	남구길23번길
4215011100	강원도 강릉시 포남동	1***	12m미만	102.58	전세	201809	13	10000	0	1989	산양큰길9번길
4215010100	강원도 강릉시 홍제동	1**	12m미만	23.14	전세	201809	28	1000	0	1995	홍제로31번길
4215010100	강원도 강릉시 홍제동	1***	12m미만	27.3	월세	201809	26	300	35	2016	선수촌로63번길
4215010100	강원도 강릉시 홍제동	2**	8m미만	33	월세	201809	1	500	32	1983	강릉대로106번길
4215010100	강원도 강릉시 홍제동	1**	25m미만	50.15	월세	201809	14	500	40	1969	토성로
4215010100	강원도 강릉시 홍제동	7*	8m미만	66	전세	201809	29	3000	0	2013	홍제로20번길
4215010100	강원도 강릉시 홍제동	1**	8m미만	76.03	전세	201809	5	9000	0	1983	새냉이길26번길
4215010100	강원도 강릉시 홍제동	1**	8m미만	78.89	월세	201809	29	1000	25	1979	새냉이길27번길
4282025021	강원도 고성군 간성읍 하리	2*	25m미만	59.75	월세	201809	10	1000	40	1977	간성로
4282025321	강원도 고성군 거진읍 거진리	2**	12m미만	44.98	월세	201809	14	500	30	1981	거진시장길
4282033024	강원도 고성군 토성면 교암리	5*	8m미만	99.49	월세	201809	1	0	50	1991	백촌길
4282033035	강원도 고성군 토성면 봉포리	1**	8m미만	83.18	전세	201809	27	8000	0	1993	봉포3길
4217010100	강원도 동해시 천곡동	8**	25m이상	24	전세	201809	10	2500	0	2002	중앙로
4217010100	강원도 동해시 천곡동	9**	12m미만	26	월세	201809	10	100	25	2004	감추5길
4217010100	강원도 동해시 천곡동	1***	12m미만	30	월세	201809	10	200	35	2017	동굴1길
4217010100	강원도 동해시 천곡동	9**	12m미만	30	전세	201809	6	3500	0	2016	감추5길
4217010100	강원도 동해시 천곡동	9**	12m미만	40	월세	201809	9	5000	3	2016	감추2길
4217010100	강원도 동해시 천곡동	9**	12m미만	40	전세	201809	20	4500	0	2015	감추4길
4217010100	강원도 동해시 천곡동	9**	12m미만	90	전세	201809	20	8500	0	2016	감추5길
4223012000	강원도 삼척시 남양동	1**	12m미만	187.31	전세	201809	20	6500	0	2017	남산길
4223025322	강원도 삼척시 원덕읍 임원리	1**	8m미만	25	월세	201809	15	30	25	2014	임원중앙로
4223025326	강원도 삼척시 원덕읍 호산리	2**	8m미만	25	전세	201809	5	4500	0	2014	삼척로
4221010600	강원도 속초시 교동	9**	8m미만	27	월세	201809	29	3000	20	2018	밤골1길
4221010600	강원도 속초시 교동	9**	8m미만	30	월세	201809	19	200	34	2001	밤골3길
4221010600	강원도 속초시 교동	9**	25m미만	30	전세	201809	17	5000	0	2018	밤골3길
4221010600	강원도 속초시 교동	9**	8m미만	59	전세	201809	14	6000	0	1997	밤골길
4221010600	강원도 속초시 교동	9**	8m미만	60.71	월세	201809	17	6000	5	null	밤골길
4221010600	강원도 속초시 교동	9**	8m미만	67.62	월세	201809	6	500	40	1996	밤골길
4221010400	강원도 속초시 금호동	6**	8m미만	23	월세	201809	21	2000	30	2018	번영로67번길
4221010400	강원도 속초시 금호동	4**	12m미만	148.05	월세	201809	1	30	15	1994	청초호반로
4221010700	강원도 속초시 노학동	6**	8m미만	72.9	전세	201809	28	7500	0	1994	이목로
4221010200	강원도 속초시 동명동	2**	8m미만	26.4	월세	201809	2	400	44	2015	수복로259번길
4221010200	강원도 속초시 동명동	2**	8m미만	33	월세	201809	15	500	40	2016	null
4221010200	강원도 속초시 동명동	2**	-	33	전세	201809	19	500	0	2016	null
4221010100	강원도 속초시 영랑동	3**	8m미만	43	월세	201809	7	1000	55	2018	영랑로6길
4221010100	강원도 속초시 영랑동	3**	8m미만	46.24	월세	201809	12	500	45	2018	영랑로6길
4221010100	강원도 속초시 영랑동	1**	8m미만	115.83	전세	201809	10	2000	0	1993	영랑로4길
4221010800	강원도 속초시 조양동	1***	8m미만	26.44	전세	201809	15	6000	0	null	새마을12길
4221010800	강원도 속초시 조양동	1***	8m미만	30	월세	201809	21	300	35	2003	선사로
4221010800	강원도 속초시 조양동	1***	25m미만	30	전세	201809	7	6000	0	2018	조양로
4221010800	강원도 속초시 조양동	1***	8m미만	44.8	전세	201809	6	6000	0	2017	선사로
4221010300	강원도 속초시 중앙동	4**	8m미만	71	월세	201809	4	1000	35	1995	중앙시장로4길
4221010300	강원도 속초시 중앙동	6**	8m미만	93.06	전세	201809	4	3300	0	1985	미시령로3489번길
4221010500	강원도 속초시 청학동	6**	8m미만	50	월세	201809	18	300	27	1990	번영로53번길
4221010900	강원도 속초시 청호동	1***	12m미만	30	전세	201809	27	5000	0	2018	미리내길
4221010900	강원도 속초시 청호동	1***	12m미만	42	전세	201809	17	8000	0	2017	미리내길
4280031028	강원도 양구군 남면 창리	3**	8m미만	33	월세	201809	27	0	20	2007	정중앙로
4280025021	강원도 양구군 양구읍 상리	2**	8m미만	49.45	월세	201809	1	500	30	null	중심로
4280025023	강원도 양구군 양구읍 하리	8*	8m미만	28.89	전세	201809	13	2000	0	null	비봉로74번길
4283032031	강원도 양양군 손양면 하양혈리	2**	8m미만	76.86	전세	201809	15	7000	0	1979	하양혈길
4283032037	강원도 양양군 손양면 하왕도리	3**	8m미만	83.59	전세	201809	17	3500	0	2017	손중로
4283025022	강원도 양양군 양양읍 구교리	7*	8m미만	50.4	월세	201809	20	200	23	1980	구교언덕길
4283025025	강원도 양양군 양양읍 연창리	3**	12m미만	82.94	전세	201809	1	7000	0	1999	관아길
4283033029	강원도 양양군 현북면 중광정리	3**	12m미만	82.6	월세	201809	21	3000	30	2007	동해대로
4275038022	강원도 영월군 무릉도원면 법흥리	1**	8m미만	90	월세	201809	13	1000	30	2006	백년계곡길
4275025024	강원도 영월군 영월읍 덕포리	5**	12m미만	13.77	전세	201809	14	4500	0	1983	중앙로
4275025022	강원도 영월군 영월읍 하송리	4**	25m미만	126	월세	201809	10	300	33	2000	하송로
4275036021	강원도 영월군 주천면 주천리	1***	8m미만	12	월세	201809	3	200	20	null	주천로
4213011800	강원도 원주시 가현동	1**	8m미만	59.4	월세	201809	5	100	25	null	청룡마을길
4213010500	강원도 원주시 개운동	3**	8m미만	43.2	전세	201809	19	3500	0	1979	명륜초교길
4213010500	강원도 원주시 개운동	3**	12m미만	49.04	월세	201809	20	300	30	1987	명륜초교길
4213010500	강원도 원주시 개운동	2**	8m미만	66.15	전세	201809	10	4000	0	1989	치악로
4213010500	강원도 원주시 개운동	5**	12m미만	70.4	월세	201809	18	654	10	2013	개운3길
4213010500	강원도 원주시 개운동	4**	8m미만	115.3	월세	201809	3	200	15	2000	개운1길
4213010500	강원도 원주시 개운동	3**	8m미만	224.04	월세	201809	12	200	35	2012	치악로
4213011600	강원도 원주시 관설동	1***	12m미만	25	월세	201809	1	300	30	null	라옹정길
4213011600	강원도 원주시 관설동	1***	12m미만	28.7	전세	201809	11	3000	0	2006	라옹정길
4213011600	강원도 원주시 관설동	1***	12m미만	32.8	월세	201809	14	200	40	2018	라옹정길
4213011600	강원도 원주시 관설동	4**	8m미만	33	월세	201809	13	30	10	null	섭재삼보길
4213011600	강원도 원주시 관설동	1***	12m미만	33.54	전세	201809	10	4400	0	2008	관설안길
4213011600	강원도 원주시 관설동	1***	25m미만	35.7	월세	201809	15	500	19	2004	나비허리길
4213011600	강원도 원주시 관설동	1***	12m미만	35.8	월세	201809	6	500	53	2018	치악로
4213011600	강원도 원주시 관설동	1***	12m미만	39.6	월세	201809	3	300	35	2006	치악고교길
4213011600	강원도 원주시 관설동	1***	12m미만	41	월세	201809	25	300	30	2008	치악고교길
4213011600	강원도 원주시 관설동	1***	12m미만	44.46	전세	201809	28	7000	0	2018	라옹정길
4213011600	강원도 원주시 관설동	1***	12m미만	45	전세	201809	12	8000	0	2015	관설안길
4213011600	강원도 원주시 관설동	1***	12m미만	45	전세	201809	18	5500	0	2008	관설안길
4213011600	강원도 원주시 관설동	1***	-	54.75	전세	201809	20	5000	0	2012	null
4213011600	강원도 원주시 관설동	1***	12m미만	60	전세	201809	17	6500	0	2014	라옹정길
4213011600	강원도 원주시 관설동	1***	12m미만	76.62	월세	201809	28	655	7	2011	라옹정길
4213011600	강원도 원주시 관설동	1***	12m미만	89.5	전세	201809	11	6000	0	2007	치악고교길
4213011600	강원도 원주시 관설동	1***	-	105.18	전세	201809	17	9000	0	null	null
4213011600	강원도 원주시 관설동	1***	12m미만	107.1	전세	201809	30	12000	0	2009	치악고교길
4213011600	강원도 원주시 관설동	1***	12m미만	126.9	전세	201809	3	15000	0	2016	치악로
4213011000	강원도 원주시 단계동	8**	12m미만	22.74	전세	201809	19	4000	0	null	금불1길
4213011000	강원도 원주시 단계동	9**	12m미만	22.85	월세	201809	19	1000	23	null	이화3길
4213011000	강원도 원주시 단계동	8**	8m미만	26	전세	201809	20	3500	0	1997	평원초교길
4213011000	강원도 원주시 단계동	1***	25m이상	26.44	월세	201809	22	1000	30	2018	봉화서부로
4213011000	강원도 원주시 단계동	1***	12m미만	28	월세	201809	17	100	25	2002	모래내길
4213011000	강원도 원주시 단계동	9**	12m미만	29	월세	201809	17	300	38	1997	이화4길
4213011000	강원도 원주시 단계동	8**	12m미만	30	월세	201809	1	1500	25	2001	금불1길
4213011000	강원도 원주시 단계동	8**	12m미만	33	월세	201809	1	200	25	2002	이화6길
4213011000	강원도 원주시 단계동	9**	8m미만	33	전세	201809	17	5000	0	null	이화3길
4213011000	강원도 원주시 단계동	1***	12m미만	35	월세	201809	28	300	30	2008	백간공원길
4213011000	강원도 원주시 단계동	1***	25m미만	36	월세	201809	2	200	45	2018	바우골길
4213011000	강원도 원주시 단계동	1***	25m이상	36	전세	201809	22	5500	0	2018	봉화서부로
4213011000	강원도 원주시 단계동	7**	8m미만	38.25	월세	201809	7	300	43	2018	단구로37번길
4213011000	강원도 원주시 단계동	9**	12m미만	40	전세	201809	8	5000	0	2013	이화3길
4213011000	강원도 원주시 단계동	9**	8m미만	41.52	전세	201809	27	5000	0	2014	이화1길
4213011000	강원도 원주시 단계동	9**	25m미만	42	월세	201809	11	500	54	2007	이화1길
4213011000	강원도 원주시 단계동	1***	25m미만	43	월세	201809	11	500	42	2016	봉화로
4213011000	강원도 원주시 단계동	9**	8m미만	44.2	전세	201809	1	6000	0	1998	이화3길
4213011000	강원도 원주시 단계동	9**	8m미만	46.4	전세	201809	5	6000	0	null	이화3길
4213011000	강원도 원주시 단계동	9**	25m미만	55	월세	201809	3	100	23	2002	무실로
4213011000	강원도 원주시 단계동	1***	12m미만	59.4	월세	201809	8	500	50	2016	전망길
4213011000	강원도 원주시 단계동	9**	25m미만	59.4	월세	201809	11	200	25	1994	한지공원길
4213011000	강원도 원주시 단계동	9**	12m미만	60	월세	201809	3	500	45	1995	이화3길
4213011000	강원도 원주시 단계동	7**	12m미만	62.82	전세	201809	11	5000	0	null	단구로
4213011000	강원도 원주시 단계동	8**	12m미만	66	월세	201809	21	500	45	1993	금불1길
4213011000	강원도 원주시 단계동	7**	-	66.5	전세	201809	27	4000	0	1986	null
4213011000	강원도 원주시 단계동	9**	12m미만	67.58	전세	201809	29	3500	0	1997	이화4길
4213011000	강원도 원주시 단계동	8**	12m미만	74.12	전세	201809	14	6000	0	1994	평원초교길
4213011000	강원도 원주시 단계동	8**	-	83.25	월세	201809	8	200	70	1996	null
4213010700	강원도 원주시 단구동	6**	12m미만	21.48	전세	201809	3	4500	0	2018	치악로
4213010700	강원도 원주시 단구동	1***	12m미만	23.14	월세	201809	19	500	45	2018	천매봉길
4213010700	강원도 원주시 단구동	6**	8m미만	28	전세	201809	14	4300	0	2018	치악로
4213010700	강원도 원주시 단구동	1***	12m미만	29.7	전세	201809	14	3000	0	2007	단관길
4213010700	강원도 원주시 단구동	1***	12m미만	29.7	전세	201809	20	4000	0	2008	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	30	월세	201809	19	100	25	null	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	30	전세	201809	17	3000	0	2003	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	30.94	월세	201809	27	300	34	2005	치악로1524번길
4213010700	강원도 원주시 단구동	8**	8m미만	33	월세	201809	17	300	40	2016	단관공원길
4213010700	강원도 원주시 단구동	8**	8m미만	33	전세	201809	5	5000	0	2015	단관공원길
4213010700	강원도 원주시 단구동	1**	8m미만	33	전세	201809	6	5000	0	2018	홍판서길
4213010700	강원도 원주시 단구동	1***	12m미만	33	전세	201809	11	5000	0	null	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	34.77	전세	201809	28	5500	0	2018	송림길
4213010700	강원도 원주시 단구동	1***	12m미만	35	월세	201809	21	300	35	2002	단관길
4213010700	강원도 원주시 단구동	6**	8m미만	36	월세	201809	28	300	35	2018	치악로
4213010700	강원도 원주시 단구동	6**	8m미만	36.3	월세	201809	21	5000	15	2018	치악로
4213010700	강원도 원주시 단구동	1***	12m미만	39.6	월세	201809	28	500	35	2013	구곡길
4213010700	강원도 원주시 단구동	6**	8m미만	42.9	전세	201809	4	6000	0	2018	치악로
4213010700	강원도 원주시 단구동	8**	8m미만	42.9	전세	201809	6	5000	0	2015	단관공원길
4213010700	강원도 원주시 단구동	1**	8m미만	49.58	월세	201809	17	500	53	null	홍판서길
4213010700	강원도 원주시 단구동	1**	8m미만	49.58	월세	201809	17	500	53	2018	홍판서길
4213010700	강원도 원주시 단구동	1**	8m미만	49.58	전세	201809	19	8000	0	2018	홍판서길
4213010700	강원도 원주시 단구동	1***	12m미만	50	전세	201809	10	6000	0	2007	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	50	전세	201809	13	5000	0	2007	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	53	전세	201809	4	4000	0	2004	천매봉길
4213010700	강원도 원주시 단구동	1***	12m미만	54	전세	201809	13	5500	0	2004	천매봉길
4213010700	강원도 원주시 단구동	5**	25m이상	56.15	전세	201809	27	5300	0	null	관후길
4213010700	강원도 원주시 단구동	1***	12m미만	59.45	전세	201809	5	5000	0	2006	구곡길
4213010700	강원도 원주시 단구동	1***	12m미만	60	전세	201809	6	7000	0	2006	토지길
4213010700	강원도 원주시 단구동	1**	8m미만	60	전세	201809	13	8500	0	2018	홍판서길
4213010700	강원도 원주시 단구동	1**	8m미만	60	전세	201809	26	8000	0	null	홍판서길
4213010700	강원도 원주시 단구동	6**	8m미만	61.64	월세	201809	28	544	8	2013	늘품로
4213010700	강원도 원주시 단구동	1***	25m미만	88.96	전세	201809	27	2000	0	2003	나비허리길
4213010700	강원도 원주시 단구동	1***	12m미만	107.41	월세	201809	27	1133	18	2007	천매봉길
4213010600	강원도 원주시 명륜동	6**	8m미만	23	월세	201809	26	300	30	2015	황소마을길
