pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215011000	강원도 강릉시 교동	1***	-	30	월세	201503	20	200	33	2003	율곡초교길43번길
4215011000	강원도 강릉시 교동	8**	-	31.21	전세	201503	8	5000	0	1972	강릉대로171번길
4215011000	강원도 강릉시 교동	9**	-	32.52	월세	201503	5	200	25	1979	원대로30번길
4215011000	강원도 강릉시 교동	1***	-	33	월세	201503	26	400	40	2015	원대로
4215011000	강원도 강릉시 교동	6**	-	34.77	월세	201503	27	100	15	1961	율곡로
4215011000	강원도 강릉시 교동	7**	-	40	월세	201503	11	5000	10	null	율곡로2953번길
4215011000	강원도 강릉시 교동	9**	-	40	월세	201503	15	500	43	2015	명주로78번길
4215011000	강원도 강릉시 교동	7**	-	40.25	전세	201503	19	2000	0	1981	화부산로91번길
4215011000	강원도 강릉시 교동	1**	8m미만	45.6	월세	201503	2	1000	25	1997	임영로198번길
4215011000	강원도 강릉시 교동	1***	12m미만	46.15	월세	201503	31	2000	30	2008	원대로179번안길
4215011000	강원도 강릉시 교동	2*	-	49.5	전세	201503	30	3500	0	1986	가작로217번길
4215011000	강원도 강릉시 교동	1**	-	49.59	월세	201503	9	100	20	1972	샘물터길2번길
4215011000	강원도 강릉시 교동	2*	8m미만	60	전세	201503	19	4000	0	1991	가작로217번길
4215011000	강원도 강릉시 교동	1***	-	62.6	월세	201503	3	500	45	2002	율곡초교길39번길
4215011000	강원도 강릉시 교동	9**	-	66.14	전세	201503	2	6500	0	1978	원대로8번길
4215011000	강원도 강릉시 교동	1***	-	66.79	전세	201503	12	6000	0	2011	하슬라로232번길
4215011000	강원도 강릉시 교동	1**	-	74.55	월세	201503	9	1000	40	1983	임영로
4215011000	강원도 강릉시 교동	1***	-	91.4	월세	201503	6	1000	60	2008	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	-	92.56	전세	201503	2	12000	0	2002	정원로
4215011000	강원도 강릉시 교동	1***	-	101.32	월세	201503	5	5000	20	2006	정원로
4215011000	강원도 강릉시 교동	1***	-	102.35	전세	201503	31	10000	0	2002	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	-	110.78	전세	201503	10	7000	0	2006	율곡초교길47번길
4215011000	강원도 강릉시 교동	1***	-	116.07	월세	201503	6	200	35	2002	율곡초교길43번길
4215011000	강원도 강릉시 교동	1***	-	119.81	월세	201503	28	500	40	2012	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	-	119.88	전세	201503	25	6500	0	2005	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	-	124.45	월세	201503	6	300	40	2014	하슬라로
4215011000	강원도 강릉시 교동	1***	-	125.44	월세	201503	4	1000	35	2012	원대로
4215011000	강원도 강릉시 교동	1***	-	130.14	전세	201503	20	18000	0	2014	하슬라로
4215011000	강원도 강릉시 교동	1***	-	131.02	월세	201503	4	300	38	2012	원대로179번길
4215011000	강원도 강릉시 교동	1***	-	131.76	월세	201503	21	200	40	2011	하슬라로206번길
4215011000	강원도 강릉시 교동	1***	-	133.2	월세	201503	17	1500	23	1996	경포로
4215011000	강원도 강릉시 교동	1***	-	133.2	월세	201503	19	2500	15	1996	경포로
4215011000	강원도 강릉시 교동	1***	-	165.84	월세	201503	3	300	41	2009	율곡초교길39번길
4215011000	강원도 강릉시 교동	9**	-	179.74	월세	201503	17	1000	52	2015	명주로78번길
4215033027	강원도 강릉시 구정면 제비리	6*	-	48.6	월세	201503	19	500	20	2004	궁골길
4215011600	강원도 강릉시 내곡동	6*	-	40	전세	201503	19	5000	0	2015	남산초교길12번길
4215011600	강원도 강릉시 내곡동	3**	-	133.56	월세	201503	11	5000	40	1999	범일로579번길
4215012100	강원도 강릉시 노암동	1**	-	42.97	전세	201503	19	2000	0	null	노가니남길19번길
4215012100	강원도 강릉시 노암동	7**	-	44.93	전세	201503	16	3000	0	1995	단오장길
4215012100	강원도 강릉시 노암동	6**	-	46.92	전세	201503	30	5000	0	1991	null
4215012100	강원도 강릉시 노암동	1**	-	54.56	월세	201503	18	800	5	1982	부흥길8번안길
4215012100	강원도 강릉시 노암동	8**	-	56.49	전세	201503	9	4000	0	1988	노가니남길19번길
4215012100	강원도 강릉시 노암동	8**	-	65.94	월세	201503	6	500	30	1989	노암길42번길
4215012100	강원도 강릉시 노암동	3**	-	76.03	전세	201503	13	3000	0	1997	노암등길
4215012100	강원도 강릉시 노암동	1**	-	78.05	전세	201503	20	2000	0	1960	null
4215012100	강원도 강릉시 노암동	6**	-	94.54	전세	201503	25	4000	0	1994	null
4215010300	강원도 강릉시 명주동	2*	-	59	전세	201503	28	5000	0	1983	경강로2024번길
4215012900	강원도 강릉시 병산동	5**	-	84.51	월세	201503	16	500	30	1997	성덕로138번길
4215037023	강원도 강릉시 연곡면 동덕리	8**	-	98.97	전세	201503	6	5000	0	1993	동덕3길
4215037022	강원도 강릉시 연곡면 영진리	2**	25m미만	62.55	전세	201503	27	3500	0	1987	진고개로
4215035023	강원도 강릉시 옥계면 주수리	4**	-	98.43	월세	201503	25	200	20	2004	동녘길
4215010900	강원도 강릉시 옥천동	3**	-	24	월세	201503	6	300	20	1991	중기3길
4215010900	강원도 강릉시 옥천동	1*	8m미만	24	전세	201503	30	1500	0	1994	수문길
4215010900	강원도 강릉시 옥천동	1*	-	57.18	월세	201503	22	500	40	1992	수문길
4215010900	강원도 강릉시 옥천동	*	-	82.64	월세	201503	1	1000	25	null	null
4215013100	강원도 강릉시 유천동	5*	-	33	전세	201503	26	5000	0	2013	죽헌길9번길
4215013100	강원도 강릉시 유천동	2**	-	49.92	월세	201503	30	7000	0	2010	유죽길44번길
4215012500	강원도 강릉시 입암동	6**	-	55.31	전세	201503	9	4000	0	1969	강변로346번길
4215025022	강원도 강릉시 주문진읍 교항리	4*	-	61	월세	201503	27	4500	7	null	연주로
4215025022	강원도 강릉시 주문진읍 교항리	8*	-	82	월세	201503	3	500	20	1992	학교담길
4215013200	강원도 강릉시 지변동	2**	-	18	전세	201503	3	2000	0	2001	지변길18번길
4215013200	강원도 강릉시 지변동	2**	-	19.98	월세	201503	31	200	30	2009	지변길
4215013200	강원도 강릉시 지변동	2**	-	33	전세	201503	31	5200	0	2009	지변길
4215013200	강원도 강릉시 지변동	4**	-	69.3	월세	201503	7	3000	40	null	null
4215013200	강원도 강릉시 지변동	2**	-	69.3	전세	201503	13	5500	0	null	지변길
4215011100	강원도 강릉시 포남동	1***	-	26	전세	201503	3	2500	0	1992	보래미하길
4215011100	강원도 강릉시 포남동	1***	-	43	전세	201503	31	2500	0	1978	남구길11번길
4215011100	강원도 강릉시 포남동	1***	-	52.5	전세	201503	13	4000	0	1988	경강로2239번길
4215011100	강원도 강릉시 포남동	1***	-	54.08	월세	201503	2	1000	30	1995	하평3길
4215011100	강원도 강릉시 포남동	1***	-	55.44	전세	201503	14	4500	0	1987	강릉대로433번길
4215011100	강원도 강릉시 포남동	1***	12m미만	56	전세	201503	20	2700	0	1996	하평4길
4215011100	강원도 강릉시 포남동	1***	-	56.93	전세	201503	31	4000	0	1990	성덕포남로168번안길
4215011100	강원도 강릉시 포남동	1***	-	59.54	전세	201503	13	5000	0	1989	산양길36번길
4215011100	강원도 강릉시 포남동	1***	-	63.6	월세	201503	6	1000	25	1983	보래미길
4215011100	강원도 강릉시 포남동	1***	12m미만	66.11	월세	201503	30	1000	30	1992	성덕포남로188번길
4215011100	강원도 강릉시 포남동	1***	-	69.42	월세	201503	9	800	40	1993	남구길23번길
4215011100	강원도 강릉시 포남동	1***	-	70	월세	201503	27	300	35	1991	경강로2245번길
4215011100	강원도 강릉시 포남동	1***	-	72.27	전세	201503	11	8500	0	1987	보래미하길29번길
4215011100	강원도 강릉시 포남동	1***	-	86.2	월세	201503	25	2000	33	1992	산양큰길22번길
4215011100	강원도 강릉시 포남동	1***	-	88.92	월세	201503	25	500	45	1995	하평5길
4215011100	강원도 강릉시 포남동	1***	-	96.6	전세	201503	4	5000	0	1989	산양큰길22번길
4215011100	강원도 강릉시 포남동	1***	12m미만	112.88	월세	201503	14	2500	40	1994	보래미하길
4215011100	강원도 강릉시 포남동	1***	-	118.49	전세	201503	30	6500	0	1995	하평4길
4215011100	강원도 강릉시 포남동	1***	-	128.79	월세	201503	15	200	30	2004	강릉대로359번길
4215011100	강원도 강릉시 포남동	1***	-	128.79	월세	201503	26	1500	45	2004	강릉대로359번길
